X11.PDX8.ccRCC.htseq2	X17.PDX2.2180.P1.htseq2	X26.PDX2.2181.P1.htseq2	X29.PDX2.2192.P1.htseq2	X2.PDX2.normal.htseq2	X34.PDX2.2194.P1.htseq2	X4.PDX3.normal.htseq2	X6.PDX4.ccRCC.htseq2	X7.PDX5.ccRCC.htseq2	X8.PDX5.normal.htseq2
IGF2R	1236.48093788036	1472.4267459165	1068.06329179624	1192.2553931171	1155.58425074955	1524.63105363302	1096.11188237145	1168.09776633099	587.969342748343	1011.15053016123
SLC36A1	94.403523887961	187.849707080256	215.973019225097	199.578856834701	85.4322986935466	227.656081032941	73.7956832835359	328.238554391161	281.594512810509	194.214888415115
CADPS2	279.619133255102	307.083652891676	239.576627883577	186.534487106942	1012.98297022348	242.611590005908	829.463480106944	221.907755081348	186.978756506178	722.91097354515
RLF	346.317275132466	303.709107255503	218.333380090945	238.711966017975	224.821838667228	269.199161513405	255.825035382925	246.564172312609	364.94648860242	154.138800329456
CRTAP	694.173738154409	725.527311777036	472.07217316961	658.74067125179	869.096993476455	731.158216456162	527.393149866337	499.292448933034	511.375635263885	578.020501235461
ADPGK	521.784694532915	460.063055064818	460.27036884037	460.466251389865	449.001329223978	417.092528023856	372.914186192802	693.461734629214	648.793757515413	504.033877077322
CPEB4	855.275403919733	170.976978899395	90.8738933351499	169.576806460857	694.378307426495	187.774723771696	906.210990721821	536.277074779925	795.222904176878	787.649269683521
CPEB2	973.279808779685	1418.43401573774	850.910092138222	1203.99532587208	652.625680245439	1390.03147287632	646.450185563775	744.315595168689	851.54180673898	803.063149716467
CFH	896.320414305804	2828.99409165775	1602.68502791083	1575.75986311319	869.739341586933	2244.15720755465	430.96679037585	66.2641213090137	81.0992196894266	295.946496632556
CFI	1538.6748268478	2627.6462020328	2229.36083779348	2834.54154184186	2232.80203202081	2623.86096314609	729.101350841335	1860.01847488325	1565.66549122643	3133.64181069784
ANKFY1	487.409498334581	220.470314896588	190.009049700768	190.44779802527	611.51540117486	199.406786306226	575.60632961158	459.225770932235	491.100830341528	525.613309123446
AAAS	404.293352302789	610.792760147179	783.639807461553	633.956368769049	446.431936782067	648.072055495234	354.219279760972	500.833475009988	542.914220698662	698.248765492437
SIDT2	189.320110405748	453.313963792474	455.549647108674	425.246453124918	252.442807417773	403.798742270108	322.733121559997	251.187250543471	283.847268912993	274.367064586432
UFD1	264.227254360326	447.68972106552	489.77487966347	448.726318634882	273.64029506354	409.614773537372	315.845524453534	442.274484085743	373.957513012356	291.322332622672
AAGAB	268.844818028758	348.703049071134	363.4955733406	388.722217887195	548.565286348036	364.748246618472	755.667796823408	400.66678000799	229.781122453376	664.338229419956
