TCGA-KL-8323-01	TCGA-KL-8324-01	TCGA-KL-8325-01	TCGA-KL-8326-01	TCGA-KL-8327-01	TCGA-KL-8328-01	TCGA-KL-8329-01	TCGA-KL-8330-01	TCGA-KL-8331-01	TCGA-KL-8332-01	TCGA-KL-8333-01	TCGA-KL-8334-01	TCGA-KL-8335-01	TCGA-KL-8336-01	TCGA-KL-8337-01	TCGA-KL-8338-01	TCGA-KL-8339-01	TCGA-KL-8340-01	TCGA-KL-8341-01	TCGA-KL-8342-01	TCGA-KL-8343-01	TCGA-KL-8344-01	TCGA-KL-8345-01	TCGA-KL-8346-01	TCGA-KM-8438-01	TCGA-KM-8439-01	TCGA-KM-8440-01	TCGA-KM-8441-01	TCGA-KM-8442-01	TCGA-KM-8443-01	TCGA-KM-8476-01	TCGA-KM-8477-01	TCGA-KM-8639-01	TCGA-KN-8418-01	TCGA-KN-8419-01	TCGA-KN-8421-01	TCGA-KN-8422-01	TCGA-KN-8423-01	TCGA-KN-8424-01	TCGA-KN-8425-01	TCGA-KN-8426-01	TCGA-KN-8427-01	TCGA-KN-8428-01	TCGA-KN-8429-01	TCGA-KN-8431-01	TCGA-KN-8432-01	TCGA-KN-8433-01	TCGA-KN-8434-01	TCGA-KN-8435-01	TCGA-KN-8436-01	TCGA-KN-8437-01	TCGA-KO-8403-01	TCGA-KO-8404-01	TCGA-KO-8405-01	TCGA-KO-8406-01	TCGA-KO-8407-01	TCGA-KO-8408-01	TCGA-KO-8409-01	TCGA-KO-8410-01	TCGA-KO-8411-01	TCGA-KO-8413-01	TCGA-KO-8414-01	TCGA-KO-8415-01	TCGA-KO-8416-01	TCGA-KO-8417-01
LMNA	2750.3	3253.29	1271.46	4106.79	3615.09	2880.38	2753.29	1967.98	3260.09	3249.8	6503.51	3109.28	2177.18	2422.69	3780.9	3485.9	1552.8	2721.83	1855.64	2747.64	2604.7	4689.35	2060.08	2359.04	2763.88	4440.95	1664.7	7511.78	2774.11	2329.46	2969.37	4371.16	5691.02	1929.03	3452.09	2466.82	4392.23	1721.89	2535.65	2425.46	2955.28	9955.31	2903.93	1861	2628.18	1773.27	3878.69	3177.96	2056.21	1811.45	2713.06	2756.06	18129.4	5446.47	2285.45	3107.56	3541.67	2845.57	3623.81	2365.28	4376.77	3341.45	2996.78	3531.24	2371.1
MAPT	796.968000000001	70.9586	105.148	520.084	93.3962	1762.12	301.912	423.391	2300.98	40.4518	38.0071	1122.27	3680.14	1703.37	76.6425	1815.79	707.256	393.153	907.358	2725.64	215.363	18.0879	834.496	486.253	1125.06	17.0436	454.666	95.7657	48.2131	857.676	171.656	66.1343	9.8333	811.545	370.698	388.077	438.771	652.325	227.64	998.779	175.203	40.7627	336.254	504.251	759.091	100.959	670.82	2894.17	774.809	41.9885	90.378	1977.18	6.0307	37.9261	927.584	2061.65	1644.23	162.05	176.375	1464.53	29.4282	327.243	922.622	1071.16	1063.39
FOXO4	209.812	408.835	426.268	604.128	344.34	251.473	371.431	534.793	445.919	487.523	469.636	372.748	567.071	309.808	362.724	401.786	461.207	362.071	188.648	485.855	301.649	720.069	267.442	507.75	377.93	687.425	322.372	302.319	458.193	354.357	504.586	433.697	759.929	445.161	365.116	174.353	244.916	327.05	380.398	263.993	331.707	169.954	369.486	465.804	513.636	360.97	868.197	603.462	378.557	561.829	492.096	542.866	291.118	362.458	568.708	521.644	314.103	348.338	379.441	355.849	525.694	391.393	190.22	673.944	444.405
NFATC4	104.507	290.884	38.3875	140.403	389.623	504.305	191.012	129.043	290.442	163.383	333.14	278.738	111.969	168.847	824.855	217.105	103.089	237.32	370.848	152.672	113.644	306.058	437.209	84.2666	154.277	83.0329	168.409	103.277	405.597	373.859	247.102	130.019	34.4165	125.297	95.3488	125.609	417.533	69.7864	127.465	60.68	54.878	89.7437	400.906	151.202	145.454	174.845	164.59	371.863	309.854	196.194	95.5326	181.68	1570.18	253.961	171.015	290.774	240.385	157.895	320.649	162.642	187.27	133.983	166.577	520.321	176.346
NR4A2	303.949	145.207	694.312	134.47	635.849	82.0118	85.7403	427.965	1163.41	757.552	774.023	108.642	322.264	63.7952	678.02	446.429	129.31	79.3867	87.4562	376.74	175.728	66.035	1284.5	30.0952	172.712	19.2287	832.922	262.886	1016.52	2402.9	366.153	237.544	160.406	87.6061	435.349	1233.97	242.205	178.31	949.164	195.989	340.65	24.9836	142.9	117.93	134.546	272.984	68.1967	774.714	800.486	105.9	27.4914	1210.47	92.1053	497.36	398.791	416.266	159.188	788.781	374.391	3529.81	551.555	189.2	61.7947	1876.63	110.836
PRKN	179.497	141.917	464.655	636.263	384.906	637.97	297.939	545.9	232.6	343.052	151.037	301.418	353.968	674.243	193.503	159.774	466.236	210.018	2234.9	345.757	1370.75	547.516	248.062	260.969	478.355	532.284	494.583	708.29	196.224	614.523	123.205	615.004	1488.82	391.511	1219.53	118.11	42.0244	521.032	351.443	222.842	1033.74	10.1907	100	478.373	970	268.471	275.41	216.105	299.792	259.363	410.653	139.954	23.0263	324.052	214.593	181.898	200.321	553.324	161.226	155.472	1072.34	191.636	335.304	142.575	155.807
PARN	1388.91	1494.36	1594.92	1406.5	2089.62	1508.38	1602.58	1696.83	1660.61	1351.72	1243	1522.45	1312.73	655.525	1207.69	1479.79	1260.42	1252.13	2031.39	1460.71	1281.66	1208.15	1414.73	1801.41	1315.23	1273.03	1313.06	1053.8	1577.88	1678.01	1241.05	892.138	1263.58	1349.75	1269.77	1293.59	1587.89	1307.9	1528.58	1117.7	1589.43	929.653	1004.53	1329.39	890	1337.28	1119.34	1270.94	1562.8	1616.74	1017.53	1499.08	1388.16	1237.16	1427.81	1359.42	714.744	1599.03	1438.05	1639.25	1599.82	1502.64	1877.49	1354.2	1391.64
PCBP1	5231.35	6939.38	4586.47	8729.7	5142.45	7777.53	5668.79	4819.34	5985.66	5577.09	8809.06	5272.98	4475.17	5184.61	5268.98	4869.83	4172.41	4895.52	3891.52	5692.41	6030.87	6577.38	5150.39	4601.56	5406	7030.7	4220.11	7086.28	5566.76	5344.4	6231.53	6998.09	8242.76	4863.5	7100	7570.68	9665.61	5000.96	5092.94	6122.76	5047.97	10622.6	4288.52	5297.6	4555.45	5606.88	5961.31	5598.74	4400.76	5757.63	6961.51	6495.27	9047.15	8330.29	5520.46	6240.49	4175.21	6717.45	11020.4	6308.3	8927.88	5510.35	6893.07	6211.23	5501.77
PLAG1	51.4559	318.609	511.388	299.592	80.1887	395.106	61.2431	529.239	294.545	230.102	268.033	370.553	90.6993	356.031	248.898	393.327	14.3678	479.261	22.705	567.58	336.373	265.576	240.698	506.89	377.445	9.6143	637.902	13.1443	428.86	251.867	236.719	233.944	24.2759	488.625	397.674	428.571	305.468	584.313	384.059	303.051	395.122	799.147	5.7402	801.479	551.818	148.336	172.459	285.013	131.506	190.249	18.9003	375.964	105.263	231.397	406.848	558.373	258.547	488.227	345.536	289.434	221.157	226.553	186.459	235.17	235.127
PLRG1	666.933	811.09	889.254	956.124	888.679	937.019	835.885	462.267	868.866000000001	770.686	970.999	844.627	676.633	853.405	825.614	781.485	1224.86	721.201	998.178	804.67	796.563	1037.9	819.767	619.532	623.414	826.833	718.495	924.984	1008.43	708.299	724.001	675.29	714.45	868.591	945.116	666.292	867.149	937.976	800.732	816.391	1097.15	752.138	799.396000000001	1003.33	520.909	1039.48	602.623	675.632	823.386	1465.14	828.179	880.582	600.877	862.698	799.048	810.669	773.504	941.828	1133.27	992.83	983.168	702.802	875.873	776.536	908.639999999999
