TCGA-3H-AB3K-01	TCGA-3H-AB3L-01	TCGA-3H-AB3M-01	TCGA-3H-AB3O-01	TCGA-3H-AB3S-01	TCGA-3H-AB3T-01	TCGA-3H-AB3U-01	TCGA-3H-AB3X-01	TCGA-3U-A98D-01	TCGA-3U-A98E-01	TCGA-3U-A98F-01	TCGA-3U-A98G-01	TCGA-3U-A98H-01	TCGA-3U-A98I-01	TCGA-3U-A98J-01	TCGA-LK-A4NW-01	TCGA-LK-A4NY-01	TCGA-LK-A4NZ-01	TCGA-LK-A4O0-01	TCGA-LK-A4O2-01	TCGA-LK-A4O4-01	TCGA-LK-A4O5-01	TCGA-LK-A4O6-01	TCGA-LK-A4O7-01	TCGA-MQ-A4KX-01	TCGA-MQ-A4LC-01	TCGA-MQ-A4LI-01	TCGA-MQ-A4LJ-01	TCGA-MQ-A4LM-01	TCGA-MQ-A4LP-01	TCGA-MQ-A4LV-01	TCGA-MQ-A6BL-01	TCGA-MQ-A6BN-01	TCGA-MQ-A6BQ-01	TCGA-MQ-A6BR-01	TCGA-MQ-A6BS-01	TCGA-NQ-A57I-01	TCGA-NQ-A638-01	TCGA-SC-A6LM-01	TCGA-SC-A6LN-01	TCGA-SC-A6LP-01	TCGA-SC-A6LQ-01	TCGA-SC-A6LR-01	TCGA-SC-AA5Z-01	TCGA-SH-A7BC-01	TCGA-SH-A7BD-01	TCGA-SH-A7BH-01	TCGA-SH-A9CT-01	TCGA-SH-A9CU-01	TCGA-TS-A7OU-01	TCGA-TS-A7OY-01	TCGA-TS-A7OZ-01	TCGA-TS-A7P0-01	TCGA-TS-A7P1-01	TCGA-TS-A7P3-01	TCGA-TS-A7P6-01	TCGA-TS-A7P7-01	TCGA-TS-A7P8-01	TCGA-TS-A7PB-01	TCGA-TS-A8AF-01	TCGA-TS-A8AI-01	TCGA-TS-A8AS-01	TCGA-TS-A8AV-01	TCGA-TS-A8AY-01	TCGA-UD-AABY-01	TCGA-UD-AABZ-01	TCGA-UD-AAC1-01	TCGA-UD-AAC4-01	TCGA-UD-AAC5-01	TCGA-UD-AAC6-01	TCGA-UD-AAC7-01	TCGA-UT-A88C-01	TCGA-UT-A88D-01	TCGA-UT-A88E-01	TCGA-UT-A88G-01	TCGA-UT-A97Y-01	TCGA-XT-AASU-01	TCGA-YS-A95B-01	TCGA-YS-A95C-01	TCGA-YS-AA4M-01	TCGA-ZN-A9VO-01	TCGA-ZN-A9VP-01	TCGA-ZN-A9VQ-01	TCGA-ZN-A9VS-01	TCGA-ZN-A9VU-01	TCGA-ZN-A9VV-01	TCGA-ZN-A9VW-01
TBC1D12	275	152.45	355.74	170.99	172.059	384.767	133.135	285.511	220.348	147.511	658.337	351.717	442.435	370.667	177.425	581.592	160.576	328.656	323.317	203.565	304.74	237.848	218.858	200.673	277.983	317.118	212.086	245.957	205.686	197.689	145.884	239.695	142.981	243.855	215.933	170.825	163.736	120.973	125.541	427.98	195.793	193.942	338.967	341.97	301.236	109.034	46.7532	287.74	246.78	103.321	288.907	259.833	238.806	201.402	416.552	134.672	265.035	240.707	113.391	407.544	285.995	149.283	234.098	212.492	229.759	410.499	211.902	93.8783	188.098	222.574	202.806	291.134	228.578	397.597	232.844	267.935	208.699	221.188	210.784	284.733	158.713	247.764	158.739	121.474	461.245	253.063	191.877
SIK2	685.366	1317.82	520.015	746.803	791.372	425.512	1476.37	451.781	501.632	809.972	873.096	700.544	1086.32	1129.78	523.073	609.16	969.12	828.881999999999	440.091	1247.99	1326.58	1813.26	710.701	904.252	1141.51	1322.32	1343.73	763.404	380.991	589.246	894.17	408.023	664.237	894.264	627.359	1687.62	371.63	494.635	753.788	585.284	277.285	1863.84	928.313	987.702	915.745	737.072	383.55	665.599	690.169	830.111	634.489	590.385	698.327	1963.08	1016.61	440.638	1998.4	904.639	1874.42	2302.99	933.87	1276.32	596.279	1490.46	836.113	482.337	733.943	983.01	1177.47	811.503	1256.8	1937.77	1171.1	1270.33	753.193	854.706	1038.31	890.008	763.098	1336.03	815.506	1221.38	1292.09	1530.48	1474.99	689.295	1385.85
KATNIP	503.049	941.604	615.937	520.765	787.405	457.923	1421.69	541.568	733.95	719.856	566.185	583.546	805.264	694.222	960.756999999999	449.533	507.463	715.256	391.404	649.487	333.841	867.1	509.885	938.921	618.541	735.611	398.7	1261.28	234.014	616.941	385.252	372.093	265.14	796.723	565.514	895.393999999999	620.946	801.444	676.948	512.537	311.681	676.597	1579.67	1000.6	985.036	237.383	355.844	704.483	881.356	606.937	494.413	786.253999999999	791.949	767.29	611.065	447.135	795.103999999999	541.092	340.669	913.488999999999	669.709	566.98	338.382	899.534	763.224	693.112	688.603	785.24	961.743	758.016	829.082	1074.17	946.556000000001	715.75	750.181	636.554	573.025	803.26	901.787	577.948	469.556	915.921	1206.89	788.899	676.976	473.187	695.728
KAZN	532.402	677.391	465.17	383.695	578.262	857.289	540.652	201.734	621.948	281.865	882.116	172.327	593.539	446.729	719.969	524.122	151.333	646.908	287.992	289.716	692.775	453.009	615.204	563.385	532.351	519.287	235.244	520.889	415.946	1386.17	805.315	224.353	1413.1	277.202	797.034	440.686	107.667	293.092	1532.35	388.772	448.684	337.739	358.298	655.522	259.359	944.399	121.809	586.07	702.834	929.588	228.393	1286.66	169.842	673.201	1245.17	301.187	258.542	272.018	446.679	682.911	1210.93	1096.72	259.2	799.9	381.316	832.974	630.498	126.097	325.951	268.641	926.582	588.47	699.697	268.94	835.554	673.864	530.427	326.073	251.547	513.724	1891.08	1965.19	639.052	263.462	183.471	1772.75	280.651
USP22	5000	3961.99	4482.63	3688.71	6962.69	3500.41	7956.02	7065.56	4119.15	3817.06	9249.9	4945.7	5851.84	3925.33	5480.76	2872.39	3875.97	3105.02	6097.76	5101.32	3036.42	6319.96	4612.5	7160.6	4132.58	5600.45	6537.23	5202.55	4238.94	7976.78	5994.25	3574.26	3752.21	4787.36	5449.16	6832.05	7277.06	4174.35	10421.5	4349.72	6060.06	3515.75	4828.53	4757.49	6772.28	4694.7	2488.31	3150.05	5422.37	5351.44	2549.94	5270.16	5483.94	3899.07	3858.46	2566.45	6551.36	4219.82	1002.61	6572.37	4645.37	4052.89	2851.15	6087.26	8366.94	12068.7	5183.88	6796.79	6813.5	5533.86	3420.92	7161.13	7011.08	4686.39	7361.5	7186.69	8341.17999999999	4218.34	4380.02	5967.69	1161.82	2542.93	9477.38999999999	4878.07	2683.47	6067.89	6523.81
SF3B1	4729.88	5961.35	6650.68	4814.52	5553.49	5719.64	7180.58	6251.31	5840.04	6687.36	10148.8	6598.12	6330.01	5958.22	4509.27	5443.31	8966.55	5532.37	5437.81	3370.46	6397.34	4969.98	5570.3	6598.96	5001.8	4903.08	5153.48	4965.11	5220.57	6758.66	5074.51	3953.24	2511.89	4930.94	3921.91	6027.83	6719.81	5152.48	5865.26	3667.12	3118.93	3724.08	3848	4239.76	5900.13	2409.35	1216.45	6905.76	5623.73	4841.33	5562.95	6188.32	6050.2	6725.7	8269.26	3138.22	7236.3	8338.69	5189.61	6792.13	6030.96	6333.17	6174.82	7465.23	7666.04	3396.88	4541.57	5589.31	7477.68	5410.21	5310.8	5977.83	8957.16	5703.57	9457.53	7237.59	5407.82	6166.97	4974.49	6669.22	5459.5	8006.71	7296.76	5552.32	7904.54	4473.19	6273.11
SRRM2	7479.88	7036.62	8081.18	8358.06	9987.36	6136.82	15288	9038.48	7246.46	13914.3	15508.4	12017.6	11546.1	14168.9	5715.45	7710.98	8117.84	10262.6	8007.99	8809.82	12027.6	17426.6	10908.4	12170.5	12336.7	9810.62	11099.7	15768	6202.61	10560.1	8698.56	4922.85	5027.24	7737.42	6962.26	13493.8	11324.3	8382.52	11816	6638.89	5176.35	11264.6	15883	7394.87	12934.6	6862.29	7271.86	9319.76	8765.42	4938.75	8715.59	11581.2	12814.1	9732.24	13856.9	5157.7	9941.99000000001	15183.4	9083.65000000001	9872.90000000001	8866.56999999999	9997.53	7545.22	8285.87	11146.2	7647.13	8170.97	8542.09	11387.9	12949.5	11445.2	13771.5	17803.8	10321.9	12314.1	10814.7	9448.92	12056.4	10771.3	11070.3	9717.31	15644	14804.8	8096.89	15278.4	9024.29999999999	8878.15
SHPK	270.732	306.156	305.506	336.568	448.742	181.965	549.975	314.081	455.876	409.615	567.356	391.438	370.411	241.644	445.353	317.03	539.372	304.663	319.133	408.239	170.764	668.993	401.366	605.168	325.767	614.163	344.639	300.272	330.494	707.257	466.138	276.604	304.001	544.666	385.713	551.204	681.907	370.479	390.622	120.458	277.815	366.69	428.922	296.091	325.309	358.878	294.372	160.11	377.627	247.38	216.104	408.82	379.014	409.724	320.519	393.385	404.471	487.381	459.53	358.249	496.415	272.368	272.614	304.73	465.661	487.863	465.995	508.612	593.518	418.116	264.031	254.049	455.798	519.232	382.037	323.311	417.709	184.386	357.33	448.304	257.817	259.392	561.374	307.552	640.703	576.019	438.726
BRD1	475	496.21	538.52	585.556	660.963999999999	460.702	664.884	519.24	444.505	906.525	727.06	834.153	552.908	679.111	464.272	698.088	535.255	562.245	547.737	402.697	1361.72	520.129	693.443	551.443	527.523	507.984	468.356	448.511	401.108	580.173	537.843	685.124	172.133	377.292	603.25	814.299	559.203	549.948	522.186	581.978	390.528	620.614	648.094	466.627	653.546	242.991	231.169	507.319	465.763	522.509	492.109	760.429	652.194	576.635	913.845	327.23	413.518	688.799	428.198	1040.18	828.635	1212.56	696.235	647.389	958.651000000001	534.438	591.94	482.326	655.154	418.116	595.238	741.262	798.585	403.678	1214.58	665.082	847.965	562.545	420.345	723.344	536.113	619.41	674.351	398.999	426.117	686.082	503.501
PRPF6	4152.44	2726.59	2869.71	2520.03	3574.07	3368.45	3161.57	3555.82	2751.9	3102.57	4075.36	2168.8	2706.6	1749.33	2672.12	2174.3	2948.53	3241.29	3441.99	2479.73	2276.49	2231.13	4303.43	3336.39	3157.56	2937.99	2640.68	2458.3	3578.77	3070.86	3593.03	4377.01	5634.57	3029.65	3752.1	3047.5	2901.13	4598.55	3730.52	4752.19	4836.09	2490.45	2452.97	3128.36	2051.72	4967.6	6508.23	2223.7	2427.8	2232.92	2890.45	3014.7	2860.24	2717.29	2043.61	3148.85	4331.56	2377.23	3082.43	2113.57	3317.05	1913.99	2367.81	2336.98	2843.73	1995.66	3180.1	3450.13	2087.67	2209.06	2454.93	2274.51	3164.4	3655.15	3595.53	2570.83	2855.95	2414.66	4161.91	2133.28	2989.58	2410.55	3367.96	2755.69	2386.41	6419.76	2732.49
DPCD	707.433	485.504	516.805	277.535	898.237	431.647	373.353	372.109	253.215	425.434	159.469	301.191	578.902	302.453	1360.93	599.724	295.713	441.096	340.061	524.371	105.973	476.921	627.276	401.113	485.109	541.857	716.107	911.655	350.13	162.831	327.98	313.833	1095.26	510.41	532.437	384.424	337.831	484.643	260.985	899.103	477.005	269.911	638.014	569.891	361.994	1129.28	1324.68	413.495	617.566	300.003	522.202	471.768	498.86	602.841	362.584	653.786	451.613	284.481	749.79	330.172	411.912	426.327	224.145	628.92	216.534	609.623	747.837	373.318	431.19	571.83	292.509	410.588	448.762	565.788	236.722	294.225	423.464	386.173	680.959	416.082	424.776	172.607	308.646	486.92	459.561	1074.12	211.194
NSL1	480.488	460.339	576.662	528.072	400.149	542.192	618.92	1216.63	441.24	532.65	915.267999999999	391.438	421.856	516.444	456.602	413.072	450.849	593.934	655.002	489.147	266.853	309.072	494.981	699.5	405.408	467.508	583.236	722.979	503.746	480.851	381.479	503.507	257.505	383.925	378.407	482.246	778.038	457.229	593.074	649.056	531.287	321.903	454.132	408.358	649.317	370.094	337.662	1010.52	677.288	714.981	465.845	574.891	440.525	407.477	450.806	568.222	556.147	361.06	286.958	348.913	466.756	310.43	514.496	268.955	455.293	506.809	420.34	262.442	478.746	400.863	414.966	455.243	435.853	411.661	562.528	463.152	423.384	755.192	529.708	487.884	580.728	364.937	447.33	728.389	503.245	431.412	349.44
SYF2	2098.78	1769.62	1265.86	1265.13	1496.96	1228.38	1779.49	1116.39	1439.61	1835.04	1161.66	762.654	1807.1	1103.11	1773.23	1427.75	2222.34	4065.19	990.491	979.403000000001	762.673	894.544	1268.44	1212.6	1645.9	1444.49	1008.45	1427.66	906.908	1474.07	1290.32	996.186	2802.71	1718.3	1993.19	1577.74	821.805	1206.94	1436.69	1099.71	1135.07	1081.28	1721.41	1129.55	862.069	2183.18	2161.04	1654.62	1019.66	1986.72	1315.06	1498.61	846.223	1421.03	1304.71	2075.61	1780.2	1654.61	2496.58	914.309	1552.04	1249.63	1263.95	1740.02	1388.59	1504.64	809.824	861.177	1058.45	814.953	1786.14	1708.01	1281.08	1523.11	1121.61	1190.88	1028.73	814.526	1257.37	981.422	2834.16	1570.21	1373.8	1791.63	1481.48	3087.37	1230.39
PNISR	1040.85	848.938	1225.45	1341.61	1362.09	1126.52	1452.2	1935.39	761.153	1732.05	3756.35	1121.59	1735.6	1051.56	1396.91	1372.17	2818.32	1004.98	1292.89	982.359	1464.4	2116.13	2442.74	2789.44	953.399	996.658	1013.65	1586.38	704.916	1645.01	935.251999999999	652.639	350.512	960.593	1332.81	1151.15	1172.72	867.899	2172.08	1174.82	754.597	1409.58	1415.55	1216.96	1168.84	956.386	625.108	1655.08	2286.78	1282.95	1092.96	1183.14	1676.16	1049.07	2134.75	472.534	1198.51	2485.64	857.889	1745.8	715.884	1021.75	1468.2	964.613	2067.83	1814.09	1368.39	1499.97	1079.7	969.087	993.622	1901.11	2954.81	1457.35	2042.65	2108.8	682.362	1927.6	1956.32	1545.64	1037.12	2113.15	1004.09	978.162	1242.08	1872.67	1369.4
PPP1R16B	397.561	119.142	46.8278	1604.68	84.7899	364.857	207.231	187.173	70.185	418.932	74.9707	743.877	358.497	171.556	182.027	213.873	59.7015	358.081	341.575	103.076	394.789	206.157	265.14	57.1021	417.923	540.661	73.2943	183.404	164.22	48.7059	259.07	411.96	36.0923	469.762	90.6709	154.031	141.852	146.043	108.766	296.185	108.48	265.92	277.422	270.806	211.776	112.773	510.822	172.004	267.119	134.022	282.917	292.412	170.511	71.028	251.399	85.6468	36.1895	1091.63	70.1231	276.343	52.9754	584.775	1021.64	373.692	177.998	20.525	44.3955	71.7647	108.927	72.4659	119.473	499.574	1286.26	46.3736	137.296	469.305	355.148	68.7221	187.567	731.826	126.166	81.3953	37.0587	84.1674	126.766	36.1518	261.905
CHTOP	1826.83	1581.72	1782.48	1510.66	1621.42	1799.28	1851.21	3036.58	1534.82	1393.04	2256.15	1485.59	1500.05	1555.56	1746.13	1290.35	1553.78	2129.02	2141.12	1530.99	1850.95	1695.65	1926.58	2102.17	1571.19	1436.32	1674.33	2548.51	1910.29	2222.8	1782.47	1622.74	2054.49	1676.94	1588.05	1726.97	1796.4	1840.46	1912.88	2571.19	1806.06	1327.2	1356.34	1153.91	1832.79	1818.69	2743.72	2003.66	1924.07	1233.36	1724.69	2349.62	1964.27	1385.51	1581.8	1585.94	1839.81	2042.03	1954.49	1520.71	1592.13	1407.81	1530.51	2089.57	1661.66	2005.13	1513.54	1721.1	1809.25	1646.01	1741.92	1376.81	1722.69	1625.36	2405.05	1892.32	1806.46	2259.94	1831.07	1430.94	1784.24	1190.07	1513.86	1361.24	1471.17	2377.99	2487.39
EPC2	378.659	406.106	518.505	363.902	465.601	430.605	616.543	725.891	507.073	617.939	1077.7	522.158	525.831	535.111	399.847	387.728	483.788	604.346	553.442	239.401	513.94	414.601	464.387	781.075000000001	468.362	381.359	380.507	653.192	412.604	546.27	378.545	325.335	208.225	351.931	364.256	1238.96	557.64	355.755	540.584	401.999	223.839	409.077	378.133	352	572.219	269.782	124.675	540.256	686.102	514.834	474.139	658.323	402.533	550.467	696.088	270.526	721.128	376.477	354.097	568.266	573.423	456.253	383.384	510.325	657.587	290.507	383.502	497.764	556.323	402.588	407.738	567.775	686.886	382.012	962.797	523.563	584.597	582.824	538.262	484.249	382.885	730.769	796.907	477.707	697.976	465.957	640.056
ZNF337	270.616	375.369	540.23	443.897	580.092	294.705	635.055	438.123	808.183	407.459	941.468	418.485	403.293	313.333	431.425	294.473	662.264	509.271	430.59	590.394	471.897	456.877	839.835	1081.11	459.211	590.709	588.434	685.077	382.597	675.627	440.977	612.526	670.956	264.335	369.743	255.096	436.596	612.197	540.985	705.582	314.253	424.077	613.563	493.087	481.038	811.595	472.978	1017.22	613.803	395.773	414.763	446.11	1315.56	737.192	541.958	341.423	327.248	557.484	526.923	421.837	636.07	457.8	434.846	523.911	589.119	977.146	450.917	651.394	250.17	464.086	651.233	566.53	796.955	458.7	973.105	689.817	382.41	856.954	503.724	508.082	647.851	666.203	268.88	399.336	320.321	697.714	666.439
FBXL4	156.707	162.272	206.193	215.321	363.952	206.968	338.385	353.444	257.345	208.662	283.873	295.384	357.414	176	304.742	332.148	389.604	220.914	173.45	161.818	106.522	382.582	189.834	419.7	273.812	211.288	293.697	428.085	161.757	332.824	222.18	144.211	144.369	330.862	314.99	327.735	246.581	175.092	382.035	221.076	206.906	294.712	297.004	480.955	269.031	257.944	95.2381	635.865	479.322	279.262	239.143	361.144	228.403	288.318	390.25	183.107	138.371	293.921	192.963	455.515	188.635	179.436	194.288	186.631	329.586	262.088	405.542	322.941	287.46	139.756	150.935	395.993	321.852	389.614	243.174	284.715	180.367	358.632	359.86	398.223	159.81	459.302	178.874	226.115	387.934	306.086	317.227
HBP1	1550.88	1169.89	2491.57	1609.58	1961.47	1237.66	2375.12	2094.69	1760.62	2638	2294.15	1430.11	2144.7	1822.08	2005.16	1876.75	1996.36	1851.05	1143.13	1200.69	1213.22	1858.51	1535.57	1778.65	1746.79	1577.4	1834.55	1942.92	963.855	1254.28	1050.45	1342.03	881.735	1693.27	1189.11	2524.41	947.331	1441.46	1713.94	792.685	992.422	1412.64	1842.67	2657.37	1789.55	1126.1	915.264	1801.38	1917.05	1257.74	1477.48	1568.3	2167.01	1647.98	1723.87	1094.94	1531.73	2007.25	1403.16	1438.36	1382.19	1191.51	1377.73	2289.69	1629.06	978.449000000001	1934.9	1742.87	1610.12	1646.82	1377.09	2371.03	1573.61	1435.95	2045.01	1232.38	1490.96	1285.88	2138.09	1332.39	1063.03	1942.48	2182.05	2140.17	2044	2101.17	1445.24
AKAP8L	957.317	1066.3	816.465	787.724	1173.17	1090.4	449.728	935.867	825.898	764.377	854.744	707.766	757.067	908.444	1033.36	796.354	1460.11	917.157	993.152999999999	772.144	887.315	1195.77	1251.96	765.168	777.063	706.275	817.154	860.426	1275.17	1154.62	1109.64	640.827	1526.29	773.703	651.467	634.837	799.14	1065.28	1645.02	1401.09	955.682	944.917	1209.93	530.149	503.578	1366.36	3477.06	784.995	875.932	782.288	839.995	1009.14	978.289999999999	1052.8	994.587	1108.09	1268.76	1002.11	1283.1	1077.08	1095.66	793.87	967.114	866.777	884.706	1180.19	782.116	1456.16	928.799	830.482	857.143	554.135	934.465	712.329	936.542	929.66	960.095999999999	723.648	731.327	582.795	1442.31	731.664	852.641	690.628	728.904	2063.06	765.056
TAF5L	358.537	688.374	399.925	557.788	472.543	563.028	550.371	852.732	636.562	382.457	868.411000000001	568.38	439.727	564.444	491.883	331.258	311.374	527.388	632.179	646.162	970.226	488.438	473.016	632.202	424.749	350.91	387.784	635.319	530.843	534.81	652.706	384.89	245.011	358.174	308.7	549.904	744.041000000001	389.58	267.857	610.793	450.324	526.242	373.936	344.836	616.135	257.944	297.836	804.666000000001	412.203	429.225	508.697	516.885	531.434	597.664	524.819	452.451	483.236	541.092	444.113	614.186	571.991	724.666	600.606	393.95	423.074	997.04	318.64	517.374	560.043	503.235	829.082	430.094	492.278	404.058	518.197	604.111	472.466	705.998	398.961	562.601	535.381	550.537	436.825	494.541	377.243	333.4	384.454
R3HCC1L	406.707	439.842	477.341	429.668	432.379	352.819	261.119	376.247	245.375	398.549	550.957	363.272	356.872	334.222	296.05	308.137	186.31	366.229	377.33	287.43	295.955	362.326	291.811	300.194	395.927	431.118	277.583	294.043	412.193	189.094	262.843	347.976	355.37	556.379	199.161	269.674	276.671	226.426	199.134	390.19	224.368	302.309	240.121	331.463	315.875	261.059	182.684	189.387	266.441	273.948	334.984	388.161	285.844	456.542	367.618	257.531	361.895	308.343	230.76	242.312	236.958	300.049	385.115	394.812	268.845	263.667	237.091	246.17	326.249	322.646	263.605	434.783	368.489	349.702	324.949	257.866	324.022	408.202	249.274	407.108	206.985	194.097	170.411	444.04	449.79	394.457	225.14
PRPF19	4248.17	4748.59	4703.17	2556.08	3541.84	4194.47	5781.48	4430.4	2433.08	3236.13	4836.39	1818.53	3082.42	2491.56	4027.1	3491.77	4008.75	3792.21	3895.78	4038.79	2087.06	3740.23	3493.89	4532.27	2890.57	3753.81	4408.06	3482.55	3970.03	3546.93	4363.53	2612.03	5397.88	3572.38	5398.85	3880.04	2498.63	6111.9	3230.52	6269.96	3440.67	3759.27	4049.89	4198.21	5235.52	4387.54	6807.79	2945.11	4153.9	3510.55	3605.11	4458.48	3890.55	3177.57	2151.27	4350.86	2503.46	3466.87	3514.61	3961.46	3930.56	3751.36	2025.1	3712.36	2719.61	4822.58	2736.15	4128.56	2987.25	3049.32	4567.18	2348.68	2597.85	2808.26	7196.66	3262.76	3311.25	1562.58	3979.84	2664.38	3390.02	3822.9	3435.07	4732.48	4562.43	5119.9	3369.05
PCLO	130.488	171.667	191.465	40.9207	138.341	10.6494	322.932	126.366	457.563	1140.4	95.6658	54.888	215.531	322.667	127.317	291.241	453.937	108.194	27.3868	52.092	65.8897	59.462	97.2704	477.618	321.596	218.344	187.654	200.851	2.0528	240.187	353.392	38.3906	70.1024	213.032	112.159	882.918	201.641	120.177	318.723	51.9623	19.5793	559.432	237.324	123.224	680.221	113.396	112.554	71.3632	364.746	140.517	135.468	311.085	300.317	229.906	69.1195	202.599	79.8297	124.332	90.0162	106.191	234.81	137.42	36.7806	244.818	207.576	98.6777	274.874	102.64	244.421	583.753	101.191	689.685	162.941	160.407	1173.26	71.5984	966.88	238.087	397.739	96.1228	77.1622	1409.66	147.067	240.218	1100.42	36.1518	69.3277
DEXI	1381.71	992.42	999.245	646.45	788.397	608.867	960.476	854.157	668.662	784.224	543.147	711.378	1041.91	572.444	1620.35	885.727	816.778	1086.46	432.103	603.307	597.949	1011.83	1353.94	656.674	1084.63	1235.8	1317.22	1453.62	358.001	847.101	732.356	671.835	1919.14	991.807	930.293	981.766	676.827	1185.85	666.667	1589.57	1037.7	672.998	1484.09	1229.85	645.413	2894.08	1786.15	721.409	1850.17	2973.87	916.023999999999	1148.59	1118.95	643.458	678.35	1272.89	1019.16	725.104	1228.4	1031.57	719.821	1073.65	485.937	965.48	826.606	1395.7	1029.28	685.937	404.357	1020.85	765.306	1161.55	696.099	855.251	587.921	847.993	584.597	676.331	1634.34	436.995	2033.64	794.275	1302.31	687.443	471.172	1267.72	563.375
SETD2	1192.68	2127.04	1191.47	980.149	833.519	896.4	583.259	1709.74	1630.58	1010.05	1665.37	1740.53	652.009	2416	1342.71	1056.91	1417.91	478.497	2090.91	1058.83	1408.39	1302.94	1068.4	1082.49	712.593	835.871	1473.68	1513.19	1932.87	1115.46	954.117	875.108	193.649	1319.16	982.179999999999	919.386000000001	1240.72	1509.37	279.221	1352.91	999.074	1871.04	2066.44	1224.6	1423.88	122.118	548.052	1785.45	1564.07	811.218	1439.93	1918.55	1887.38	1207.48	1458.24	992.912	1821.18	2491.61	475.942	1494.87	1308.64	1735.05	1340.55	1970.18	1693.88	782.317	1017	964.235	1587.14	1717.33	1293.37	1075.45	2126.87	337.919	3561.53	1739.62	1409.02	1982.43	995.876	1523.83	372.28	1553.67	1234.9	936.761	1323.41	420.165	1689.78
SCAPER	198.171	79.0007	356.495	138.838	160.159	83.806	130.362	198.1	229.053	202.225	231.55	228.219	186.288	260.444	168.222	165.407	324.755	208.692	257.132	105.292	296.504	166.624	179.636	298.154	225.648	176.012	231.319	298.723	149.851	162.353	127.439	242.648	84.6781	119.781	148.847	321.977	158.265	206.927	142.857	301.381	149.755	129.161	278.354	211.105	334.743	168.224	66.6667	331.656	178.305	87.3801	184.771	309.893	321.122	226.636	302.168	155.345	211.283	250.653	185.503	211.152	330.022	145.329	227.174	194.389	274.655	58.4172	177.267	208.201	187.566	127.103	93.9626	231.458	313.791	561.805	446.751	118.585	193.935	403.32	206.507	128.029	161.273	480.322	214.765	251.592	431.844	228.158	251.05
HP1BP3	3700	3780.51	2375	3101.21	4770.55	3192.96	3440.91	2511.64	4579.43	4959.6	3173.37	3634.89	4341.49	4691.56	4084.88	3339.71	2714.36	4597.1	3017.5	2778.98	2775.6	2998.26	3005.97	3556.24	4329.41	4497.96	2480.05	4397.87	2109.82	5576.82	3758.2	2062.75	2439.7	3128.37	3031.45	4231.77	4298.16	2162.39	4223.48	2221.62	2997.75	3253.02	2486.07	2938.27	3176.32	2483.49	2871	4756.63	3208.14	3103.76	2483.58	5628.13	3338.76	4773.83	5212.1	1985.82	6902.08	4862.37	4236.23	3471.91	4821.83	3496.29	3498.05	4381.3	4936.92	4007.89	2900.51	2283.12	4942.08	2669.16	5718.11	5170.5	5070.75	2570.69	7376.13	5556.71	2502.39	3934.44	2834.89	3993.94	3729.02	7651.16	4806.54	4595.54	4068.73	3242.42	3028.71
COPS4	660.976	427.031	510.574	528.072	855.832	720.454	505.597	890.736	511.969	708.055	716.908	754.71	792.808	488.889	693.34	548.688	455.996	824.808	725.751	407.13	670.977	583.512	383.59	364.637	724.728	719.644	339.961	660	635.123	440.263	451.906	488.741	858.581	629.341	485.849	647.313	1321.22	512.144	924.242	558.358	939.807	631.011	589.812	811.94	503.253	984.424	632.035	457.457	435.254	482.362	531.736	433.452	513.342	371.028	701.593	611.932	500.798	511.253	709.685	720.377	581.655	735.047	720.467	459.465	719.385	131.833	785.58	918.756	492.561	659.669	348.639	706.735	599.946	727.913	420.067	533.072	767.757	655.677	690.393	638.53	620.223	752.683	293.259	669.245	772.814	1119.9	655.112
GPN3	401.219	387.744	388.973	407.259	386.265	558.398	346.706	520.665	498.368	455.944	325.264	273.718	360.121	308.444	361.498	411.739	416.881	387.506	625.333	453.681	293.758	369.841	292.596	567.35	410.717	334.2	347.238	382.553	558.35	382.962	450.648	439.523	279.021	375.341	295.598	390.595	638.14	305.615	382.035	413.336	499.008	403.879	401.445	381.134	502.277	292.835	302.164	440.988	322.712	409.742	444.188	349.225	336.047	349.533	318.072	480.213	495.476	401.343	416.76	364.494	438.121	397.43	466.897	872.38	324.304	228.143	367.759	486.081	872.476	526.24	536.139	394.288	286.731	447.011	482.905	358.551	383.081	351.872	418.512	399.031	405.193	282.648	341.99	643.767	388.698	416.148	393.557
SCAND1	1932.93	1040.25	1304	1420.05	1275.32	1128.37	1693.91	835.154	778.02	1030.97	914.096	1020.48	1256.36	754.667	1599.9	1065.81	1572.31	1721.14	760.365	1516.21	1461.65	1177.15	3440.55	892.832	2041.07	2148.53	1253.8	988.511	1707.48	1320.79	1711.62	1945.12	5104.98	1900.12	1766.77	999.999999999999	735.834	1751.32	1370.13	3076.64	2025.14	1250.82	917.123	950.925000000001	751.464	4081.62	4670.13	545.746	980.339	1572.84	1404.91	2220.5	1208.05	1393.93	638.591	2597.16	1552.42	1237.35	3530.03	790.898	985.772	990.113999999999	1059.71	734.023	1191.58	2181.17	1087.22	1034.75	520.723	657.944	737.245	905.797	716.826	837.385	727.37	1081.25	904.629	461.527	1162.67	738.288	1731.58	572.898	1812.37	1111.92	516.991	2247.04	630.602
