TCGA-N5-A4R8-01	TCGA-N5-A4RA-01	TCGA-N5-A4RD-01	TCGA-N5-A4RF-01	TCGA-N5-A4RJ-01	TCGA-N5-A4RM-01	TCGA-N5-A4RN-01	TCGA-N5-A4RO-01	TCGA-N5-A4RS-01	TCGA-N5-A4RT-01	TCGA-N5-A4RU-01	TCGA-N5-A4RV-01	TCGA-N5-A59E-01	TCGA-N5-A59F-01	TCGA-N6-A4V9-01	TCGA-N6-A4VC-01	TCGA-N6-A4VD-01	TCGA-N6-A4VE-01	TCGA-N6-A4VF-01	TCGA-N6-A4VG-01	TCGA-N7-A4Y0-01	TCGA-N7-A4Y5-01	TCGA-N7-A4Y8-01	TCGA-N7-A59B-01	TCGA-N8-A4PI-01	TCGA-N8-A4PL-01	TCGA-N8-A4PM-01	TCGA-N8-A4PN-01	TCGA-N8-A4PO-01	TCGA-N8-A4PP-01	TCGA-N8-A4PQ-01	TCGA-N8-A56S-01	TCGA-N9-A4PZ-01	TCGA-N9-A4Q1-01	TCGA-N9-A4Q3-01	TCGA-N9-A4Q4-01	TCGA-N9-A4Q7-01	TCGA-N9-A4Q8-01	TCGA-NA-A4QV-01	TCGA-NA-A4QW-01	TCGA-NA-A4QX-01	TCGA-NA-A4QY-01	TCGA-NA-A4R0-01	TCGA-NA-A4R1-01	TCGA-NA-A5I1-01	TCGA-ND-A4W6-01	TCGA-ND-A4WA-01	TCGA-ND-A4WC-01	TCGA-ND-A4WF-01	TCGA-NF-A4WU-01	TCGA-NF-A4WX-01	TCGA-NF-A4X2-01	TCGA-NF-A5CP-01	TCGA-NG-A4VU-01	TCGA-NG-A4VW-01	TCGA-QM-A5NM-01	TCGA-QN-A5NN-01
SART1	3557.7	2314.15	2061.13	2332.91	2903.35	2722.01	2528.62	2879.76	2866.44	2886.12	1665.71	7172.23	2894.46	2426.86	1676.43	1334.26	1934.27	3103.83	1940.73	1196.01	2504.11	2177.85	6529.43	2600.8	1797.98	1631.44	2920.57	3613.16	2188.09	2328.78	2657.97	3231.56	1923.69	2500.23	3315.37	4689.13	3555.6	2469.74	1563.25	2692.07	2839.3	2173.31	1905.43	2913.31	3660.54	2460.59	2121.02	1617.61	3441.88	1724.78	2109.08	3295.79	1400.08	2379.51	1276.9	2794.57	1945.52
PRPF4	2009.12	913.84	1831.06	1082.44	598.172	1625.65	742.489	2395.33	1262.3	1248.51	1644.46	856.95	843.01	1067.59	533.223	1073.41	976.293	835.307	981.636	1095.93	872.263	590.744	1194.93	449.712	1149.24	1407.33	1211.3	729.959	688.939	805.382	911.693	579.333	985.359	703.513	577.905	1241.54	1309.19	481.89	592.188	634.691	1355.97	1011.76	1135.3	891.141	933.896999999999	800.388	748.437	1248.31	882.325000000001	1141.58	766.616	1375.95	1477.35	883.11	1226.47	585.006	703.458
CBFA2T2	1059.98	696.98	1083.85	788.546	1468.44	820.963	2658.42	1186.85	2564.13	985.237	537.669	736.999	2135.56	1083.15	1060.26	1537.4	1273.35	1671.94	904.841	1327.95	775.091	952.678000000001	885.151	922.02	766.555	1263.74	745.418	2633.57	2290.02	532.371	1276.6	724.062	1686.34	520.843	916.93	578.503	611.53	1215.48	2563.45	892.685	1865.78	1726.99	1226.12	3409.57	1258.95	688.63	2169.89	368.397	756.004	1175.83	1534.25	812.024	1673.14	1286.82	1466.91	1573.79	750.355
FIBP	1834.44	1144.38	1571.66	2239.77	1767.96	1171.88	1218.29	2112.02	1624.88	1637.96	971.629	3863.3	1485.61	1254.34	737.103	1615.42	1825.43	2002.44	1514.61	1121.51	2111.31	955.278	3815.74	2459.9	1983	1867.92	2717.92	1662.44	1374.72	2019.11	1570.25	2293.35	979.147999999999	965.34	2343.78	2895.06	3177.16	1889.62	1191.26	1788.44	958.964999999999	1962.17	1171.35	1570.27	1714.71	1745.48	962.771	1714.22	2135.93	1764.49	1312.02	2293.39	1267.8	1434.6	1622.24	2504.13	1869.26
STK17A	296.036	276.936	539.86	327.879	372.66	168.62	933.185	492.214	205.882	564.851	219.743	121.572	421.965	351.267	1280.23	317.175	445.043	392.281	361.436	1048.81	1485.4	391.576	224.426	892.778	981.222	589.689	414.969	220.639	638.675	494.15	376.205	607.942	673.469	202.342	967.003	492.44	1078.25	1720.98	586.521	317.565	397.413	869.121	665.73	313.8	614.811	930.233	283.598	777.878	404.419	261.075	331.304	705.411	1164.24	339.341	330.482	1502.95	814.306
SRSF11	2947.39	2084.1	2373.4	1444.3	1932.09	1745.44	3189.92	2760.38	2266.63	2363.09	2785.25	2656.22	2319.43	2805.25	3470.08	3260.39	2625	2416.79	2212.02	4290.36	2917.88	2031.2	2237.23	1662.38	3531.92	3240.73	2540.22	4105.97	4483.38	2653.28	2414.95	3387.65	2037.71	2525.06	4314.07	3100.29	2142.51	4328.16	2589.76	2745.95	2938.75	3761.76	3828.18	4351.39	2754.47	1467.05	2359.21	2039.73	2531.7	7501.18	4345.51	2223.25	2145.63	2347.58	1977.49	1410.86	1361.91
SOCS6	452.824	438.604	401.9	419.761	333.914	164.714	342.215	469.723	466.731	584.534	691.956	280.967	369.104	375.723	620.718	616.805	1072.56	891.788000000001	662.771	709.974	449.361	223.089	151.625	405.849	350.662	452.919	425.153	506.905	570.484	681.747	414.371	628.978	545.697	301.171	313.3	291.798	250.318	761.412	312.083	339.028	217.91	848.671	387.172	595.08	640.656	295.22	450.601	390.519	663.785	506.266	743.785	423.647	520.631	336.766	634.849	375.443	214.59
TRIP12	2487.55	3444.36	3448.57	2623.66	2250.76	2550.78	2087.28	4480.1	1811.96	3414.76	3112.1	1465.89	1359.66	1834.59	3709.45	4562.79	2631.47	2042.16	3058.43	2692.25	1754.56	2326.57	3017.95	2866.19	2332.87	3889.22	2051.43	4679.71	2646.09	3566.3	3307.57	2902.56	2302.13	3009.84	2544.99	3589.16	2343.3	1881.18	3390.41	4217.26	4069.13	4045.5	5218.16	4551.16	2714.71	2613.05	2900.63	3201.35	2115.27	5608.14	2272.45	2252.51	4905.34	3603.5	3491.67	2438.02	3082.43
UBE4A	2787.79	1080.39	1181.74	1028.95	1241.18	876.953	1567.11	1362.46	1898.26	2822.85	1599.4	782.926	1401.95	1297.91	781.676	1244.69	1573.64	1336.58	1328.88	989.566	1134.12	1264.17	2273.88	1123.17	1752.92	965.913999999999	1955.7	2566.74	983.145000000001	970.749	1547.66	2084.67	729.37	1379.39	1334.97	2053.79	1067.49	1272.81	916.009	2268.51	1755.81	1874.74	1359.08	1914.05	1145.63	1088.5	1371.81	1329.57	836.695999999999	1303.88	2304.92	1206.41	1374.6	2024.72	1235.48	1257.38	1268.59
PPIG	1031.22	1562.47	780.256	662.052	1057.03	869.792	1352.81	1121.54	561.716	1381.02	1457.87	990.949999999999	734.991	1303.69	1011.97	1397.51	1063.58	833.101	1159.43	1164.14	1210.77	1015.08	1205.47	921.134	940.107	1291.01	1098.27	1440.19	1166.98	969.969	952.585	1303.39	914.373999999999	1159.72	1894.96	1511.44	951.21	2121.08	1251.57	1570.74	1070.95	1720.35	1234.55	2390.88	780.318	892.119	843.098	962.98	1167.63	1309.84	961.948	1162.73	1063.92	2314.62	850.067	1063.16	1079.58
SNRNP40	1146.62	1368.07	1108.63	1395.22	1038.75	1065.76	1203.18	1663.06	380.424	1543.41	1144.19	1419.42	1339.44	726.99	579.86	1568.33	921.336	1006.08	1495.41	1073.49	920.164	1003.12	2783.98	1377.49	921.921000000001	1655.73	1502.04	990.055	980.684	1073.71	987.635	1423.72	608.252	761.124	1106.66	1573.06	1979.94	728.948	902.651	1157.25	1237.11	1401.84	866.105	1803.82	888.171	1038.76	1206.73	1446.5	1182.04	860.653	1107.05	1225.65	858.414	830.587	996.848	877.214	920.891
CDYL	1162.75	940.703	394.465	909.377	599.478	710.287	1024.76	1552.77	712.633	940.246	1030.28	1176.28	773.142	759.003999999999	853.075	1121.42	656.25	1201.99	769.199	1073.94	155.109	988.559	452.366	435.977	614.746	999.574	544.807	1077.83	1219.35	924.727	652.322	695.452	629.104	1109.6	760.739	774.053	634.14	803.15	553.329	957.512	1028.5	561.35	702.247	578.186	733.598	720.284	851.948	843.341	926.513	738.057	929.985	1052.1	811.893	1709.58	629.446	458.087	1054.48
MED17	1335.32	643.253	552.664	563.877	514.584	470.703	591.914	294.983	420.444	735.677	1010.31	217.209	425.182	616.718	641.766	754.848000000001	825.431	861.782999999999	618.531	682.15	938.412	513.781	355.466	423.128	607.235	348.956	593.686	1051.25	748.694	1014.04	657.774	1060.22	573.647	807.026	620.627	896.781	640.6	288.797	399.919	1068.33	601.172	643.149	594.101	592.546	427.932	522.61	457.913	865.011	353.026	754.436	600.71	474.95	669.094	721.421	841.063	369.54	729.512
ADAMTS4	392.845	215.395	1055.35	1357.46	326.077	929.688	988.884	395.761	142.237	230.931	674.53	3006.89	461.036	383.726	585.638	252.078	244.253	292.556	1022.54	313.699	662.409	183.047	332.873	52.7249	552.283	489.987	1666.5	614.809	934.638	295.632	1021.52	159.453	795.918	886.183	214.532	338.139	147.499	590.663	961.344	321.507	523.145	1848.67	945.225	133.882	123.757	924.419	126.599	246.05	706.052	87.8521	475.393	1356.31	1978.56	414.006	237.731	214.876	1372.81
CIR1	879.691	1275.76	1128.05	724.984	1038.31	1577.47	931.768999999999	957.18	1107.52	890.334	1031.13	1091.99	1045.72	1341.04	843.995	969.991	829.381999999999	820.304	830.551	606.754	603.558	920.957	1057.86	783.341	538.446	756.711	677.699	575.754	662.226	731.669	787.07	933.16	870.008999999999	1087.59	1310.62	1273.62	870.462	905.599	1093.3	824.792	840.914	713.701	1014.98	535.529	866.799	911.499	963.925	600.452	732.949	1407.12	688.99	382.765	545.712	1048.4	596.128	644.628	720.512
RBM39	6345.49	6232.77	4790.58	2365.64	7103.61	2625	7701.02	4947.23	9547.25	3008.79	3554.56	6047.82	7731.42	5363.72	4624.43	4344.41	4047.77	4980.51	3263.36	6220.13	5105.84	4825.27	4566.34	3154.19	6345.52	6178.53	5835.03	7128.07	5900.27	4010.92	5094.73	5661.23	4188.55	4872.6	4392.63	5884.33	3592.2	8225.86	6216.96	4842.75	6724.08	6166.67	4844.1	6642.59	5515.9	2994.83	7229.24	3409.48	4490.39	7324.98	6750.89	3458.12	3731.8	4778.06	2835.21	4662.93	2984.37
WTAP	1539.46	2146.62	2219.74	2468.22	1704.83	1523.44	2978.45	2203.72	1561.72	905.097000000001	2112	2493.04	2077.19	1308.58	2476.27	2267.31	1924.57	2134.82	2366.03	1445.53	1755.47	1292.77	1451.99	1574.21	1495.55	1425.22	1624.24	1540.04	2971.93	1752.73	1323.73	1807.84	2495.12	2582.2	1395.61	1654.54	2494.57	2149.32	1852.26	2066.58	2075.2	1341	1700.84	2841.94	1936.38	2047.8	1922.08	1679.01	2299.23	2112.92	1879.76	1832.87	1652.51	1931	1549.75	1536.6	1013.26
SETD1A	1007.37	1057.92	1501.86	901.196	1319.55	1724.61	1957.47	1616.78	2202.03	803.866	2934.01	1405.92	4116.68	1741.66	785.39	1120.5	1074.35	1084.18	741.235	1777.63	1266.42	1230.37	1142.71	699.601	989.128	1348.1	1369.65	2595.72	1060.12	1105.69	1067.47	1621.88	1438.33	3488.99	1098.39	1503.29	961.976	1177.95	1444.24	2088.48	1731.15	1338.96	1425.56	2023.02	862.823	1095.61	1229.05	1213.09	1528.82	1202.63	1897.51	955.911999999999	899.676	1458.29	1162.99	1232.59	890.1
HDAC4	370.046	1819.86	617.927	628.697	722.682	318.359	477.213	780.709	1172.61	434.798	641.377	218.83	653.172	570.031	359.884	1114.96	838.003	552.9	282.137	644.901	419.252	2222.57	505.586	428.888	546.353	979.974	414.46	1821.88	1365.58	481.669	820.952	965.135	494.233	691.803	1000.08	649.288	416.659	642.52	1230.52	1266.32	981.605	699.898	1654.96	829.901999999999	728.628	528.424	1020.11	502.032	572.046	1113.29	409.944	468.136	569.175	1469.62	832.958	414.994	706.774
BCLAF1	4602.95	2884.14	3143.74	2462.56	3143.67	2088.54	3541.1	4114.62	3733.85	3092.44	3754.76	2782.12	2869.18	3373.5	3799.01	3387.35	3648.35	3293.57	3446.16	3507.24	2875.46	2844.51	1693.99	1533.89	3199.05	2720.92	2510.69	3621.21	4001.12	2483.23	2507.25	4185.34	3686.78	2610.77	2575.3	2786.08	2461.19	4673.45	2620.93	4468.68	4001.62	3133.95	2911.99	3970.86	3449.3	1938.63	2847.14	3341.76	3428.91	3829.26	3444.95	2636.47	3021.44	4127.7	3973.89	2580.28	2101.37
TATDN2	1159.59	1011.18	1068.57	1107.61	1215.93	1988.28	1553.89	1081.31	1712.15	2574.34	1948.78	1336.21	1680.96	1511.34	1139.91	1094.64	1572.2	1689.59	1549.67	1313.14	1059.76	914.197	1581.52	1198.94	1485.27	1054.96	1403.77	1927.37	1463.29	1081.9	1770.81	1691.3	1278.17	807.493999999999	1573.85	972.149	1363.56	953.24	1468.53	999.123999999999	1260.56	1016.87	1583.8	1564.78	1847.91	1425.71	2092.16	972.461	1629.2	658.643	1662.1	3074.55	1749.6	900.103	2063.48	1051.95	1853.62
DAZAP2	2031.22	3129.82	4421.31	3748.27	3070.96	2236.98	2516.34	2417.82	1668.27	4409.84	3262.99	2317.98	3068.67	3002.67	5832.44	5247	5878.95	3455.96	5292.57	2053.18	2768.25	3146.13	1154.26	5446.61	4245.9	1970.17	2778.51	3133.23	3657.71	6320.2	2684.84	4983.87	3634.43	4403.75	2377.31	3377.82	5653.96	2442.34	3833.64	2281.65	2642.41	1892.64	3806.65	1477.77	2353.38	4979.97	2693.22	5724.6	2459.65	4520.66	3472.86	3167.54	4234.63	1913.49	3724.45	2763.28	2808.15
ZC3H11A	4648.19	3315.9	5176.79	2964.13	3218.98	3458.98	4835.85	4132.79	5479.27	3782.07	6338.97	3611.51	4612.65	3190.75	5926.12	5551.25	3599.14	3166.49	4341.4	6151.46	2422.9	2655.75	2486.76	2064.24	3657.64	5067.32	3108.45	11591.2	4203.23	4147.04	3517.09	2848.7	4689.88	3982.67	4382.52	3513.28	2236.72	5942.89	5806.52	3996.5	3074.19	3262.78	3960.67	5026.71	3648.61	2423.77	3310.44	2825.73	3177.23	5004.09	3607.31	3258.12	3683.66	4079.81	5141.38	3033.65	2087.16
DDX46	1439.49	1066.72	1194.96	617.369	902.046	712.891	1224.89	2475.78	749.758999999999	1396.13	1420.89	1412.94	769.465	1225.43	1490.71	1793.17	1750.36	1505.14	1359.77	2379	1185.68	914.717000000001	955.440999999999	879.486000000001	1204.19	1666.38	864.562	1924.55	1432.36	1692.28	1775.87	2305.13	932.121	891.335	1021.21	1328.62	1353.87	1211.26	1249.14	2060.88	2073.18	1797.55	1110.02	2558.55	1539.26	1131.14	1256.37	1119.64	1332.37	1097.9	1628.61	1388.38	1300.97	1322.35	2137.33	1105.08	1368.55
UBAP2L	5445.46	10538.2	5668.32	3589.05	3303.44	5959.64	5651.03	4522.49	2905.01	4706.15	4852.19	4531.14	4721.13	4641.17	4345.03	5066.02	3258.98	3270.63	4615.19	6956.58	3515.97	4583.46	5445.46	2941.52	3163.87	5075.84	4204.18	5324.72	3903.05	4353.74	2784.93	3516.81	7741.79	4575.18	5798.34	5544.15	5410.1	4786.86	4547.66	3659.66	3936.93	4541.92	4508.9	4242	3578.53	2277.78	3514.38	2790.52	4417.87	3580.59	5376.97	6333.07	3595.87	7619.98	5804.14	2753.84	5381.81
AP5Z1	775.868	968.055	1052.04	1309	1001.74	1522.14	1319.77	698.529	528.447	528.647	1057.91	724.571	871.509	1762.56	818.820000000001	205.91	734.195	613.353	551.336	684.842	668.796000000001	505.98	1698	1295.08	827.436	910.098	624.745	628.9	1018.29	933.697	1022.3	920.958999999999	910.381	496.019	610.061	496.005	1586.96	488.636	1188.83	624.617	707.904	1022.49	868.914	829.057	695.825	1977.39	871.187999999999	620.768	956.771999999999	507.755	655.505	934.669	651.294	875.386	606.033	1090.32	1041.21
RBM8A	3274.96	5668.34	4800.4	2063.3	2888.48	3425.9	3093.89	2697.57	1553.81	2313.38	3111.49	4966.21	1996.89	1985.24	2901.48	3834.74	2188.52	3670.27	2398.21	3126.4	2116.62	1705.44	8268	3285.25	2359.11	3656.72	2723.23	3045.19	2459.18	5171.21	1901.63	2088.32	3152.8	3727.88	3775.21	3195.97	3318.59	2539.51	2616	2101.48	2999.49	4193.44	2108.82	1603.53	1429.48	2845.07	1995.12	2134.69	4256.8	2127.86	2487.48	2679.36	1722.56	3846.11	3614.99	3338.93	3739.59
THRAP3	3194.32	3147.4	2696.82	3168.03	2376.58	3740.23	3232.4	4082.61	3254.1	3662.92	3376.05	3178.17	2107.98	2914.63	2496.9	3670.82	3561.42	3324.02	3268.78	3600.58	3128.65	2810.19	3038.03	2125.83	3280.49	3893.91	3877.29	3174.3	3488.99	3124.41	2909.16	2523.49	2019.52	3989.23	3310.32	3744.48	2584.47	2806.18	2783.24	3432.76	2789.57	3421.78	3206.46	5020.8	2844.93	2480.62	2463.49	3519.64	3513.93	3733.47	3736.17	2930.26	2861.65	2827.5	3933.81	2154.66	1980.1
THOC1	629.604	785.384	790.582	451.856	733.13	594.401	1666.71	611.159	1411.28	730.404	740.41	890.45	1215.79	1414.41	529.922	688.827	616.739	431.995	708.264	911.925999999999	722.172	488.82	853.019	603.013	710.022	722.625	797.861	456.577	1253.1	684.087	484.471	590.693	1182.79	1005.62	713.423	529.106	516.786	802.729	513.256	516.426	965.029	726.994	682.584	872.981	553.678	745.478	384.416	572.009	999.999999999999	845.266	735.667	357.114	554.207	554.068	519.135	962.81	471.341
HDAC5	1820.06	1173.19	1377.12	1983.01	2749.67	1773.44	2787.28	2491.35	1549.66	756.766	2287.11	5073.62	2267.49	1196.09	947.998000000001	1273.31	1494.25	2566.82	1212.85	1055.09	332.573	2708.79	1666.37	1554.28	1354.02	3653.6	1323.32	2368.24	2094.59	2449.69	2154.8	2390.96	1641.08	1939.11	2746.2	1119.83	1898.65	1198.61	3783.04	2982.48	1619.57	1448.88	1077.72	1090.06	3863.32	2452.84	3759.5	1068.17	1730.07	1371.39	2524.61	1691.38	1328.48	1664.26	1286.81	1442.74	1518.71
SMC4	2372.5	3197.71	4289.55	2248.58	1311.71	1186.85	3849.33	5339.97	1176.47	5887.52	2951.01	3475.89	2135.1	2172.08	2567.07	2901.2	1543.1	2744.2	2259.6	2513.63	3267.79	2955.28	2118.24	1674.35	2149.04	2909.25	1187.37	5196.68	4845.07	4422.78	2944.99	1963.51	1818.99	2338.17	2267.06	2681.18	1396.94	2980.3	4574.38	3564.17	2753.59	1915.13	1369.85	8230.6	2198.31	1257.75	4410.97	2202.71	4420.27	1046.78	2846.78	3888.98	2871.36	3128.22	2294.46	1712.51	2185.22
PQBP1	1485.44	1338.28	16952.1	4631.21	2686.98	3936.2	2522.01	1266.44	2049.66	1459.05	1562.85	2039.71	3548.55	6796.8	1182.83	1000.92	1228.45	1547.94	1286.73	895.321	2612.68	1464.38	5017.2	1734.16	731.37	1011.93	4593.18	1148.69	820.752	746.1	1460.42	1849.07	5295.03	2662.76	3301.59	2271.23	3231.53	2255.99	1540.58	1488.39	796.442	2144.17	1104.87	1403.86	1482.6	1005.17	972.391	964.786	1112.39	1784.34	1252.16	3138.28	844.66	1943.36	890.59	3162.34	3087.64
NAMPT	842.862	1910.22	1205.29	1524.86	833.696	431.641	585.778	3074.83	481.678	1050.62	790.564	547.886	428.4	468.653	1709.45	1577.1	1683.91	1104.48	1252.5	1181.2	1537.87	375.975	404.167	552.06	2046.25	971.027	516.802	385.715	950.104	8118.17	2298.12	867.528	1181.46	939.578	742.364	762.85	1925.57	1310.76	849.626	825.23	1453.41	2999.49	1278.56	4273.68	1024.35	4549.74	690.332	2246.05	760.327	1102.37	945.713	742.285	1641.99	2161.69	864.926	946.871	1064.9
RBM6	1691.25	1136.32	1251.97	1100.23	1559.86	1727.21	3372	1028.32	1839.44	876.879	1367.17	2521.9	2377.84	2317.23	968.324	1109.71	1556.3	2228.54	1335.8	1237.11	1344.46	745.845	1685.98	1331.52	1583.26	1107.56	2156.95	2631.26	1227.9	1084.72	1473.11	1219.2	4311.77	938.295	1433.52	1197.73	1024.51	1508.49	1050.11	1491.34	850.320999999999	769.939	1850.79	1666.14	2540.88	1333.33	1347.54	1283.73	1381.59	1246.31	2121.2	1368.66	1013.35	845.52	1177.3	792.798	1421.13
ALYREF	3538.06	2925.17	3309.79	3224.04	2475.4	3732.42	2117.96	2069.2	2778.69	2460.81	1359.26	6947.45	1572.48	2124.06	2862.57	2095.57	1657.69	3053.97	1859.35	2183.33	2329.84	2406.14	5761.77	4427.56	1416.09	2312.31	2967.92	1374.96	6381.48	1781.2	1336.19	1771.24	3443.66	4483.37	1894.96	3585.09	4672.07	1442.3	2431.49	1077.53	1172.83	1847.14	1229.87	4143.17	1335.49	2965.12	4058.49	1681.26	3153.7	5061.67	2520.04	3784.77	1358.01	1638.52	1561.46	1814.64	1824.25
DDX39A	1629.25	2129.52	1802.56	2211.45	1416.63	1168.62	3127.14	3306.23	1033.75	1497.36	1643.61	5162.23	2673.82	4064.47	884.441	1961.68	1350.93	2370.9	1572.62	906.99	3376.37	2482.06	1708.05	4893.22	1745.01	2708.56	3484.22	804.848	3170.88	2672.39	2732.35	1433.4	2144.19	3105.85	2101.68	5902.66	3029.66	3200.37	2328.27	2142.36	1064.89	2612.47	802.434	1591.81	1077.04	2917.96	781.53	1602.71	1861.67	728.13	1995.43	4105.01	2336.16	3579.81	1513.28	3485.83	3979.63
SRRM1	2102.77	1571.26	1624.12	1457.52	1300.39	1134.11	2292.13	1926.04	2111.38	1627.07	1855.28	2215.86	1477.8	1837.71	1505.98	1788.09	1155.53	1883.74	2025.46	2756.87	1531.93	1928.76	2147.36	1255.21	2056.93	2163.19	2131.87	2437.49	1679.11	2239.47	1461.98	1782.6	1182.34	1111.94	1379.07	1248.16	1604.19	2043.5	1683.46	2062.2	1857.29	2824.64	2686.8	3556.12	1257.95	1201.55	1496.49	2060.95	1832.37	3547.83	2616.95	2477.35	1904.53	1498.46	2061.23	1704.25	990.525999999999
SF3B4	3608.21	3737.41	3734.82	2796.1	2824.12	2992.19	3637.87	2883.65	2955.64	2098.42	1973.01	3414.29	3822.96	4055.58	2267.85	3186.52	1845.19	2827.16	2694.07	3497.36	2621.81	1937.08	3800.18	3029.69	1630.76	2537.71	2918.53	2774.09	3081.25	4386.51	2180.51	1985.8	4773.74	3592.97	3777.05	3048.34	3563.67	4588.71	2690.14	1608.85	2824.74	2329.75	2452.72	2428.89	1991.05	2908.27	1985.19	2339.95	3459.65	1654.8	2838.66	3014.03	1635.52	3369.72	4509.68	3544.86	4994.32
BCAS2	837.534	896.471	1570.68	1204.59	636.879	1223.71	1396.84	656.194	533.708	1199.23	1191.73	1215.26	749.006	1012.65	1038.23	1273.34	880.902	913.881999999999	1073.11	611.264	1022.55	715.855	1835.39	1262.78	1045.32	1008.88	952.139	592.233	1090.18	608.085	726.862	757.038	597.888	993.166	1068.69	1545.64	721.681	1444.32	874.26	778.673	1299.96	1094.91	791.817	596.165	638.802	755.026	642.44	900.202999999999	789.414	976.062	712.958	1198.47	832.5	585.391	844.003	839.852	825.836
SF3A1	2667.79	2485.53	2860.78	2885.44	2441.38	2781.88	3444.79	4562.19	1147.54	4017.86	2738.83	3136.57	1931.38	3283.68	2176.14	3145.84	2571.48	2174.09	2554.26	3660.58	1883.21	2063.95	3239.34	3116.53	1759.47	3352.34	1858.45	3375.98	2930.98	4240.32	3423.8	3083.58	2439.37	2452.93	2596.83	2217.25	2768.04	1965.8	4380	4480.82	2518.93	4060.25	2365.38	5225.94	2648.51	2000.59	3054.75	3005.49	2936.03	2324.8	3875.5	2851.25	2216.42	2916.55	3347.36	1546.04	2682.36
BPNT1	424.413	527.009	670.797	481.435	702.656	700.521	616.459	469.291	407.907	527.944	895.973	848.845	478.502	492.663	1257.94	1053.09	1016.52	681.748	796.745	862.111	986.77	412.897	510.104	708.019	1004.55	968.896	540.224	531.868	835.515	803.042	364.132	621.405	645.519	663.7	797.49	630.446	792.405	1181.33	865.007	671.047	503.74	789.366	446.161	383.064	490.557	620.155	857.72	833.86	517.771	961.41	565.703	874.549	744.337	820.288	1110.31	507.084	417.338
CD2BP2	2489.3	1774.44	3791.82	1350.53	2985.63	5120.44	3446.22	2845.16	2888.14	2563.44	6457.97	2942.05	3336.19	2175.63	1200.58	2532.78	2460.13	2184.68	1354.76	4011.67	928.376	1136.25	3528.56	2057.6	1949.4	2468.68	2503.05	2810.73	2867.53	1525.35	1613.09	2012.31	2413.04	2444.03	1186.59	2937.84	1871.2	1145.49	1825.54	3218.13	2506.97	1399.8	2676.5	1882.8	1145.13	2516.8	1906.3	2755.76	3768.49	2144.19	2774.23	1343.89	1461.16	1730.18	1660.51	4269.78	2650.4
RBM14	1721.66	1501.26	1394.5	1376.95	1382.54	1081.51	1712.69	1671.53	1944.01	1393.72	1510.29	1840.56	1383.86	1355.48	1404.55	1739.34	1774.59	1991.53	1346.52	1668.3	1575.16	1113.19	1917.4	1464.07	1336.3	1703.31	1923.69	1678.14	1983.51	1639.59	1728.33	1311.08	1109.37	1420.65	1623.09	2074.69	1515.14	1258.19	1557.19	1510.19	1489.46	1560.08	1287.75	1717.65	1682.46	1184.99	1484.67	2013.49	2376.49	1354.06	1854.14	1937.45	1097.53	1354.4	1828.52	1174.62	1280.3
PPIE	890.214	1248.9	1237.09	877.281	1171.09	1682.29	967.171	2035.01	1578.59	1981.02	874.721	1323.79	1133.97	1562.03	631.449	1330.1	956.897	825.599	866.444	970.717	808.85	1029.12	2065.02	1798.85	1323.19	1577.76	1643.08	683.255	949.049	1327.22	757.472	942.416	906.389	1529.27	1089.66	1372.93	2246.38	1506.8	692.977	663.601	874.065	1071.57	1223.78	862.845	993.539	1452.2	834.632	804.966	913.064	1442.86	1403.35	1171.14	654.531	330.587	666.366	1087.37	738.513
TAB1	895.528	681.077	384.886	1043.95	702.682	719.857	731.236	722.383	762.633	1354.61	888.747	789.318	812.204	806.332	410.446	585.743	578.495	1145.64	757.333	1021.33	930.113999999999	861.825	985.119	588.37	568.433	660.188	659.527	1095.41	761.58	367.773	1333.25	704.031	533.545	557.073	1125.67	512.214	1021.49	893.782	688.747	1099.49	537.251	626.943	676.479	769.097	1571.71	864.871000000001	999.111	778.686	700.793	800.784	1336.48	871.904	932.027	1189.11	1056.94	732.444	1087.29
ZBTB18	1591.72	1636.71	878.563	88.7351	70.0914	71.6146	166.151	321.367	1838.48	567.663	262.671	258.274	491.373	244.108	199.34	846.722	200.072	430.229	492.488	791.653	8286.5	2098.28	10.0414	45.6358	281.479	484.448	211.813	1112.86	155.714	279.251	625.061	697.556	1581.19	2320.37	243.473	1263.95	389.205	622.705	79.7409	2413.93	1465.13	183.538	191.011	171.048	565.109	440.568	290.139	90.7449	936.119	1012.04	179.604	153.106	108.01	1795.57	720.396	285.714	211.748
DDX17	7451.77	6858.93	6317.22	6565.14	5578.58	7462.24	7581.6	8781.14	6194.31	5252.02	9104.23999999999	6829.66	9966.27000000001	7609.16	6749.48	8771.47	5562.86	9427.1	5396.49	14388.4	8348.08	7486.74	5514.75	3448.83	5185.61	6365.15	5418.53	12630.8	9238.82	7815.13	12910.9	9781.77	6201.86	6809.84	12762.6	5656.7	5937.12	9384.41999999999	6242.06	11236.5	5818.88	5220.35	7435.39	8183.3	24888.2	5693.8	9048.97	6406.77	6885.69	12572.8	16116.7	5527.86	7543.69	5801.24	7132.37	6146.4	7170.54
