TCGA-N5-A4R8-01	TCGA-N5-A4RA-01	TCGA-N5-A4RD-01	TCGA-N5-A4RF-01	TCGA-N5-A4RJ-01	TCGA-N5-A4RM-01	TCGA-N5-A4RN-01	TCGA-N5-A4RO-01	TCGA-N5-A4RS-01	TCGA-N5-A4RT-01	TCGA-N5-A4RU-01	TCGA-N5-A4RV-01	TCGA-N5-A59E-01	TCGA-N5-A59F-01	TCGA-N6-A4V9-01	TCGA-N6-A4VC-01	TCGA-N6-A4VD-01	TCGA-N6-A4VE-01	TCGA-N6-A4VF-01	TCGA-N6-A4VG-01	TCGA-N7-A4Y0-01	TCGA-N7-A4Y5-01	TCGA-N7-A4Y8-01	TCGA-N7-A59B-01	TCGA-N8-A4PI-01	TCGA-N8-A4PL-01	TCGA-N8-A4PM-01	TCGA-N8-A4PN-01	TCGA-N8-A4PO-01	TCGA-N8-A4PP-01	TCGA-N8-A4PQ-01	TCGA-N8-A56S-01	TCGA-N9-A4PZ-01	TCGA-N9-A4Q1-01	TCGA-N9-A4Q3-01	TCGA-N9-A4Q4-01	TCGA-N9-A4Q7-01	TCGA-N9-A4Q8-01	TCGA-NA-A4QV-01	TCGA-NA-A4QW-01	TCGA-NA-A4QX-01	TCGA-NA-A4QY-01	TCGA-NA-A4R0-01	TCGA-NA-A4R1-01	TCGA-NA-A5I1-01	TCGA-ND-A4W6-01	TCGA-ND-A4WA-01	TCGA-ND-A4WC-01	TCGA-ND-A4WF-01	TCGA-NF-A4WU-01	TCGA-NF-A4WX-01	TCGA-NF-A4X2-01	TCGA-NF-A5CP-01	TCGA-NG-A4VU-01	TCGA-NG-A4VW-01	TCGA-QM-A5NM-01	TCGA-QN-A5NN-01
KIF22	2118.55	2174.95	2449.4	1573.32	3824.12	2583.98	4535.18	2859	2534.72	1231.99	4169.16	5690.67	6038.05	3080.48	865.456	2172.21	1865.66	2674.48	1138.15	3178.28	3186.13	1765.47	3332.75	2441.74	1224.35	2762.68	2439.92	3119.54	3101.28	1790.17	1420.31	2942.95	2348.71	3266.98	2184.37	2819.69	3073.26	2196.54	2026.72	3031.1	2048.51	2284.25	1501.87	4629.29	1335.98	2432.17	2001.73	1809.03	4514.41	1697.98	4424.66	1827.25	1696.2	1955.72	1362.9	5382.53	2232.59
LIMK1	1228.34	3764.77	2047.91	1980.49	1845.45	2058.59	858.606	2222.75	5273.38	2797.89	1174.37	1012.56	1558.7	2171.63	2677.67	1802.86	941.092	803.536	1445.74	2138.45	2542.88	1563.7	703.402	1191.4	1679.38	1275.24	937.882000000001	1907.64	1114.96	2226.6	1803.52	1874.73	1569.21	3748.48	2698.42	2639.93	1378.63	997.508	1855.49	1023.65	1980.19	1537.32	1839.42	1538.17	2921.97	1000.65	1267.92	2127.31	1827.57	1518.3	1926.43	2430.46	2016.18	970.649	628.096	1237.9	1494.08
LMNA	7581.55	15888.4	5707.15	10004.4	7511.97	7520.18	18007.6	3310.99	7914.66	5262.92	13525.4	15120.4	6903.58	4772.34	8262.07	4461.22	4124.64	12879.5	10453.3	5093.23	5527.83	16110.2	4977.53	8852.9	6233.25	5780.57	29404.8	11102.8	9021.94	4072.93	15420.9	6773.19	8464.06	7548.48	5385.81	7897.38	5535.53	13193.2	18201.2	7541.83	4920.56	5082.31	8752.81	5117.09	7387.18	9989.02000000001	6384.99	5967.95	13587.9	3155.73	4009.13	26161.5	8145.63	19691	6135.52	7670.6	23923.3
FOXO4	484.742	744.357	584.882	290.12	355.681	410.156	662.717	972.751	427.194	494.903	577.197	199.379	272.117	224.1	271.151	279.317	243.175	1022.84	349.332	190.733	46.9891	949.038	518.137	459.902	269.223	257.776	217.923	2706.85	320.568	680.577	870.801	691.245	670.364	543.794	405.636	969.603	198.64	262.236	470.755	1459.48	704.669	539.366	445.225	151.621	429.921	360.465	475.613	258.239	416.907	454.647	368.341	341.483	211.57	1601.44	291.31	86.7769	354.808
MSX2	105.928	188.531	310.202	187.539	419.243	113.281	68.9151	471.021	13.5005	315.993	317.076	19.4516	845.768	228.991	258.357	232.687	2484.2	411.697	58.4307	121.62	174.726	50.962	42.174	2532.12	145.088	314.444	1600.81	45.094	50.616	28.8612	396.067	36.6028	574.978	19.2037	226.935	47.3598	170.647	310.72	429.468	130.53	61.0471	246.933	386.236	490.339	217.197	121.447	33.0928	585.553	282.421	33.2547	196.347	140.281	290.453	74.1504	326.43	813.459	1710.09
NFATC4	1410.73	1570.77	2477.49	6395.22	1589.03	1722.66	7940.81	2001.3	2509.16	311.424	2060.57	4478.18	3077.86	1996.44	1529.92	591.874	1564.66	2725.67	1876.04	910.131000000001	1548.36	798.752	2133.8	272.043	2554.26	1476.78	5056.52	1526.75	2506.19	1205.15	2296.17	665.16	892.635	1395.32	1204.96	459.849	278.311	943.122	4327.87	795.883	802.506999999999	1537.83	1175.09	4151.2	2827.53	1206.07	1780.09	1392.33	3222.86	1290.48	2417.55	2296.59	2042.88	1164.26	1270.6	2191.26	2211.27
PARN	932.654999999999	891.861	1061.54	739.459	1483.24	1841.15	678.294	999.999999999999	1439.73	927.592	1069.81	903.958	1084.79	819.475	547.668	978.763	1039.87	827.806	779.633	911.478	890.055	837.233999999999	920.296	714.222	898.201	1270.13	938.9	799.614	969.788	783.541	848.213	1358.93	988.465	2508.67	1194.86	1509.91	1002.89	791.345	1001.01	831.8	1516.07	1135.48	1142.32	1162.71	530.815	1093.02	1088.99	1049.21	619.596	1048.27	1374.43	720.24	1582.52	706.488	1024.76	948.642	1009
PCBP1	11497.4	10139.2	9548.95	9879.17000000001	8865.04	6313.15	6046.12	11763.4	8459.02	8359.58	8650.3	9705.79	8522.95	12320.1	8646.31	11427.1	7389.01	8740.94	7686.14	5862	9007.3	13567.9	5861.68	6820.12	7132.63	9425.65	9620.67	6242.7	7176.57	11629.9	8274.17	8119.08	6738.69	15291.8	16204.3	12891.5	7748.02	18766.7	11497.7	18568.1	10728.9	9881.90000000001	7739.7	7340.72	6400.1	7870.8	7287.35	9244.7	8896.25	9865.73999999999	10171	6905.81	10769.4	14601.4	6970.28	7635.18	6468.02
PLAG1	579.797	1235.71	179.678	41.5356	195.037	8.4635	608.907	325.692	419.961	132.513	384.656	246.927	701.436	915.518	261.659	329.178	13.2902	575.404	70.5342	454.617	32.3905	137.805	199.824	3.1015	7.5114	297.401	165.988	343.439	235.856	1077.22	858.338999999999	316.382	27.5067	204.215	480.056	261.243	85.5927	634.51	440.801	429.26	131.393	401.841	20.5993	54.9044	1258.95	337.855	93.5065	15.8014	323.727	814.493	618.975	6.012	151.699	150.875	5.403	11.2161	157.745
PLRG1	1185.2	715.052	1217.27	1020.14	662.168	1046.88	1585.52	1130.62	536.644	1166.96	1197.32	1110.9	893.572	843.041	964.507	1596.03	1014.73	1118.16	840.985	920.005	891.88	743.63	1062.38	758.086	917.968	872.603	938.9	877.723	708.975	1167.32	681.53	604.156	844.721	632.318	673.916	792.386	1281.74	1487.41	676.381	1096.36	1112.59	758.691	906.367	1181.29	824.056	663.437	812.698	916.027	857.349	840.799	1071.03	1359.92	855.582	902.677999999999	805.043	476.978	959.261
