TCGA-OR-A5J1-01	TCGA-OR-A5J2-01	TCGA-OR-A5J3-01	TCGA-OR-A5J5-01	TCGA-OR-A5J6-01	TCGA-OR-A5J7-01	TCGA-OR-A5J8-01	TCGA-OR-A5J9-01	TCGA-OR-A5JA-01	TCGA-OR-A5JB-01	TCGA-OR-A5JC-01	TCGA-OR-A5JD-01	TCGA-OR-A5JE-01	TCGA-OR-A5JF-01	TCGA-OR-A5JG-01	TCGA-OR-A5JI-01	TCGA-OR-A5JJ-01	TCGA-OR-A5JK-01	TCGA-OR-A5JL-01	TCGA-OR-A5JM-01	TCGA-OR-A5JO-01	TCGA-OR-A5JP-01	TCGA-OR-A5JQ-01	TCGA-OR-A5JR-01	TCGA-OR-A5JS-01	TCGA-OR-A5JT-01	TCGA-OR-A5JV-01	TCGA-OR-A5JW-01	TCGA-OR-A5JX-01	TCGA-OR-A5JY-01	TCGA-OR-A5JZ-01	TCGA-OR-A5K0-01	TCGA-OR-A5K1-01	TCGA-OR-A5K2-01	TCGA-OR-A5K3-01	TCGA-OR-A5K4-01	TCGA-OR-A5K5-01	TCGA-OR-A5K6-01	TCGA-OR-A5K8-01	TCGA-OR-A5K9-01	TCGA-OR-A5KO-01	TCGA-OR-A5KT-01	TCGA-OR-A5KU-01	TCGA-OR-A5KV-01	TCGA-OR-A5KW-01	TCGA-OR-A5KX-01	TCGA-OR-A5KY-01	TCGA-OR-A5KZ-01	TCGA-OR-A5L3-01	TCGA-OR-A5L4-01	TCGA-OR-A5L5-01	TCGA-OR-A5L6-01	TCGA-OR-A5L8-01	TCGA-OR-A5L9-01	TCGA-OR-A5LA-01	TCGA-OR-A5LB-01	TCGA-OR-A5LC-01	TCGA-OR-A5LD-01	TCGA-OR-A5LE-01	TCGA-OR-A5LG-01	TCGA-OR-A5LH-01	TCGA-OR-A5LJ-01	TCGA-OR-A5LK-01	TCGA-OR-A5LL-01	TCGA-OR-A5LM-01	TCGA-OR-A5LN-01	TCGA-OR-A5LO-01	TCGA-OR-A5LP-01	TCGA-OR-A5LR-01	TCGA-OR-A5LS-01	TCGA-OR-A5LT-01	TCGA-OU-A5PI-01	TCGA-P6-A5OF-01	TCGA-PA-A5YG-01	TCGA-PK-A5H8-01	TCGA-PK-A5H9-01	TCGA-PK-A5HA-01	TCGA-PK-A5HB-01
USP22	9473.58000000001	7534.02	5698.71	3631.29	4402.11	4282.79	6537.92	6036.35	5090.91	2135.23	3928.75	6661.41	4590.5	5526.02	5056.03	4737.28	4402.5	2651.41	5210.71	7547.41	4842.5	4122.09	6901.96	4910.33	6696.63	5862.85	1366.04	3663.01	6575.64	8045.68	6077.58	5125.79	2750.94	4247.03	3256.14	9661.26	3262.75	7847.55	4368.65	4650.4	3517.34	5157.03	3493.18	7942.15	4463.35	5213.19	6227.34	5369.7	5353.79	4135.48	4040.42	2078.5	5543.5	2973.12	4625.55	4289.54	2824.97	5046.13	3161.9	6945.74	6165.22	5143.22	3844.07	4536.56	3320.43	3620.81	4764.06	5270.59	4798.33	3638.83	4176.87	4432.73	4175.21	2925.1	2954.4	5466.28	4307.06	4496.79
SF3B1	4731.99	6279.83	3666.42	3970.57	4175.78	8831.93000000001	4242.44	4032.85	3433.4	4712.93	5269.08	3120.15	3182.13	3752.87	4811.5	3817.76	2937.97	3400.46	2824.52	5610.34	4389.51	4115.06	3823.23	4367.14	3984.09	3566.98	5358.26	3964.46	3667.91	4655.17	5100.25	4216.7	3863.9	3920.54	2966.36	3942.61	4310.52	5063.1	2791	5898.86	4137.77	2655.11	2313.59	3997.69	3794.25	6317.4	4714.11	6706.67	7042.41	4559.67	5228.84	5543.93	6259.38	4956.99	2628.22	3661.03	6422.66	9374.49000000001	5273.94	5062.45	3091.64	4261.77	3722.03	5594.74	3284.41	3886.71	4261.89	3739.84	5165.69	3566.32	2683.67	3823.26	3933.52	4136.85	4502.81	6806.94	3863.29	7469.93
GCAT	462.056	123.205	257.74	507.359	197.276	830.726	231.662	557.228	401.691	501.281	237.277	497.573	1148.76	394.633	945.318	213.691	603.302	549.962	543.106	877.155	242.962	1171.72	410.471	235.681	618.202	517.352	160.955	241.334	259.445	270.936	169.269	845.666	472.015	901.749	721.863	878.5	393.202	347.299	478.955	364.116	141.518	731.214	438.049	1815.27	452.005	328.394	1998.89	523.03	1137.28	311.403	584.38	562.617	344.373	983.871	719.61	800.093	202.171	1411.13	775.561	1097.94	389.928	637.805	291.525	128.01	599.13	374.567	888.996	308.09	275.314	258.174	477.891	506.271	219.398	652.335	168.02	47.457	175.855	374.9
SRRM2	7046.59	13503	15826.4	13762.2	6514.59	6228.99	6274.35	9340.96	11132.1	4381.86	13409.7	10151.1	4460.97	10310.3	10590.9	6716.87	8394.41	11068.6	5844.02	6177.58	5803	7972.77	6979.13	17865.3	9093.22	17798.9	19905.5	18717	13334.8	9500.67	19946.9	7599.89	12477.7	6030.62	10657.1	20160.1	7113.91	7914.18	8995.65	10874.2	13361.8	4675.27	9219.96	7804.08	11298	8394.84	10927.7	9499.38	6243.3	13625.1	13556.5	16502.8	16776.1	7344.09	5491.49	5882.26	8911.8	7540.03	9181.26	4793.08	5074.58	6164.1	5762.71	12035.3	9407.77	10174.5	11336.4	17208.5	19588.3	10364.9	10854.6	11473.2	14770	8854.83	20010	11834.2	15889.7	13784.3
SHPK	299.231	204.536	263.072	684.74	1080.27	193.341	362.205	332.501	387.421	181.798	318.066	829.964	180.995	300.415	366.422	348.751	216.421	167.811	306.319	192.241	677.038	187.967	850.005	480.282	267.851	519.247	392.004	257.569	695.249	652.485	278.757	506.871	334.551	190.024	411.384	522.73	181.442	302.373	219.158	270.888	238.051	366.089	308.727	544.157	247.874	270.555	285.999	465.454	352.679	427.735	398.143	282.243	289.705	365.591	295.475	265.299	520.353	515.604	166.06	358.548	303.31	129.373	179.661	343.353	223.323	499.422	233.061	450.896	280.335	140.268	692.177	176.739	395.776	423.024	512.755	687.778	370.452	120.69
BRD1	780.98	697.356	651.755	1155.69	444.291	256.719	529.217	351.2	562.368	1045.34	367.685	416.869	223.982	552.177	640.064	315.449	876.393999999999	701.754	521.964	606.897	829.31	541.063	502.837	374.648	808.361	572.308	262.202	577.446	341.171	694.134	679.765	776.956	674.071	181.386	539.457	730.59	301.791	707.723	567.489	498.241	731.49	521.195	616.707	743.926	565.951	454.589	874.377	613.333	705.357	514.276	585.472	338.318	764.565	580.645	395.741	801.026000000001	383.989	522.388	669.16	947.788	609.899	748.553	688.136	832.66	420.832	615.029	776.069	619.707	757.322	399.119	566.327	629.989	651.545	601.479	429.731	838.524	779.493	748.597
PRPF6	3660.9	3011.27	2375.94	1985.28	3544.27	1577.22	3309.16	3072.06	2749.47	3095.02	3579.52	2205.1	5927.04	3688.39	5710.6	2367.25	5220.88	3752.86	3101.24	2171.55	2726.03	2699.17	2895.59	3096.24	2572.7	3507.28	2016.1	4185.61	4041.51	1718.32	3593.62	2628.44	4007.16	2256.1	3073.74	3206.41	2987.6	3975.77	4236.57	2572.12	1510.78	3541.43	3796.67	3785.19	3193.2	4282.5	3418.26	3171.52	3018.97	3550.98	3851.45	3123.36	1980.85	3612.9	6657.5	5398.3	3469.47	2161.47	2888.83	2945.28	3490.37	4135.41	3961.02	3172.12	5243.28	2708.67	2036.04	3229.88	4128.87	3016.09	2193.88	4455.53	2332.03	2564.96	2755.15	1593.3	3735.94	2901.36
DPCD	264.414	447.33	461.466	481.557	290.175	773.165	469.047	481.602	615.999	537.819	965.242	788.483	349.904	573.013	479.479	751.425	315.109	573.608	206.474	329.69	147.937	594.8	338.374	458.277	228.235	348.687	302.606	472.339	1025.68	165.137	419.466	201.861	462.219	972.575999999999	769.728	281.215	932.628	251.196	1091.9	420.611	334.845	312.139	749.221	964.611999999999	474.816	458.198	731.072	555.594	195.312	361.05	352.108	693.458	427.271	575.269	614.907	381.354	519.383	1082.93	210.269	344.134	296.924	337.121	265.712	164.702	1021.43	483.561	570.692	324.094	326.485	753.42	879.15	569.373	590.989	354.605	516.421	68.2579	497.685	549.896
NSL1	573.967	618.843	385.128	311.387	420.26	509.426	586.821	391.997	393.235	715.161	335.878	326.456	699.661	263.346	450.894	610.546	308.344	519.451	576.932	551.724	583.648	517.347	439.932	416.901	386.977	356.745	429.387	313.295	236.095	443.798	431.906	192.917	472.844	423.235	301.423	430.286	502.526	624.432	304.79	492.524	454.546	400.771	260.138	541.072	394.222	352.772	375.429	466.667	353.795	305.019	464.773	371.963	392.658	279.57	352.263	363.212	419.267	405.699	509.25	410.42	350.565	295.998	401.695	248.841	381.81	601.156	280.634	328.806	487.029	592.919	540.816	265.108	256.16	382.339	284.197	551.688	486.218	414.996
SYF2	1561.48	961.481	1014.37	1158.79	1495.5	1018.45	1047.66	1431.32	1477.8	1672.27	1470.74	1235.44	962.67	1303.99	1521.97	1487.51	1165.55	1182.3	905.332	843.534	1828.69	1461.13	1192.4	996.714	712.912	1040.39	1125.13	838.526	1063.73	633.229	1204.37	749.471	1310.05	1382.85	1605.43	1047.14	999.999999999999	1204.95	1251.09	908.090999999999	1041.24	1548.17	932.162	1792.9	1042.8	966.061	1258.66	1063.64	1027.9	1404.5	1751.5	1063.55	1350.36	1408.6	1543.92	1429.07	1075.98	1181.82	1503.15	1101.13	1170.25	1645.61	1371.19	818.304	1458.2	1279.77	1383.47	1194.46	1230.96	821.955	1213.44	827.822	960.892	1426.72	1199.88	977.406	1265.16	1957.5
PNISR	3067.72	1396.32	1183.82	2508.91	1366.4	941.837	1077.08	1268.81	1969.87	786.454	3186.39	1503.02	996.606	1166.14	799.678	1128.58	1172.24	1868.8	1507.16	1235.78	1097.65	1270.53	859.162	1150.23	1449.87	1335.07	1376.43	2209.74	4310.69	2193.01	1563.73	1265.33	1231.38	737.638	1711.51	1310.47	996.325	1496.72	1383.16	1281.44	2731.02	962.428	1279.01	878.905	1196.17	2022.47	1566.8	1952.73	2440.85	852.633	2045.88	4360.75	1606.54	1629.03	956.522000000001	1144.19	1440.29	2166.89	3182.2	2764.65	1011.87	1705.51	2718.64	1651.56	2105.96	2944.51	1451.23	967.025000000001	1816.74	1166.17	1953.23	1085.52	1398.9	883.033	2652.09	1787.32	2557.33	859.262
PPP1R16B	82.6129	299.557	143.979	96.0496	143.067	307.26	234.148	230.167	69.7674	68.6198	204.198	171.117	1026.02	304.276	487.975	148.936	401.16	491.228	133.897	206.465	482.684	92.2266	99.1341	76.9953	254.162	45.9552	169.263	107.942	77.185	180.027	94.7103	115.751	238.492	99.3306	31.0479	25.2121	584.29	70.6714	63.8607	337.731	80.5998	533.719	215.287	109.14	191.171	111.377	139.9	324.242	77.0089	232.665	181.322	136.449	161.612	96.7742	270.63	376.268	57.6662	46.133	518.476	54.6013	216.267	719.859	101.695	65.7993	222.122	87.8613	178.76	149.417	154.812	287.989	16.1565	167.047	470.864	172.446	56.2149	337.433	361.08	487.169
CHTOP	2395.29	2052.61	1434.45	2609.61	1321.14	1824.31	1978.45	1455.46	1855.71	2756.38	2040.08	1552.79	1600.11	1314.03	2170.09	1448.66	1900.94	1745.23	1294.34	1855.17	1919.4	2002.63	1764.11	1494.84	1716.24	1586.64	1937.69	1071.52	1731.15	1568.74	1753.15	1967.23	1523.7	1890.74	1491.59	1923.96	2130.45	1652.2	1177.07	2040.02	1502.34	1681.12	1671.46	1464.33	1380.86	2907.74	1933.37	1872.12	1501.12	1208.72	1723.65	1345.79	1423.38	1333.33	1345.16	1467.77	2784.94	1854.82	2197.53	2449.32	1545.82	1975.84	1933.9	717.811	1551.25	2324.86	1617.49	1277.76	2191.63	1892.6	1538.27	1298.75	1174.42	1198.34	1738.29	1572.36	2392.5	2159.98
EPC2	274.255	554.019	475.781	375.678	284.458	402.728	344.799	505.551	346.723	400.134	295.165	208.738	264.14	360.266	514.846	313.599	248.996	267.735	411.557	377.155	374.161	417.216	289.44	345.07	391.047	284.259	342.16	432.646	251.662	345.723	419.144	389.535	326.27	195.206	210.867	341.203	165.825	435.134	303.338	600.704	404.405	363.199	264.623	478.982	305.117	605.64	523.741	360.606	275.67	309.984	297.652	224.299	639.266	145.161	134.871	572.095	272.049	240.163	432.986	424.07	256.556	425.371	249.153	622.103	337.386	153.757	633.349	374.204	371.548	306.285	256.803	578.677	407.509	348.128	269.831	589.375	384.785	504.812
ZNF337	560.658	193.971	412.099	841.703999999999	580.445	252.21	190.841	510.246	430.079	251.006	757.144	667.027	449.621	732.692	488.599	459.13	634.07	584.928	184.524	692.224	489.757	232.275	415.161	566.685	421.883	515.755	503.396	635.652	914.947	505.392	729.209	322.643	488.362	474.334	838.072	473.55	482.384	562.236	648.97	663.786	344.325	417.524	984.235	423.76	359.93	1259.57	345.465	774.121	614.498	509.97	526.696	1266.56	491.425	1104.95	516.158	662.837	1075.6	592.863	458.479	624.534	309.15	1828.58	801.102	321.238	471.001	820.59	492.446	582.185	718.937	434.66	1062.23	514.521	896.131999999999	435.83	1391.35	413.12	841.918	156.427
FBXL4	184.438	292.712	455.636	69.7134	320.225	190.132	101.119	248.525	328.224	179.57	284.987	316.141	74.095	227.821	222.491	251.619	107.987	131.198	550.153	265.517	218.666	86.5173	275.107	583.568	430.633	360.062	299.585	465.116	152.424	216.301	262.636	230.444	149.058	128.698	148.771	218.505	189.711	205.957	124.819	197.01	585.286	262.042	143.525	319.707	191.171	245.22	187.714	296.97	162.946	249.69	253.96	158.879	320.032	91.3978	212.067	230.796	82.0896	43.4193	175.9	160.164	324.168	236.094	538.983	294.901	201.711	430.058	458.433	662.46	271.13	319.837	495.748	463.512	331.639	535.367	242.973	468.987	683.021	295.91
HBP1	1686.18	2152.47	2117.57	1138.19	2858.37	2231.12	1670.63	4272.95	1663.92	901.611000000001	1396.39	2664.92	1080.58	3901.33	2812.01	1520.7	2151.96	1246.83	1957.51	1363.63	1651.89	2044.3	3394.92	2070.47	2459.87	1546.04	2043.99	3091.39	1427.59	1441.89	1236	2834.45	1389.18	1680.88	1531.23	1183.39	1438.17	1555.6	2018.43	3028.23	2214.06	2022.87	1645.08	2088.02	1595.21	2224.04	2645.79	2959.18	1631.86	1069.81	1355.4	1119.85	4376.03	549.086	1359	3472.46	1710.92	890.623999999999	2176.58	1980.7	2414.58	4098.6	1407.63	3228.77	1476.53	1983.38	2764.07	2509.73	1174.59	3089.47	953.24	3981.15	2626.54	2754.1	1463.53	2016.99	2391.7	2833.04
AKAP8L	1896.73	1056.5	2063.69	3376.45	2048.77	2022.06	1124.33	1677.12	2806.03	866.659	2771.63	1463.59	2232.47	1746.11	2097.54	1246.07	1888.89	4032.04	1048.16	1864.22	1155.42	2077.29	1120.73	1173.24	1794.67	1082.08	1544.13	1935.5	3017.35	1623.82	840.974	2312.37	1406.11	2945.37	2588.62	1192.81	4457.51	1215.55	2523.95	3121.37	2118.56	2013.49	1987.67	1848.44	2680.17	10754.8	2217.16	2712.73	2013.39	1640.72	1233.21	1620.56	1669.59	2145.16	1281.28	1960.6	2132.97	13998.6	2403.56	2139.46	1213.78	2691.67	2188.14	1801.11	3397.87	2086.71	3502.64	1157.43	1535.56	1483.99	2240.65	2344.93	2966.37	1027.74	4086.2	1205.97	2099.23	1262.23
TAF5L	259.366	540.733	305.733	240.124	392.317	554.352	488.189	308.362	399.577	570.346	326.972	222.694	359.163	237.089	285.906	222.942	300.312	445.462	458.069	722.845	420.594	411.945	302.976	459.624	401.406	378.538	821.391	302.326	273.066	429.915	394.962	323.996	347.801	332.542	384.217	462.781	407.441	293.791	262.7	412.489	464.855	299.615	301.252	231.778	383.421	314.531	266.962	319.394	159.598	373.116	275.806	256.075	361.133	215.054	227.152	351.556	329.037	245.59	404.079	308.042	417.251	287.44	244.068	343.353	333.183	330.636	355.118	361.422	377.406	842.961	238.095	299.886	335.941	294.498	384.135	708.017	492.834	475.942
R3HCC1L	278.098	388.941	188.417	310.612	321.343	360.61	335.267	236.286	356.765	345.772	215.649	296.723	247.738	256.009	293.43	137.835	228.023	284.516	274.841	394.397	387.659	281.072	177.565	202.347	251.942	146.867	201.973	403.247	214.691	361.845	259.95	285.412	149.886	503.563	163.001	173.683	368.856	271.075	248.186	374.23	220.244	441.233	209.307	267.258	196.031	540.153	336.469	340	158.482	136.194	187.329	170.094	328.811	102.15	94.9423	441.543	367.029	236.092	396.699	260.721	282.026	516.99	149.153	251.832	156.086	181.503	512.734	163.962	235.983	403.862	227.041	362.6	442.706	178.918	235.478	341.272	308.71	450.682
PRPF19	2335.73	2583.28	2684.05	1264.91	2089.01	2444.85	2480.73	2430.86	1980.44	3997.33	2555.34	2101.34	3776.58	2846.22	1885.26	2408.88	2205.27	3122.81	1940.33	1977.59	2088.93	2721.12	2364.09	3605.63	4122.46	2707.09	3264.8	2548.49	3464.89	2748.32	2638.46	5846.72	4308.59	2308.79	2025.87	2710.58	2686.27	2597.68	2413.64	1731.31	1304.59	2632.95	2554.29	3511.76	1718.37	1543.98	2892.75	2064.85	4412.95	1879.06	4526.49	3177.57	2293.7	4021.51	3210.29	2217.97	1699.46	3404.34	2252.26	3231.03	3199.08	2283.41	2583.05	3138.63	2827.56	2706.36	3021.14	3785.24	3327.2	1562.6	2390.31	3600.34	1709.82	3541.84	1672.7	1649.48	3566.7	1636.33
PCLO	239.673	315.26	572.36	241.673	141.95	1.2034	7.4596	366.839	649.577	0.4456	95.4198	500	160.633	926.73	897.488	90.6568	656.403	11.4416	416.725	0	70.189	125.604	361.501	175.117	193.489	169.608	1219.11	757.35	125.831	1870.58	111.503	1.5856	179.697	269.488	988.357	24.0915	46.3941	396.264	833.091	0	346.298	156.069	286.302	178.558	452.545	73.6138	534.809	18.1818	217.634	584.501	145.276	18.6916	52.2745	172.043	199.645	897.073999999999	0	13.5685	501.255	4.0951	818.756	936.319999999999	203.39	64.0048	282.155	163.006	1178.76	1395.88	147.28	458.072	839.286	784.493	729.761	769.764	487.195	200.297	133.958	135.525
DEXI	1012.01	635.351	2627.76	3034.86	2019.71	815.885	932.449	1791.7	3191.33	377.854	1870.87	3148.66	1105.2	1888.6	2035.74	1700.28	2660.87	3731.5	3112.99	537.069	1482.61	747.475	1254.11	1772.77	1211.99	3215.92	2758.57	3500.66	1962.7	769.816	1486.48	1936.58	3189.83	1557.33	4758.09	2715.06	852.09	1571.93	4264.15	998.681	2112.93	1607.9	1888.99	1373.7	3988.12	1712.24	1632.32	788.485	2245.54	1850.68	1944.29	1783.18	1199.92	2311.83	4201.42	2321.02	1580.73	1426.05	985.288	2023.43	2997.63	758.621	1362.71	1566.62	4317.57	840.462	1241.71	2270.35	1846.03	1620.87	1458.33	2192.7	2181.85	2458.62	2319.18	2009.6	1111.36	1278.67
KLF15	307.877	139.31	181.306	789.311	264.339	121.139	12.0182	815.273	89.852	69.9566	178.117	936.286000000001	31.1086	196.93	138.654	212.766	199.464	321.129	326.991	20.2586	376.861	7.0268	237.285	213.615	303.737	406.964	1266.36	152.699	522.134	42.9915	20.8228	108.351	29.8115	90.6932	258.732	175.364	28.9389	187.784	148.041	58.0475	162.137	278.42	422.351	204.397	407.182	1015.77	148.755	28.4848	568.08	63.1318	182.414	112.15	300.878	75.2688	389.53	994.055	16.2822	54.2741	65.8089	815.834	578.409	566.323	137.288	964.856999999999	534.294	800	993.753000000001	249.469	77.8243	880.23	1593.54	1163.63	197.888	382.802	96.8145	90.3777	61.1907	26.0626
ZCCHC4	142.171	196.484	104.281	200.62	85.5051	133.574	168.67	180.19	169.133	97.5827	120.865	220.267	91.0633	257.554	126.293	353.377	243.195	257.818	126.85	166.81	165.754	129.556	313.726	413.615	137.625	310.316	304.777	161.913	145.289	130.318	142.401	106.237	149.886	61.3258	460.543	391.627	82.6826	200.909	252.54	100.704	197.282	88.632	275.089	154.262	189.01	122.371	84.56	119.394	207.589	187.977	215.729	246.729	126.097	225.806	218.279	283.017	65.1289	274.084	132.233	161.074	216.267	107.727	200	195.603	169.293	455.491	67.2753	321.313	205.858	215.484	454.932	153.364	206.492	169.672	178.014	178.662	326.902	185.245
SETD2	1392.89	3512.14	1283.96	1374.9	1060.71	1117.93	1022.79	1231.41	1214.59	840.37	1243	1506.67	707.579	913.602	1094.18	1036.08	1061.58	910.755	1070.24	1355.6	1488.55	895.916	1926.15	2045.07	1474.29	1138.93	1656.28	1256.69	1513.22	1493.95	1626.87	1730.97	1130.35	1153.96	1015.52	1057.23	776.298	1626.96	879.536	1140.28	1393.63	833.333	744.534	1225.61	1376.54	1549.71	1490.2	1903.03	1005.58	1047.7	928.454	900.935	2313.65	763.441	899.734	1292.92	1182.5	1131.61	1902.31	1601.64	1039.65	1226.28	1935.59	1614.48	818.85	1285.55	1135.99	1193.57	1235.15	741.996	1413.27	895.097	999.999999999999	1207.12	1148.66	2243.04	1921.17	1089.01
SCAPER	77.3295	448.53	142.794	36.4059	495.147	100.281	129.3	191.749	195.56	161.747	94.7837	250.607	150.452	118.158	255.811	92.5069	114.681	143.402	868.217	268.103	302.892	82.1256	140.54	253.521	371.439	255.833	425.753	541.466	135.56	758.621	464.82	252.114	236.008	235.802	89.2626	183.208	236.105	299.849	84.18	71.2401	322.868	288.054	219.772	444.273	241.393	297.801	162.922	118.182	89.2857	395.815	200.983	41.1215	363.128	32.2581	67.4357	424.292	57.6662	10.8548	315.514	80.9919	265.355	221.495	77.9661	408.554	190.305	129.48	503.123	337.18	377.406	184.991	117.347	267.959	235.823	286.177	166.771	340.574	270.121	457.498
HP1BP3	3345.82	3074.08	3323.95	2214.56	2888.73	2664.26	3154.99	2594.05	3300.74	4213.43	2326.34	2731.8	2114.25	2078.97	2963.32	2139.69	2498.44	2200.61	2550.62	3531.03	3434.94	3345.19	2822.34	2741.31	1986.31	3095.58	2985.98	2329.53	2684.61	3422.75	3722.59	3995.77	3247.8	2613.69	2139.72	3352.08	1516.77	2017.16	2210.45	2467.9	3387.54	2301.54	2206.69	2380.64	2468.48	2443.59	3656	4133.94	1445.31	3311.93	3360.46	2680.37	3277.73	1629.03	1878.44	2679.57	2497.29	2550.88	3606.57	1981.57	2842.96	3160.84	3355.93	2998.65	1461.8	3449.71	2237.87	2861.85	3303.77	2713.2	2926.02	2400.23	2703.17	2739.25	2628.98	3284.66	2458.65	5755.01
COPS4	678.674	971.144	803.437	626.646	1230.6	762.936	609.615	1470.41	1474.63	404.589	1384.86	1670.51	1295.81	1571.58	1233.37	978.723	2122.27	950.419	2408.27	775	1011.26	715.415	1412.56	1481.69	716.981	1391.45	1438.21	1496.27	684.287	648.455	656.927	1173.36	729.554	737.638	675.291	1827.59	1348.64	1407.87	863.57	1013.63	1653.23	1124.28	1569.05	1585.04	1833.94	786.807	904.925	1594.55	511.161	1317.25	933.37	495.327	1236.23	204.301	867.791	1409.02	1253.05	194.03	1150.73	357.639	1671.32	631.764	847.458	1217.89	1389.76	708.67	2002.88	919.864	819.247	2072.84	853.741000000001	1654.5	1317.17	1006.01	738.913	935.881000000001	1009.37	1852.04
GPN3	443.804	694.94	550.437	331.526	599.094	622.543	655.201	669.761	763.742	725.409	625.318	970.874	412.33	604.692	969.501	630.897	806.337	501.907	1048.16	590.086	429.233	471.673	990.943	874.178	465.039	839.038	1055.04	523.475	286.039	430.811	641.478	679.704	639.291	545.023	477.361	797.822	759.761	419.99	402.032	379.947	421.743	296.724	717.623	522.946	761.982	607.553	690.648	938.788	196.429	910.8	697.433	467.29	534.717	413.978	801.242	906.866	444.369	251.018	541.232	391.309	778.467	755.097	532.203	377.449	864.476	523.699	598.751	798.655	831.799	742.673	801.02	843.786	622.996	1127.14	735.79	308.122	613.561	753.408
SCAND1	3095.1	1604.48	817.657	2366.38	2019.71	882.07	1849.98	3662.95	1511.1	1293.08	3676.21	2540.05	4479.64	2531.13	1088.81	4556.89	4589.02	3958.05	719.286	1537.93	2189.36	2040.84	1609.24	1330.99	2041.44	2638.4	761.682	1399.3	3218.42	1113.75	1452.9	1856.24	1887.23	2666.38	4205.69	2480.31	6976.57	1835.94	2982.58	2266.05	1055.3	1553.95	3772.01	2427.3	849.467	2355.16	2112.23	2374.55	6092.63	2377.02	2388.31	6201.87	1376.7	7634.41	5338.95	2199.79	2987.79	2659.43	2468.76	2081.67	1510.62	1569.09	3569.49	836.249	1937.27	3553.76	837.097	1315.66	1762.34	1427.07	2836.73	990.307999999999	1169.34	1917.24	1753.9	906.22	1457.55	1078.19
RSRC1	234.39	383.707	197.897	153.369	84.3874	265.945	94.0738	387.238	286.469	199.176	244.275	366.505	69.5701	211.603	198.307	206.291	160.643	148.741	279.07	487.931	127.42	97.9359	456.654	413.615	183.87	248.727	500.519	166.74	143.344	167.935	286.818	82.4524	177.213	225.437	235.446	323.275	221.406	178.193	117.562	143.799	586.223	136.802	138.292	222.522	241.393	264.34	268.29	238.182	104.911	250.399	127.799	99.0654	380.287	53.7634	125.111	228.931	114.654	78.6974	144.534	152.429	193.575	360.936	200	163.9	210.116	166.474	370.014	240.214	271.966	483.822	385.204	437.856	259.288	396.209	232.355	210.765	289.416	168.805
THEM6	409.702	491.209	1135.83	462.432	719.249	1118.33	257.77	1212.37	751.057	1993.54	1113.23	2600.73	984.163	1680.86	1223.7	1118.41	1073.18	1649.12	794.456	534.483	684.613	1170.84	1945.26	1448.83	1205.7	1502.31	1286.6	444.932	818.55	476.937	1324.6	544.926	1825.13	738.501	1314.36	5965.17	464.86	845.533	775.036	472.296	752.109	1319.85	556.905	689.549	1246.39	488.05	1078.47	640.606	822.545	976.06	1818.68	1119.63	1011.97	1102.15	1757.76	757.198	930.121999999999	189.959	202.962	1286.32	1080.87	493.33	783.051	566.472	1489.42	1212.72	992.311	1266.3	1471.97	604.438	740.646	724.059	1223.7	1710.59	1292.32	619.384	972.437	730.151999999999
POMP	2202.69	1231.65	1742.56	1608.06	3263.72	1561.17	2499.79	1625.79	2650.63	3195.72	2749.36	2066.14	2911.2	1738.78	2685.48	1145.24	1838.46	1984.74	6403.57	2353.45	2027.38	1915.68	1362.79	1492.02	1701.81	1661.02	1672.38	1340.06	2444.62	1812.36	1456.93	1120.51	2282.24	2916.86	2426.91	1732.35	2545.71	3047.45	3883.89	1782.32	1873.01	2925.82	1049.52	2726.96	4612.39	2239.48	2580.19	1246.06	3515.62	2503.28	2638.45	1521.5	1032.72	1354.84	3023.07	1865.95	3424.02	1084.12	2722.15	2843.82	2472.01	1662.22	1255.93	1869.3	4871.68	1708.67	1531.48	1477.42	1710.46	954.091000000001	1650.51	1640.82	2574.11	1715.21	1701.44	1256.91	1393.05	1602.65
HIKESHI	672.429999999999	365.186	396.386	478.699	303.459	783.795	692.913	524.929	420.19	891.166	679.389	456.918	808.823	418.959	299.879	390.379	500.223	710.908	583.51	460.345	591.207	730.786	415.647	481.69	596.744	350.113	513.5	243.089	699.205	582.624	505.793	583.51	583.809	982.941	525.226	628.621	1288.47	461.383	455.733	529.903	453.608	751.445	434.311	840.338999999999	325.098	831.262	494.964	876.97	848.214	371.697	752.594	805.607	490.024	618.28	628.216	290.943	502.714	1113.98	518.476	952.338	538.582	419.834	567.797	482.728	667.567	418.497	492.552	375.526	830.125	405.218	410.714	435.006	484.161	490.522	608.994	372.677	434.95	273.456
