TCGA-3G-AB0O-01	TCGA-3G-AB0Q-01	TCGA-3G-AB0T-01	TCGA-3G-AB14-01	TCGA-3G-AB19-01	TCGA-3Q-A9WF-01	TCGA-3S-A8YW-01	TCGA-3S-AAYX-01	TCGA-3T-AA9L-01	TCGA-4V-A9QI-01	TCGA-4V-A9QJ-01	TCGA-4V-A9QL-01	TCGA-4V-A9QM-01	TCGA-4V-A9QN-01	TCGA-4V-A9QR-01	TCGA-4V-A9QS-01	TCGA-4V-A9QT-01	TCGA-4V-A9QU-01	TCGA-4V-A9QW-01	TCGA-4V-A9QX-01	TCGA-4X-A9F9-01	TCGA-4X-A9FA-01	TCGA-4X-A9FB-01	TCGA-4X-A9FC-01	TCGA-4X-A9FD-01	TCGA-5G-A9ZZ-01	TCGA-5K-AAAP-01	TCGA-5U-AB0D-01	TCGA-5U-AB0E-01	TCGA-5U-AB0F-01	TCGA-5V-A9RR-01	TCGA-X7-A8D6-01	TCGA-X7-A8D7-01	TCGA-X7-A8D8-01	TCGA-X7-A8D9-01	TCGA-X7-A8DB-01	TCGA-X7-A8DD-01	TCGA-X7-A8DE-01	TCGA-X7-A8DF-01	TCGA-X7-A8DG-01	TCGA-X7-A8DJ-01	TCGA-X7-A8M0-01	TCGA-X7-A8M1-01	TCGA-X7-A8M3-01	TCGA-X7-A8M4-01	TCGA-X7-A8M5-01	TCGA-X7-A8M6-01	TCGA-X7-A8M7-01	TCGA-X7-A8M8-01	TCGA-XH-A853-01	TCGA-XM-A8R8-01	TCGA-XM-A8R9-01	TCGA-XM-A8RB-01	TCGA-XM-A8RC-01	TCGA-XM-A8RD-01	TCGA-XM-A8RE-01	TCGA-XM-A8RF-01	TCGA-XM-A8RG-01	TCGA-XM-A8RH-01	TCGA-XM-A8RI-01	TCGA-XM-A8RL-01	TCGA-XM-AAZ1-01	TCGA-XM-AAZ2-01	TCGA-XM-AAZ3-01	TCGA-XU-A92O-01	TCGA-XU-A92Q-01	TCGA-XU-A92T-01	TCGA-XU-A92U-01	TCGA-XU-A92V-01	TCGA-XU-A92W-01	TCGA-XU-A92X-01	TCGA-XU-A92Y-01	TCGA-XU-A92Z-01	TCGA-XU-A930-01	TCGA-XU-A931-01	TCGA-XU-A932-01	TCGA-XU-A933-01	TCGA-XU-A936-01	TCGA-XU-AAXW-01	TCGA-XU-AAXX-01	TCGA-XU-AAXY-01	TCGA-XU-AAXZ-01	TCGA-XU-AAY0-01	TCGA-XU-AAY1-01	TCGA-YT-A95D-01	TCGA-YT-A95E-01	TCGA-YT-A95F-01	TCGA-YT-A95G-01	TCGA-YT-A95H-01	TCGA-ZB-A961-01	TCGA-ZB-A962-01	TCGA-ZB-A963-01	TCGA-ZB-A964-01	TCGA-ZB-A965-01	TCGA-ZB-A966-01	TCGA-ZB-A969-01	TCGA-ZB-A96A-01	TCGA-ZB-A96B-01	TCGA-ZB-A96C-01	TCGA-ZB-A96D-01	TCGA-ZB-A96E-01	TCGA-ZB-A96F-01	TCGA-ZB-A96G-01	TCGA-ZB-A96H-01	TCGA-ZB-A96I-01	TCGA-ZB-A96K-01	TCGA-ZB-A96L-01	TCGA-ZB-A96M-01	TCGA-ZB-A96O-01	TCGA-ZB-A96P-01	TCGA-ZB-A96Q-01	TCGA-ZB-A96R-01	TCGA-ZB-A96V-01	TCGA-ZC-AAA7-01	TCGA-ZC-AAAA-01	TCGA-ZC-AAAF-01	TCGA-ZC-AAAH-01	TCGA-ZL-A9V6-01	TCGA-ZT-A8OM-01
CPSF6	2524.61	1279.86	1488.69	1537.4	1614.98	2278.46	1889.61	2662.63	1692.35	1514.68	1990.04	1513.19	1678.22	1196.71	874.489	2165.89	2852.89	1708.3	995.606	2021.76	1405.5	1155.25	2244.27	2456.94	1924	2541.76	1660.12	1931.9	1117.59	808.584	952.233	2693.58	2385.74	1827.42	2155.94	2142.32	1203.68	2134.22	1701.68	1894.39	2367.58	1400.21	1981.61	1404.8	2181.36	854.077	896.315	1320.39	2020.51	2036.93	2090.4	1958.61	2679.32	2477.23	1976.99	2207.58	1521.53	2227.45	2587.02	1943.18	3071.22	1970.19	1547.54	1353.26	1315.91	1415.87	1963.86	1998.5	1740.2	2393.75	1053.78	1865.29	2246.81	1586.11	1875.55	1658.82	2946.97	2914.55	2262.41	2127.24	1341.89	431.732	1275.11	1544.67	1738.74	1848.31	2487.89	2256.3	2152.88	1202.79	1885.5	2429.42	2050.67	1440.85	2028.37	1689.35	1634.56	1812.36	1646.14	2099.83	1778.72	1455.07	1712.67	1678.25	1406.36	1849.82	2331.64	2260.64	1727.85	2753.8	2734.88	1820.14	2317.32	1872.07	2342.97	1716.75	1260.92	1964.1	937.931
TBC1D8	129.289	224.001	127.694	244.149	331.207	172.809	652.791	106.671	201.137	187.963	102.558	136.704	179.461	1290.6	310.566	258.527	41.0201	86.496	34.5261	118.48	70.239	160.274	227.967	90.795	402.29	698.207	110.738	88.1919	106.847	43.7768	132.197	88.3978	129.66	182.314	209.156	141.698	48.7977	192.661	74.5798	195.849	134.61	292.361	195.195	772.883	55.9091	144.85	56.0197	119.153	77.7118	109.868	597.758	307.575	169.988	857.585	182.263	78.177	212.991	211.083	101.511	498.37	88.7659	157.679	265.767	192.685	128.202	181.731	262.017	99.5422	208.287	279.474	220.88	378.173	1055.32	735.648	838.13	129.972	855.807	339.316	272.518	156.638	120.469	32.1788	76.704	43.7584	467.565	93.3288	190.056	549.113	84.2523	340.665	133.17	236.077	269.312	273.157	257.339	435.437	158.197	121.586	338.283	140.017	525.257	240.087	111.171	292.433	1170.32	250.69	339.718	256.422	57.5949	107.719	172.532	270.058	327.307	615.139	187.023	89.1445	96.3495	482.396	29.5567
FAM107A	1706.12	26608.2	91.5948	2027.54	27522.9	3417.69	28.1661	1889.19	2358.84	1707.81	4830.08	6388.22	22532.2	77.9497	12584.4	1314.34	2204.92	10178.3	3698.68	5024.52	2037.65	37258.7	3414.99	5700.47	10236.2	6521.61	6378.72	178.88	684.168	4059.23	23597.7	6084.57	2296.6	7933	8524.75	370.786	7459.69	5923.21	4704.31	1796.72	6702.25	1292.1	24581.8	386.197	6743.18	9473.18	1517.62	1376.88	8111.17	16133.2	590.049	4194.42	6599.6	7268.63	1586.74	5003.66	20494	5404.78	3780.15	2255.71	990.020000000001	884.842	9646.38	7711.42	15681.4	14707.2	19893.7	11828.3	21668.5	478.097	1403.51	7477.88	47.234	2508.04	10228.2	3766.39	647.166	1065.45	1703.12	1388.15	1630.79	7971.4	11053.7	5303.03	19106	15889.1	8831.8	2084.03	8294.05	2931.87	5719.88	12155.5	17079.4	16467.9	52.2545	4529.53	5415.82	12669.6	22268.9	15715.2	10656.7	1007.4	5867.35	10277.4	7796.47	9995.27	2083.33	17845.2	1051.27	2237.02	17800.1	4797.06	543.768	242.004	1601.42	4470.17	1311.79	21617.4	1831.53
BAZ2A	2881.62	1778.62	1637.3	1176.43	3425.26	2170.11	2413.43	2880.09	2369.79	3888.67	1818.04	1840.6	2277.87	1835.34	1934.21	2106.14	2240.65	2217.01	1339.61	2265.05	1455.75	1644.68	2941.44	2537.38	2345.87	4597.75	1515.8	2256.24	987.653	931.021	1624.7	3456.14	3074.35	2569.85	2473.75	2392.01	1464.71	2544.27	1606.09	2227.72	2618.01	2419.55	2625.14	1258.63	1777.95	1291.73	1311.34	1711.41	2189.87	2122.59	4091.25	2054.32	2892.64	2243.53	2408.87	2339.9	2014.21	5044.98	2878.54	2835.44	3248.22	1572.23	2064.85	2503.12	1796.32	2136.19	3474.16	2408.6	2670.26	2375.31	1200.78	1678.79	2995.74	1819.67	2913.12	1423.61	3441.98	3331.85	3793.65	2506.43	1371.94	926.847	1280.39	1742.88	3882.38	2236.98	3621.41	2940.51	2242.77	1536.39	4008.25	3871.74	4098.31	3605.97	1995.99	3044.55	1858.11	2063.44	3436.97	3786.06	1929.86	1639.36	1906.72	3253.79	2354.4	2814.31	5840.63	3649.07	1714.24	4072.98	3870.37	2201.24	1952.91	1710.14	1817.2	1642.62	1794.16	4007.76	1370.4
POLI	634.51	563.469	319.504	703.534	639.667	537.264	535.156	685.241	1358.32	1467.53	361.415	401.606	426.185	185.573	860.479	379.07	621.472	658.33	225.989	477.375	367.849	502.618	581.194	706.741000000001	606.462	480.615	506.711	93.1839	321.404	99.5708	607.281	744.156	536.467	544.994	551.073	443.82	318.246	673.462	486.344	519.889	656.318	659.529	737.613	320.607	466.818	584.227	203.708	399.824	490.556	485.312	333.567	917.41	502.795	379.976	398.949	380.24	763.595	639.097	512.858	520.727	610.166	379.39	580.483	788.582	596.311	637.5	801.229	524.894	719.298	604.28	445.787	316.793	453.192	458.594	580.594	249.3	555.529	447.183	703.125	672.485	330.731	57.2067	308.335	336.939	738.076	723.422	779.438	665.649	426.949	350.322	835.757	829.422	784.904	808.815	464.11	929.357	418.913	558.107	617.302	605.877	547.608	536.923	366.81	855.487	628.269	568.782	869.352	762.396	362.025	834.486	657.67	426.324	245.005	136.461	435.66	382.459	218.432	839.829	219.704
DDX42	2897.07	3532	2231.14	2783.39	3560.06	2719.08	4227.81	2875.66	2633.4	2725.14	2800.25	3126.55	2926.08	2962.09	2462.35	2680.23	2697.52	2971.5	2178.91	2984.8	2220.85	2996.47	2975.02	2973.42	2395.91	5416.23	3021.09	2134.08	2500.14	1792.27	2608.31	3071.82	3171.39	3470.98	3466.38	2485.64	2450.49	3277.27	2638.66	2302.36	3422.89	3284.69	3515.77	1819.38	2704.09	2459.76	1954.75	2500.44	2923.37	3158.89	3035.74	2742.36	2600.44	4282.91	2734.67	2835.33	3612.92	6308.5	3260.1	2796.46	3187.98	2496.45	3747.73	3266.28	2943.24	3393.75	3946.15	3064.75	3388.58	2879.33	2322.12	2857.27	3524.26	3621	3567.74	2277.87	5019.74	3535.67	3028.49	2377.58	2268.82	2102.35	2360.36	2579.8	3358.29	2799.37	3486.54	3682.6	2963.41	2870.71	5219.35	3583.54	3547.84	2977.12	2898.72	3741.75	2742.38	2893.84	3888.6	3391.96	3532.41	2928.1	2592.91	3450.92	2983.04	2972.01	4867.66	3414.38	2470.25	3272.76	3268.19	2493.97	3173.17	2543.71	3047.98	3140.19	2706.76	3485.07	2374.38
U2AF2	7265.04	4327.79	5659.48	5486.92	4391.96	6086.81	4733.15	7090.59	5312.82	6218.27	6400.45	5563.27	4939.22	4079.96	5970.23	5471.71	7371.99	5952	4903.33	5782.73	4332.37	4413.72	5995.14	6504.85	5418.81	4657.22	5323.11	2653.24	4852.94	3739.91	4422.93	5941.78	7175.04	4832.1	5290.41	6410.74	4371.99	6195.38	5633.93	6587.12	6171.25	4513.08	4726.73	4669.11	6190.91	3813.84	3873.85	4448.37	6233.14	6602.27	3998.6	4632.62	6989.35	6211.03	5817.56	7961.08	3634.06	3479.18	6678.14	3325.1	7136.06	6731.77	4408.85	4234.17	4763.61	3968.75	3862.67	6590.46	4450.54	6984.04	5601.96	5721.36	3498.72	5407.28	3160.96	6364.71	4713.12	4750.42	5612.59	6949.47	5907.42	4655.2	4565.03	5649.69	3140.12	5372.58	4662.9	4615.21	6681.88	3606.76	4063.68	5520.84	4157.69	4613.15	5483.92	3422.41	5584.18	6068.79	3328.72	5697.93	5919.98	5579.73	6374.33	3755.28	4538.52	4340.56	4626.72	4847.66	6894.94	7071.04	5395.97	7655.48	5258.8	3585.29	7091.06	6475.92	5015.56	3628.29	4127.09
OIP5	361.462	34.408	259.65	129.656	25.4535	399.73	278.811	295.084	281.691	227.189	439.24	164.032	100.799	37.8101	84.8628	332.705	428.888	275.141	232.837	322.193	281.948	37.1322	276.409	321.656	155.248	37.1067	185.359	49.1794	185.845	138.695	95.2078	374.832	303.043	107.254	176.564	389.913	349.922	218.862	282.006	221.472	198.48	50.7137	123.851	55.022	366.632	46.9742	205.957	284.775	272.018	247.574	49.8739	89.7741	247.761	246.346	151.115	339.577	103.588	19.4314	311.401	66.6605	311.828	360.66	53.0405	51.4318	134.715	49.4327	35.2548	240.123	90.321	327.779	115.847	251.562	39.3234	103.241	13.4183	237.647	103.397	65.2915	187.808	234.102	260.396	55.4101	224.591	329.627	21.7244	306.849	148.254	282.894	327.038	29.206	49.1168	145.03	16.5202	24.6955	126.276	55.7383	329.196	235.657	26.0688	161.167	172.642	157.973	346.848	37.7062	21.6466	90.0907	86.414	112.67	369.519	276.749	194.886	320.21	155.847	91.3859	147.666	356.053	253.142	34.6206	161.3
FOXJ3	1229.24	965.353000000001	736.53	1089.49	1522.88	1078.62	642.021	2446.74	1646.33	888.14	808.979	878.179	1133.14	448.211	811.442	1158.14	1135.13	1054.77	537.351	1007.94	705.286	940.271000000001	1469.47	1337.29	1111.68	1238.26	880.153	231.296	827.636	468.67	868.577	1517.21	1221.64	1123.49	1261.52	996.255	692.362	1226.98	806.723	894.799	1295.16	1097.01	1385.51	737.151000000001	1069.09	651.288	459.192	661.959	1110.09	1110.32	1271.9	1038.92	1898.56	1439.42	955.884	1072.19	1298.34	1949.91	1332.14	1353.05	1514.62	1033.72	1055.85	1064.23	870.398	1023.56	1642.21	1161.58	1472.19	1138.93	890.998	905.024	1540.43	1072.31	1738.14	943.417	1171.62	806.858	1389.25	1062.93	766.313	171.62	680.463	876.626	1521.9	1081.92	1435.03	1368.03	1134.74	1280.04	1300.47	1483.01	1347.63	1128.47	796.179	1488.13	935.926000000001	1125.81	1405.77	1343.99	1177.02	1157.27	917.83	1340.83	1465.02	1212.85	1316.03	1390.8	1048.73	1429.81	1442.09	943.366	771.17	555.437	1355.51	912.293	722.92	1669.34	466.995
EXOSC7	773.247	1049.27	1137.39	736.117	767.268	1031.94	1091.85	686.197	682.006	673.694	1114.6	953.461	797.666	979.687	907.764	752.326	950.358999999999	988.697	1698.05	929.534	1403.33	1129.18	721.374	870.081	598.726	605.295	1568.55	1536.7	1345.93	1723.61	1240.9	638.334	914.101	777.561	751.645	936.954	1345.83	803.942	1148.11	881.064	805.802	812.318	732.357	996.084	1010.91	1235.52	1373.33	1331.86	945.494	1005.18	606.868	804.253	660.972	678.944	685.932	1033.93	489.048	641.558	829.134	752.212	880.062	1090.15	781.927	712.31	1023.16	934.135	818.215	748.481	708.847	798.697	952.545	928.213	558.723	608.637	665.226	1259.38	661.118000000001	693.276	621.783	658.705	1373.68	1065.47	1337.38	1230.58	524.306	1079.95	590.41	542.146	981.521	784.871	726.772	681.962	772.856	820.923	416.351	787.203	1483.87	1054.05	577.547	688.418	1042.47	903.601	1245.97	781.527	477.032	600.315	415.575	594.362	1175.95	586.867	554.493	926.586	748.335	1191.9	782.443	1462.26	1332.73	489.14	1617.73
MAST3	427.151	303.06	653.017	362.552	791.678	519.246	502.848	389.11	475.698	460.541	303.572	490.747	394.925	559.821	740.806	374.031	309.284	297.931	608.286	329.879	614.048	466.716	568.355	316.642	540.535	932.536	463.087	1149.82	614.803	933.906	640.847	265.618	511.345	374.757	400.858	311.486	513.437	530.411	410.189	682.163	378.917	952.947	305.556	1102.3	240.454	647.532	698.548	855.251	377.766	352.16	1529.08	888.551	452.178	412.169	365.25	369.594	277.568	430.783	253.399	538.426	474.618	345.773	386.884	215.879	536.876	357.212	327.792	367.54	450.914	293.962	621.8	343.05	235.745	682.472	514.162	416.807	510.186	892.58	696.232	415.71	823.201	2206.93	448.073	437.584	733.677	322.454	321.449	515.229	298.26	792.918	394.306	562.172	343.373	432.014	698.975	314.128	365.002	474.002	584.541	429.559	454.18	416.151	568.743	271.984	766.784	372.881	158.808	414.149	557.595	368.155	284.933	456.738	642.721	695.096	751.908	300.503	911.43	576.812	826.601
GPATCH8	1276.48	1071.81	667.565	951.812999999999	1590.01	1112.2	1013.15	1461.87	1214.06	1194.95	878.308	929.837	1250.09	972.6	868.652	1070.54	1033.49	1097.42	540.49	1173.06	708.183	1047.98	1308.12	1288.01	1286.59	2488.81	881.592	316.159	527.344	359.657	760.651	1793.03	1407.21	1583.56	1438.34	1021.22	650.636	1248.39	888.655	1014.85	1533.14	1273.86	1746.62	783.652	1052.27	673.82	479.562	658.429	990.826	1178.72	1532.59	1127.78	1392.39	1681.4	1055.53	1100.47	1459.21	3173.94	1466.23	1642.76	1626.98	883.242	1389.71	1458.07	892.011	1178.85	2291.29	1260.74	1672.64	1289.88	717.86	1053.7	2183.83	1567.49	1827.78	700.28	1941.5	1159.39	1676.01	1214.97	713.887	186.816	641.731	792.999	1971.87	1084.39	2013.78	1593.5	1094.21	1314.38	2491.05	1921.19	2730.33	1849.13	616.941	2040.53	678.303	1059.08	2029.33	1713.48	1425.12	1315.39	816.327	1744.04	1300.35	1613.32	2945.04	1860.86	836.076	1896.14	2248.38	950.708	932.445	363.539	1320.61	791.517	669.659	2113.66	453.202
KDM6B	2140.23	822.145	1664.87	881.138	941.748	1372.65	1530.08	1627.77	1455.02	3099.77	888.975	1136.78	1206.27	1015.56	1600.12	1398.45	1647.34	1663.85	1667.29	1490.85	1259.96	707.768	2108.61	1507.47	1542.56	1375.58	937.68	519.167	819.02	846.351999999999	1182.55	1831.7	2318.07	1060.77	1354.79	1734.71	1079.92	1765.21	1220.59	1988.5	1532.03	1249.54	1191.07	517.866	1285	795.064	1354.66	1516.33	1552.08	1501.77	2599.86	1218.15	2065.17	1342.06	1439.26	1961.41	711.103	499.4	1636.68	1541.69	2622.59	1003.3	980.232	1220.79	899.379	926.442	1231.3	1937.24	1060.84	1640.39	1035.38	1297.18	1612.34	1121.42	1107.04	693.557	1082.2	2262.7	2215.53	2280.2	1261.57	1665.25	1179.42	1442.08	1113.71	1539.68	1632.63	1763.87	1799.87	787.554	704.424	1628.72	1505.67	1515.92	2693.07	1386.8	1271.32	1732.83	974.726	2213.05	1346	1131.56	1638.56	1112.13	1397.17	1236.89	900.731	1716.25	1576.58	2812.16	1982.58	1911.9	1638.92	875.266	1134.13	1158.16	1473.97	1406.33	1407.88
SMC5	892.093	640.448	628.772	719.137	1342.58	806.716	411.722	931.379999999999	750.259	921.082	664.987	684.463	792.084	454.412	841.798	771.705	842.182	559.221	516.635	704.663	656.046	676.995	1016.31	846.812	1052.82	1984.97	655.801	356.095	587.23	333.906	647.044	1175.52	795.786	944.683	875.25	690.387	649.929	943.595	659.139	670.463	914.011	943.696000000001	1006.38	474.792	680.909	534.335	538.977	822.595	732.326	650.841	1028.73	817.163	753.348	825.129	734.849	687.625	586.103	1983.14	865.875	858.407	1036.8	711.956	858.488	1049.06	877.766	640.385	1258.76	766.475	761.105	740.279	759.275	602.213	1716.6	1132.26	1880.1	711.485	910.979	463.613	1097.89	793.293	670.943	143.017	478.451	615.534	1035.86	676.017	1002.77	1231.23	739.429	670.064	911.067	1186.34	1052.09	964.281	451.187	1639.55	855.06	731.801	1049.08	897.148	937.863	760.518999999999	595.059	1516.02	714.488	829.326	1654.39	872.648	652.532	983.384	1270.58	639.224	599.905	718.549999999999	947.655	622.574	622.382	1988.69	622.66
SIK2	353.555	778.108	254.849	480.037	1110.4	444.717	468.469	454.068	273.009	268.057	807.748999999999	382.077	707.237	241.821	461.179	315.892	336.147	372.413	495.92	400.691	380.159	679.56	422.97	380.974	680.126	407.856	368.648	267.904	335.621	523.605	534.469	526.987	499.19	862.875	559.084	306.492	316.832	465.851	461.135	485.806	451.056	647.899	730.856	393.539	376.818	432.403	400.626	429.832	342.688	369.623	569.026	372.128	408.31	767.605	362.352	349.634	399.925	2036.37	430.665	1122.96	425.837	314.557	714.779	710.972	437.655	475.481	732.562	513.791	999.999999999999	526.701	463.043	572.887	478.298	337.68	778.523999999999	307.563	813	337.53	449.449	490.583	313.441	220.782	363.015	346.663	1127.35	415.289	1018.55	688.766	369.004	620.172	807.898	481.962	860.028	735.198	610.198	968.732	379.585	368.872	1334.36	693.172	544.926	492.785	291.622	880.368	920.141	720.93	1901.06	822.675	275.949	771.217	846.259	367.593	300.19	362.473	395.311	585.191	327.947	904.096	436.453
KATNIP	419.194	452.856	267.78	435.521	516.227	312.039	850.782	538.449	471.562	477.335	387.26	385.227	415.021	380.448	394.046	324.419	304.202	278.709	223.478	319.862	262.129	373.544	563.151	345.386	461.49	750.811	388.303	241.28	334.76	207.725	482.83	483.638	405.186	493.183	462.089	293.383	272.984	465.851	301.996	332.688	407.921	481.893	526.276	251.591	325.454	273.069	162.966	215.357	420.939	402.001	304.135	391.874	411.684	388.948	404.022	433.134	452.417	739.715	382.182	468.095	397.048	330.565	505.491	625.781	437.164	425	522.226	403.146	419.56	364.064	381.938	382.265	689.787	321.761	382.209	313.165	744.193	909.367	524.357	352.779	257.111	295.866	249.858	314.088	549.378	333.811	577.374	512.695	379.313	339.056	759.529	581.436	604.536	624.289	493.89	584.25	349.094	356.53	468.222	506.914	455.968	401.601	283.566	626.108	407.774	401.261	603.034	490.981	315.19	567.777	539.802	329.313	444.339	358.209	317.339	256.65	267.505	653.377	225.616
KAZN	90.2735	1131.94	79.1972	592.391	737.676	206.568	312.403	82.8244	165.047	146.172	301.287	556.145	627.178	152.201	243.018	174.748	101.349	495.946	413.917	495.537	78.3201	836.384	172.932	349.013	231.899	304.328	755.206	24.2028	529.261	301.528	1492.48	279.039	60.8712	990.522	964.518	56.4419	393.904	474.706	659.459	93.4019	403.403	536.804	824.14	237.983	542.054	643.637	42.4391	57.97	493.859	666.547	255.55	443.82	64.3552	354.998	219.332	424.318	739.713	207.477	353.706	499.804	81.8126	125.659	1432.75	789.603	479.741	1573.59	1916.44	572.234	914.976	146.013	461.053	214.174	4062.66	135.732	311.887	100.28	488.428	494.769	102.964	128.351	96.4083	163.397	562.529	337.722	487.891	361.316	572.176	117.933	470.988	1189.95	2158.16	1219.18	1729.71	2976.31	563.321	433.379	325.431	324.232	807.745	482.061	332.579	498.421	253.808	624.857	337.201	605.818	1409.41	708.828	90.1329	103.912	655.043	74.9869	735.666	397.889	340.507	600.963	189.611	771.905	894.345
USP22	5620.59	5372.55	5315.73	6802.2	6629.4	5028.66	7198.51	6897.63	4269.91	4181.68	8782.66999999999	5471.93	5280.28	4025.48	4513.13	5446.9	5779.11	4707.42	5035.78	4999.31	4521.36	8162.41	6712.7	5339.57	4844.3	8148.25	5407.48	6837.37	3934.4	4133.05	6350.12	6717.38	6351.3	6217.76	5769.96	4868.29	4421.5	6395.51	5459.03	4680.53	5781.92	5191.12	5853.98	3235.93	5559.55	4983.37	5057.05	4414.83	6260.12	6544.07	2271.2	4205.81	7047.14	7817.22	5683.12	5249.83	4714.5	4493.37	5791.06	5182.11	5865.75	5241.82	6580.8	7906.78	5978.83	4646.15	5728.95	6321.31	5615.53	5204.38	4089.73	6256.74	7792.34	5340.22	6880.22	4861.06	3665.16	8926.87	4438.42	5105.65	5330.17	3102.57	4803.49	5095.42	6529.2	4520.28	6748.72	7935.21	6070.43	2736.05	7736.72	4637.83	6081.15	5346.89	4445.57	6535.9	5168.8	6043.65	6382.1	6109.33	6023.25	4645.57	5165.95	6396.39	9189.4	4918.8	9873.66	5726.87	5786.08	7262.75	5907.07	5763.5	5977.64	3850.75	5859.32	5213.52	4876.12	5425.37	5236.45
SF3B1	8625.06	5165.19	3918.64	5049.11	6970.87	7705.16	4814.75	10509.2	10688.2	12891.9	4996.64	4738.64	6410.07	4027.7	5922.36	6513.18	8235.23	8795.56	3535.47	7452.85	5248.37	4518	8667.25	8378.69	7325.98	10176.3	4638.06	1943.55	3494.08	2283.26	5269.82	12242.7	9143.03	7640.44	7571.96	7803.99	5095.47	7629.63	5257.88	6644.1	8658.94	7268.83	8562.31	3305.43	6505	3457.08	3789.82	4859.66	6631.41	7653.3	10521.4	10307.2	8496.47	7025.08	7120.93	7073.52	6615.56	8823.66	9695.07	8126.22	10710.3	4698.75	5552.87	6628.9	4614.29	5642.79	9339.36	7280.36	7447.56	8047.73	4334.77	5700.9	10499.1	6259.78	7704.7	4121.57	7296.39	5108.67	10094.2	8561.32	4496.93	1278.21	3984.05	4863.5	8670.41	7101.88	9744.67999999999	8817.15	6476.41	6466.2	8591.46	9671.45000000001	9286.32000000001	7213.46	5912.63	7488.13	5483.43	6836.24	8537.69	8623.16	6136.79	5256.7	5756.18	8194.61	5451.59	8305.48	10577.4	9496.37	5867.72	11014.1	10484.8	6080.23	5474.79	3800.64	6687.57	4914.45	4970.08	9455.92	3521.18
GCAT	246.643	134.886	485.991	431.39	27.4619	415.233	105.623	291.355	336.091	297.123	230.551	218.6	218.256	47.3899	319.323	253.876	420.365	597.663	1067.17	272.193	650.253	82.4874	163.775	322.117	248.236	119.556	344.679	1498.43	450.224	1038.63	520.527	226.094	258.914	151.928	322.175	436.954	751.768	169.555	515.756	233.492	277.029	80.3595	153.153	522.761	394.091	135.193	1010.05	491.615	313.006	343.793	62.3686	154.927	240.43	227.458	193.858	499.002	52.8701	24.9238	394.681	56.8235	317.478	565.883	109.821	86.9759	129.676	162.019	88.5435	351.843	201.568	379.019	427.955	253.025	64.6809	95.5123	192.925	560.224	313.278	323.957	137.408	211.759	509.202	609.609	669.831	652.486	109.524	396.03	219.903	247.639	406.686	203.863	168.682	172.329	109.142	65.8675	963.619	38.2166	478.126	271.054	167.853	152.55	181.046	147.448	517.186	182.686	233.922	208.12	101.233	171.781	425.949	162.534	177.315	238.07	357.755	199.36	221.374	582.315	788.151000000001	40.8609	1392.12
SRRM2	11015.9	10012.4	6332.37	7240.92	12413.9	8297.3	9486.59000000001	10956.9	9347.47	8668.89	6777.05	10163.9	11767.7	6084.07	8476.81	8056.59	7794.9	7776.23	7092.86	8433.85	7275.16	7936.72	9024.64	9161.62	12214.7	13714.8	7927.6	6028.95	8571.44	5110.51	8762.72	11114.7	12162.1	13964.2	11979.4	7180.4	6884.01	12432.5	6650.2	7520.04	12121.2	10942.6	12653.5	6915.32	6726.36	6913.09	5616.4	6653.03	8654.61	9216.91	18369.3	10663.4	12917.9	12502.5	8675.06	10246.8	7800.6	15760.8	10277.2	15784.3	12640.3	8781.99	10793.5	10992.9	8484.41	9233.17000000001	16292	10220.7	12928.3	11329	8802.42	9627.9	14549.8	9282.98	13153	6478.99	15226	13031.2	15519.8	8977.49	6724.46	6011.17	6906.4	7025.15	19645.2	6886.08	17574.7	14935	8304.72	10953.9	13216	18944.3	18967.4	15669.7	9164.2	15448.8	5916.92	8364.29	19825.8	14049.3	10924	11087.7	7366.8	14022.5	12286.2	13410.7	18679.3	17196.8	5558.86	12887.1	17065.9	7465.64	9939.57999999999	6642.73	10902.4	6823.86	7170.54	16925.1	10910.3
SHPK	264.023	459.097	266.164	415.328	333.981	308.763	283.301	264.608	165.46	175.69	246.14	329.79	415.579	236.033	224.752	225.969	396.406	185.005	388.575	223.834	255.612	499.626	348.341	318.011	215.128	217.131	454.904	327.808	349.839	459.228	443.584	356.991	356.564	412.544	455.222	287.765	274.399	468.23	296.219	196.866	301.2	436.162	492.117	217.244	241.818	547.747	263.123	168.579	384.236	333.799	286.615	339.389	307.076	337.912	233.677	381.238	394.966	350.472	436.725	232.883	309.481	390.595	532.419	764.942	421.446	434.615	496.48	285.139	313.55	202.829	222.03	349.87	299.991	268.247	347.505	171.406	164.249	456.112	254.596	237.483	221.974	427.263	266.565	297.071	490.877	283.443	363.303	346.967	286.461	76.7167	183.282	447.636	539.876	646.902	457.339	626.013	387.539	382.114	679.143	415.437	549.777	194.01	265.843	473.074	419.788	339.771	364.219	401.824	273.418	356.083	518.449	274.253	470.98	392.324	231.734	304.098	225.613	511.356	461.084
