TCGA-2J-AAB1-01	TCGA-2J-AAB4-01	TCGA-2J-AAB6-01	TCGA-2J-AAB8-01	TCGA-2J-AAB9-01	TCGA-2J-AABA-01	TCGA-2J-AABE-01	TCGA-2J-AABF-01	TCGA-2J-AABH-01	TCGA-2J-AABI-01	TCGA-2J-AABK-01	TCGA-2J-AABO-01	TCGA-2J-AABP-01	TCGA-2J-AABR-01	TCGA-2J-AABT-01	TCGA-2J-AABU-01	TCGA-2J-AABV-01	TCGA-2L-AAQA-01	TCGA-2L-AAQE-01	TCGA-2L-AAQI-01	TCGA-2L-AAQJ-01	TCGA-2L-AAQL-01	TCGA-2L-AAQM-01	TCGA-3A-A9I5-01	TCGA-3A-A9I7-01	TCGA-3A-A9I9-01	TCGA-3A-A9IB-01	TCGA-3A-A9IC-01	TCGA-3A-A9IH-01	TCGA-3A-A9IJ-01	TCGA-3A-A9IL-01	TCGA-3A-A9IN-01	TCGA-3A-A9IO-01	TCGA-3A-A9IR-01	TCGA-3A-A9IS-01	TCGA-3A-A9IU-01	TCGA-3A-A9IV-01	TCGA-3A-A9IX-01	TCGA-3A-A9IZ-01	TCGA-3A-A9J0-01	TCGA-3E-AAAY-01	TCGA-3E-AAAZ-01	TCGA-F2-6879-01	TCGA-F2-6880-01	TCGA-F2-7273-01	TCGA-F2-7276-01	TCGA-F2-A44G-01	TCGA-F2-A44H-01	TCGA-F2-A7TX-01	TCGA-F2-A8YN-01	TCGA-FB-A4P5-01	TCGA-FB-A4P6-01	TCGA-FB-A545-01	TCGA-FB-A5VM-01	TCGA-FB-A78T-01	TCGA-FB-A7DR-01	TCGA-FB-AAPP-01	TCGA-FB-AAPQ-01	TCGA-FB-AAPS-01	TCGA-FB-AAPU-01	TCGA-FB-AAPY-01	TCGA-FB-AAPZ-01	TCGA-FB-AAQ0-01	TCGA-FB-AAQ1-01	TCGA-FB-AAQ2-01	TCGA-FB-AAQ3-01	TCGA-FB-AAQ6-01	TCGA-H6-8124-01	TCGA-H6-A45N-01	TCGA-H8-A6C1-01	TCGA-HV-A5A3-01	TCGA-HV-A5A4-01	TCGA-HV-A5A5-01	TCGA-HV-A5A6-01	TCGA-HV-A7OL-01	TCGA-HV-A7OP-01	TCGA-HV-AA8V-01	TCGA-HV-AA8X-01	TCGA-HZ-7289-01	TCGA-HZ-7918-01	TCGA-HZ-7919-01	TCGA-HZ-7920-01	TCGA-HZ-7922-01	TCGA-HZ-7923-01	TCGA-HZ-7924-01	TCGA-HZ-7925-01	TCGA-HZ-7926-01	TCGA-HZ-8001-01	TCGA-HZ-8002-01	TCGA-HZ-8003-01	TCGA-HZ-8005-01	TCGA-HZ-8315-01	TCGA-HZ-8317-01	TCGA-HZ-8519-01	TCGA-HZ-8636-01	TCGA-HZ-8637-01	TCGA-HZ-8638-01	TCGA-HZ-A49G-01	TCGA-HZ-A49H-01	TCGA-HZ-A49I-01	TCGA-HZ-A4BH-01	TCGA-HZ-A4BK-01	TCGA-HZ-A77O-01	TCGA-HZ-A77P-01	TCGA-HZ-A77Q-01	TCGA-HZ-A8P0-01	TCGA-HZ-A8P1-01	TCGA-HZ-A9TJ-01	TCGA-IB-7644-01	TCGA-IB-7645-01	TCGA-IB-7646-01	TCGA-IB-7647-01	TCGA-IB-7649-01	TCGA-IB-7651-01	TCGA-IB-7652-01	TCGA-IB-7885-01	TCGA-IB-7886-01	TCGA-IB-7887-01	TCGA-IB-7888-01	TCGA-IB-7889-01	TCGA-IB-7890-01	TCGA-IB-7891-01	TCGA-IB-7893-01	TCGA-IB-7897-01	TCGA-IB-8126-01	TCGA-IB-8127-01	TCGA-IB-A5SO-01	TCGA-IB-A5SP-01	TCGA-IB-A5SQ-01	TCGA-IB-A5SS-01	TCGA-IB-A5ST-01	TCGA-IB-A6UF-01	TCGA-IB-A6UG-01	TCGA-IB-A7LX-01	TCGA-IB-A7M4-01	TCGA-IB-AAUM-01	TCGA-IB-AAUN-01	TCGA-IB-AAUO-01	TCGA-IB-AAUP-01	TCGA-IB-AAUQ-01	TCGA-IB-AAUR-01	TCGA-IB-AAUS-01	TCGA-IB-AAUT-01	TCGA-IB-AAUU-01	TCGA-IB-AAUV-01	TCGA-IB-AAUW-01	TCGA-L1-A7W4-01	TCGA-LB-A7SX-01	TCGA-LB-A8F3-01	TCGA-LB-A9Q5-01	TCGA-M8-A5N4-01	TCGA-OE-A75W-01	TCGA-PZ-A5RE-01	TCGA-Q3-A5QY-01	TCGA-Q3-AA2A-01	TCGA-RB-A7B8-01	TCGA-RB-AA9M-01	TCGA-RL-AAAS-01	TCGA-S4-A8RM-01	TCGA-S4-A8RO-01	TCGA-S4-A8RP-01	TCGA-US-A774-01	TCGA-US-A776-01	TCGA-US-A779-01	TCGA-US-A77E-01	TCGA-US-A77G-01	TCGA-US-A77J-01	TCGA-XD-AAUG-01	TCGA-XD-AAUH-01	TCGA-XD-AAUI-01	TCGA-XD-AAUL-01	TCGA-XN-A8T3-01	TCGA-XN-A8T5-01	TCGA-YB-A89D-01	TCGA-YH-A8SY-01	TCGA-YY-A8LH-01	TCGA-Z5-AAPL-01
TAF5L	560	513.889	560.234	456.874	528.403	702.051	611.685	772.925	844.511999999999	535.922	548.581	494.391	450.815	573.902	669.587	620.087	485.039	807.561	551.437	588.367	768.812	578.279	256.38	669.868	661.454	432.295	486.546	766.914	594.328	375.582	516.355	453.811	374.499	716.766	439.8	840.07	539.357	568.862	540.52	555.585	580.205	1035.15	709.069	406.26	691.949	661.085	667.77	525.727	611.258	580.937	494.643	620.572	489.024	552.426	740.325	664.006	571.727	460.387	502.759	898.474	503.25	473.57	616.948	652.011	651	414.509	903.286	652.886	508.184	689.116	598.791	756.582	520.508	483.405	382.625	638.407	535.888	837.26	937.794	647.853	696.744	641.542	552.462	570.245	730.923	668.026	725.613	496.115	641.711	659.15	593.79	591.064	678.986	774.034	735.122	695.805	659.181	474.836	692.713	548.48	687.785	575.699	659.299	611.58	581.081	894.303	904.192	816.179	765.337	818.295	803.553	761.631	532.335	835.189	607.209	607.2	687.5	686.695	784.81	677.792	563.686	641.149	633.808	629.563	559.219	712.556	709.028	481.25	510.245	528.703	745.304	778.167	719.837	528.549	431.651	640.143	622.822	701.908	532.833	414.541	705.14	743.753	486.244	542.394	682.816	624.066	579.302	738.954	951.269	484.129	577.255	402.185	568.559	532.902	429.704	725.209	768.669	489.282	1391.68	566.821	631.551	622.316	776.09	555.687	548.908	783.66	570.646	654.73	656.949	511.144	590.437	657.173	571.514	432.169	605.14	610.737	577.778
R3HCC1L	539.512	476.01	304.678	495.417	443.73	311.257	340.373	441.216	531.359	540.276	516.767	358.974	330.352	360.544	322.904	245.633	456.693	384.476	539.388	428.522	368.812	407.512	257.567	382.953	384.193	386.969	385.367	256.296	447.972	236.734	276.14	296.767	468.124	378.695	322.581	264.06	317.104	462.277	246.097	398.733	408.094	422.588	473.498	365.756	373.387	403.215	374.724	334.452	383.465	332.7	406.029	532.697	320.212	431.403	483.146	312.849	379.065	489.105	323.448	455.432	405.2	381.608	495.571	432.675	346.207	352.933	364.319	296.579	391.271	425.647	492.114	442.773	382.438	268.201	340.111	635.342	373.909	372.163	216.937	398.773	413.135	328.449	348.18	414.844	525.686	460.935	450.402	392.229	526.203	425.275	355.326	510.791	359.883	429.199	448.833	383.926	463.704	373.085	354.115	407.647	336.453	407.907	278.444	410.659	320.212	265.964	441.317	346.518	500	387.526	268.02	488.5	430.905	471.083	305.327	238.651	472.774	278.532	303.247	488.257	326.426	394.982	231.259	361.041	378.759	478.663	457.187	406.118	288.698	400.038	397.99	423.053	488.48	724.172	405.275	439.426	402.473	438.754	519.194	285.077	366.997	365.507	462.321	374.947	332.919	394.023	446.438	491.244	339.594	295.958	396.898	471.698	454.352	391.433	250.901	332.736	444.635	428.724	472.765	220.879	437.798	384.842	327.781	472.561	446.725	461.889	356.882	281.757	310.776	365.527	308.108	370.253	320.024	330.421	266.355	513.725	586.895
PRPF19	2322.93	2061.45	2902.34	2294.71	2849.95	2058.56	2248.81	2203.95	2410.28	2985.49	2889.08	2440.71	3905.31	2101.42	2021.28	2292.58	3609.45	2213.96	3246.99	2361.73	2213.86	2817.01	1887.24	2951.38	2153.85	2079.32	2173.54	2420.74	2165.52	5173.03	2324.94	2210.74	2841.85	2643.64	2723.76	2439.37	1859.97	2310.16	2024.54	3130.18	2353.49	2924.83	2793.58	2552.93	1947.57	2144.01	1970.75	1805.37	3319.7	2624	2068.64	1817.44	2115.82	3695.88	2552.23	2265.19	2806.47	1978.86	1732.41	2444.24	2671.18	1759.59	2801.72	2844.87	3217.31	1935.88	3095.77	2179.03	1851.13	2132	2069.68	2260.08	2244.37	2279.98	3249.54	5420.84	1926.29	2789.71	2077.37	2218	2230.45	2917.81	2263.38	1775.02	2242.64	2286.48	2142.59	3287.12	2373.26	2037.23	2818.46	1684.21	1821.33	2295.48	1745	1664.43	1955.4	1868.71	2299.25	2295.15	2035.04	2128.25	2685.91	2301.38	1790.83	2279.31	2708.98	2721.17	1894.48	1919.33	2094.42	2047.05	2289.31	1930.76	2339.78	1959.89	2858.49	2482.96	2448.54	2938.61	1843.25	2256.67	2164.92	2015.9	1738.72	1484.17	1857.42	4423.64	2245.86	2375.56	2104.41	2634.69	2938.39	2595.91	4078.62	2222.94	2179.88	3066.36	2298.53	3036.99	2521.19	1985.79	2032.3	2222.41	2123.81	2229.65	1946.38	2939.58	2947.72	2196.85	1749.57	2683.22	2550.89	2548.04	2386.45	2131.42	2755.36	2951.77	1970.06	1823	2108.52	2208.84	1805	3251.5	1697.82	2451.85	2772.84	2268.92	2706.4	2158	1865.28	2189.87	2284.27	2000	1981.31	2801.01	2390.31
PCLO	247.317	285.353	385.965	20.6816	220.793	259.903	38.2303	394.791	269.599	57.3295	350.387	198.718	64.1767	276.438	81.9775	126.638	96.063	5.6304	219.648	320.176	28.2178	142.306	2762.02	198.679	96.3652	367.705	62.078	19.2593	158.745	634.659	1716.36	956.12	3302.21	2889.79	1892.32	252.197	4846.36	285.043	61.71	187.483	155.534	190.726	2.9446	521.632	464.404	425.653	82.7815	98.434	157.432	190.041	162.702	329.019	370.931	83.9854	188.098	123.133	501.478	136.411	58.6207	316.137	171.723	144.823	8.2891	481.139	360.168	45.8062	31.9249	332.416	306.313	113.685	34.2611	300.913	276.141	138.651	79.4824	31.665	173.133	248.109	837.428	302.25	183.395	753.428	111.777	448.642	205.985	31.0637	206.106	205.317	448.128	532.25	45.7094	179.099	241.621	1784.81	153.107	716.298	332.121	227.571	181.214	312.474	133.429	275.313	277.337	185.966	52.2914	105.056	220.359	329.336	23.6196	190.437	194.924	183.22	377.127	410.806	473.363	123.857	71.5753	288.342	285.085	80.7581	192.166	291.198	191.154	1108.78	373.956	42.7378	169.314	150.264	307.814	116.52	16.1643	76.1303	181.972	329.252	220.644	293.907	133.783	208.556	26.3997	493.622	95.1307	58.7947	391.746	137.196	187.164	376.72	340.489	181.839	169.543	230.19	105.112	99.8014	179.35	45.2063	103.821	129.63	378.112	108.789	28.2744	300.052	251.456	163.368	621.754	60.4555	297.38	164.309	116.931	389.189	521.083	151.56	105.198	202.532	124.553	175.231	21.028	20.2844	41.5954
DEXI	614.146	577.862	601.17	663.69	667.739	596.211	561.122	629.042	669.425	804.064	738.177	753.205	658.601	597.403	847.935	679.039	1559.06	536.095	737.72	602.457	432.673	1003.26	818.398	854.142	658.495	773.371	811.045	668.148	664.021	1667.78	952.816	1004.04	578.301	764.964	464.334	517.575	612.881	676.672	429.74	637.972	658.703	647.719	553.592	752.378	534.398	573.677	457.505	530.201	494.283	679.305	802.615	542.234	370.174	876.368999999999	595.09	640.748	491.045	411.028	891.723999999999	491.476	813.651	496.741	644.183	616.538	950.675	808.742	717.371	587.803	503.507	518.858	497.565	512.628	578.279	684.154	959.335	804.903	777.401	436.136	736.539	422.086	501.862	599.546	422.27	592.777	367.581	640.728	388.57	930.061	503.387	536.969	526.951	440.742	512.298	682.817	458.621	435.159	466.551	603.939	619.562	727.823	500.12	533.269	808.762	746.549	561.105	595.759	499.401	441.596	475.153	474.012	335.533	394.145	554.118	444.475	375.298	573.97	368.801	692.651	514.585	725.175	617.493	494.478	372.564	468.016	599.016	606.618	535.839	698.523	652.389	566.278	782.001	831.169	645.76	373.337	640.629	678.136	526.138	579.923	615.992	984.694	741.208	695.247	617.225	744.355	959.834	653.559	411.407	700.452	797.462	721.626	483.056	1017.38	718.635	796.694	712.329	600.358	643.348	769.025	440.748	711.048	559.555	577.263	609.995	852.423	531.441	472.387	854.446	900.676	768.87	632.491	713.514	708.333	694.875	641.829	730.14	626.612	592.023
SETD2	1877.56	1790.4	1767.84	1364.04	1606.65	1951.46	1594.57	1954.82	1863.68	1180.33	1622.1	1185.1	1250.39	1904.76	1892.37	1171.4	870.866	1624.77	1894.35	1816.6	1132.18	851.894	1173.29	798.319	1682.59	1660.62	1238.74	1080	1613.4	839.473	1924.94	1207.85	974.525	1973.35	3058.61	1781.2	1775.78	2068.4	1837.17	2063.9	1303.75	1844.8	1990.58	2301.32	2330.27	2220.03	1777.59	1321.03	1503.52	1494.06	1747.59	2213.22	1740.35	785.602	1820.22	1455.25	1450.88	962.954	1410.34	1777.8	1520.59	1729.18	1695.13	1329	1311.77	991.967	969.953	2307.14	1626.66	1733.3	1400.03	1761.96	1625.65	1429.87	933.457	552.605	1759.94	862.761999999999	1522.22	2103.48	2115.98	2123.01	1916.06	2104.04	2530.67	1551.3	2312.63	1222.49	2565.78	2303.09	1682.19	2073.84	1999.24	2133.6	2075.33	1830.61	2161.32	1916.3	1139.37	1435.29	1596.83	1526.52	1558.29	1894.56	1467.1	1641.66	1415.57	1650.11	2756.14	1838.25	1361.42	1738.63	2105.51	1572.09	2235.36	1215.74	1665.82	1272.14	1901.49	1280.59	1699.26	2031.52	1913.04	2562.34	2442.72	1822.7	1605.19	1492.48	1327.32	1531.83	1670.16	1619.94	2088.65	1962.66	1985.8	2125.45	1984.82	1021.63	2233.41	1595.03	1940.94	1284.17	1806.82	1254.37	1696.07	2038.93	1736.2	1382.35	796.447	1671.61	1305.57	886.793	1444.28	1846.01	1620.76	1069.3	1686.27	1407.29	2217.05	1567.33	1976.71	1802.95	1552.18	1707.37	1852.84	1678.69	1523.14	1766.89	1761.58	1590.39	1739.71	1970.46	1417.16	1370.5	1091.12	1154.45	2496.87
SCAPER	336.098	332.913	205.263	156.992	279.743	313.762	234.315	263.312	242.596	407.475	327.171	227.564	223.566	405.69	341.051	454.149	166.929	224.01	291.937	460.102	169.802	157.83	337.092	154.862	280.642	249.292	202.761	176.79	232.698	694.241	720.108	342.379	691.064	1058.28	961.381	277.68	537.112	396.937	330.111	330.077	306.192	239.342	222.909	622.277	502.462	479.236	206.402	242.729	365.435	258.023	227.347	338.556	196.821	138.758	206.825	316.498	116.849	357.181	175.862	326.649	193.933	221.579	133.218	253.81	319.684	130.66	182.16	513.659	313.328	192.349	128.479	253.627	294.05	137.045	131.855	100.102	267.701	264.534	27.7052	396.728	410.758	609.888	373.876	446.322	322.943	277.691	360.382	271.984	505.169	558.993	388.529	514.957	405.25	542.299	467.709	287.544	273.604	377.462	267.664	283.317	333.093	239.151	291.176	324.387	322.562	132.317	207.186	261.75	253.681	348.856	275.635	312.337	417.291	336.954	596.342	413.863	413.63	311.465	364.337	295.426	383.819	419.856	366.567	691.362	648.419	300.978	272.375	230.472	316.146	347.661	262.123	288.139	265.712	434.411	175.501	450.179	252.951	161.827	315.476	230.23	240.307	233.219	331.938	320.409	340.373	399.528	217.452	256.987	233.502	268.555	141.873	90.864	202.438	209.012	138.428	212.664	363.09	258.307	358.004	302.069	318.687	284.632	80.8427	214.113	230.131	316.75	275.883	511.486	382.613	246.657	274.844	308.544	325.387	319.63	178.154	172.859	284.9
HP1BP3	2390.73	3543.77	4633.33	3592.95	2828.51	2697.98	3935.26	3919.91	2540.51	2544.99	3465.18	3229.97	4783.8	3784.79	4247.18	4111.35	1826.77	2320.93	3538	2552.18	2977.23	2175.98	1846.88	1751.5	3170.75	3350.14	3114.38	3937.28	3548.16	2255.62	2159.79	2529.45	3099.44	3676.1	2867.33	5268.89	2511.58	2937.42	4534.57	1801.43	3130.67	2876.96	4007.66	2707.58	3044.05	3205.29	3539.18	3107.38	2861.48	3427.43	3031.05	3412.13	4135.5	1446.01	3405.74	3286.28	3399.76	2168.22	3901.38	2114.21	3003.79	3809.56	3207.3	3125.16	4254.07	2532.86	2453.52	4825.18	3939.2	3512.39	4202.44	2721.66	3149.62	4097.97	2008.01	937.692	3811.83	3020.1	1483.53	2469.12	4161.45	4160.15	4674.95	4104.37	3288.28	3742.39	2897.91	2080.16	3443.85	3499.74	2484.26	5815.6	4241.11	3087.44	4142.27	4502.4	3737.15	4044.31	2780.27	3065.33	3400.05	3475.41	2285.68	3534.89	3253.82	3151	1999.4	4275.63	5362.27	3599.58	2736.04	3484.58	3241.66	2957.1	2873.31	3444.83	3794.24	3574.67	3777.11	2590.85	3472.31	3274.36	3832.46	5016.99	3939.92	3582.72	3852.38	2659.57	2658.08	2769.52	2840.54	5263.11	3126.27	3882.61	2297.24	3237.28	3268.69	2177.05	3902.75	4147.32	3433.72	3404.7	3318.18	2827.01	4007.45	4391.66	4463.1	5802.62	1843.15	2966.89	3549.11	2375.37	2457.3	3401.64	2377.79	2604.54	3469.96	3156.48	2408.32	2176.01	3005.82	3463.58	2945.61	3002.12	4063.76	3623.92	3024.36	3719.59	4023.95	3072.81	3187.53	4674.05	3264.6	3072.46	3573.6	1938.04	4820.51
COPS4	579.024	595.539	587.135	538.66	606.645	695.162	459.997	545.052	573.171	679.971	643.594	620.994	862.178	632.035	593.867	647.38	809.449	313.292	640.871	769.59	596.535	692.123	792.285	498.199	573.542	458.357	695.757	453.827	598.587	2153.48	817.159	946.305	1388.85	1454.88	1579.74	568.541	1345.31	674.63	559.851	437.814	758.654	449.514	559.482	819.883	743.846	814.133	561.258	681.208	740.985	665.4	657.345	537.466	473.883	817.423	462.339	569.604	702.486	677.568	642.759	538.409	561.755	624.185	368.274	408.194	671.01	857.552	588.732	741.86	595.479	556.573	453.181	518.538	629.694	443.255	589.649	627.171	553.346	519.991	640.878	950.102	722.887	1097.23	597.002	683.234	674.065	744.274	677.118	1178.73	704.456	720.503	715.395	660.356	718.236	757.426	762.737	663.144	723.074	564.551	852.314	621.648	501.08	486.017	674.799	741.948	605.758	449.478	574.85	643.207	631.902	645.322	734.01	793.779	791.014	746.945	700.769	803.894	601.232	907.769	796.918	831.067	766.613000000001	708.052	750.375	872.786	809.667	762.805	661.759	492.926	815.118	622.83	634.775	757.93	590.47	549.213	598.022	609.319	537.381	407.766	600.593	508.929	587.015	648.702	611.842	553.046	775.569	726.701	636.121	552.476	741.624	735.328	414.13	734.856	699.67	559.494	367.7	488.053	747.639	864.416	448.233	676.756	566.967	668.211	642.332	580.877	609.607	425.833	815.469	761.486	710.047	575.532	561.746	632.384	716.329	655.19	575.935	633.227	716.809
GPN3	248.293	174.242	312.281	244.418	248.66	304.995	213.966	266.501	172.909	233.309	275.58	276.442	464.492	271.49	279.099	326.419	333.858	257.792	161.26	229.322	283.663	315.66	289.614	222.689	269.653	235.127	373.677	177.778	215.662	261.737	270.778	287.529	370.878	316.382	407.088	385.764	410.271	315.263	358.364	221.283	337.884	342.558	290.342	278.613	297.538	339.25	293.046	336.689	533.861	250.297	301.435	258.856	297.502	488.785	200.583	269.981	347.07	296.155	313.793	242.547	151.679	310.644	181.177	232.326	249.418	458.062	334.272	239.323	238.504	245.69	202.452	236.969	281.918	287.473	241.528	114.403	224.054	167.711	213.278	328.425	335.895	363.551	268.951	284.957	247.88	284.907	229.141	361.145	326.56	305.191	391.117	328.285	364.98	359.336	257.625	350.304	303.337	269.694	332.502	216.751	285.577	252.652	252.98	327.837	287.309	287.906	256.287	320.744	277.914	276.923	737.056	325.928	347.175	401.303	283.859	272.552	331.13	275.379	340.671	376.185	308.49	304.063	404.423	279.725	350.627	276.371	233.63	314.234	265.661	226.966	287.462	358.005	311.339	242.003	449.404	273.118	181.563	231.674	164.118	286.352	253.381	314.552	280.502	187.047	378.054	301.612	498.985	223.588	250.254	343.457	232.625	233.366	275.003	279.215	239.365	287.336	316.309	362.808	266.112	407.97	245.103	252.632	363.547	180.359	244.978	226.837	319.123	253.378	286.309	278.356	273.181	306.962	258.641	256.937	198.014	238.121	309.402
SCAND1	1341.95	800.505	960.819	612.926	1264.74	979.49	1122.86	1038.01	1125.44	1970.61	1150.47	856.571	1721.73	1097.09	872.340000000001	1119	2692.91	894.429999999999	1258.11	1010.09	1569.31	2456.71	3228.49	1821.13	1359.68	1753.54	1066.21	1584.2	1474.78	2656.74	2595.71	3840.07	1878.18	2137.22	2084.05	1007.03	1403.11	700.766	979.182	1209.93	1268.65	1019.82	324.205	1652.04	491.284	457.133	820.64	945.190000000001	928.76	937.328000000001	1111.31	632.834	808.478	3055.82	1004.58	1316.16	1939.84	1285.13	1611.03	954.793	1540.09	679.218	1091.8	1346.49	856.678	1505.6	1392.49	696.137	945.44	1015.62	795.014	1098.87	1026	875.268	3292.05	5229.83	1265.28	1529.28	1427.6	89.9796	123.584	256.366	251.392	420.477	564.339	346.094	572.853	412.679	184.67	288.935	666.235	419.538	605.072	675.962	438.696	508.485	588.645	766.958	1100.58	980.883	567.315	1525.07	1709.42	1126.92	1188.01	1106.41	1098.8	1619.19	724.54	207.069	177.157	132.514	228.046	456.421	463.292	566.921	165	698.257	309.851	309.024	379.207	322.505	122.564	146.006	522.166	686.913	955.444	1730.57	1535.15	954.550000000001	1117.96	1285.54	1297.42	1080.52	2130.36	1048.03	1277.68	1993.58	744.471	1168.37	1330.03	1423.81	1220.1	1618.24	1219.05	798.663	1100.07	1221.38	3269.54	1169.22	970.132	2413.6	1410.88	1573.18	1292	1319	1098.71	1377.81	590.437	1391.84	1202.22	894.316	1439.98	1874.12	1694.32	1246.01	1718.64	997.973	916.188999999999	928.678	1071.1	1093.35	1241.95	1235.35	1171.14	1507.66	862.678
RSRC1	100.976	145.623	214.035	197.415	166.131	186.629	169.57	170.462	168.554	157.837	131.556	135.417	188.322	175.634	168.961	138.646	33.0709	225.216	123.262	197.742	145.049	95.7329	148.961	103.241	127.219	119.547	177.366	106.667	137.838	61.1783	136.729	99.8845	75.5205	148.724	198.092	152.46	269.398	147.014	186.617	185.371	119.942	143.605	236.749	117.828	183.899	189.551	78.9183	101.79	184.257	218.367	102.415	119.21	123.391	143.453	114.44	194.277	171.796	183.975	151.724	201.246	91.5493	191.89	98.2853	179.865	153.095	149.433	199.061	158.588	145.752	131.465	133.151	128.963	114.385	199.143	64.695	21.4505	140.155	183.272	226.869	244.581	224.59	165.478	308.351	130.881	144.638	150.298	194.588	121.472	190.374	212.9	245.796	155.623	177.902	189.554	234.554	204.931	139.807	129.65	76.4755	102.324	168.946	118.129	115.696	150.69	165.1	135.642	89.2216	120.852	196.319	222.037	317.767	252.483	191.287	179.745	187.914	159.772	166.507	296.05	190.974	124.433	325.401	202.852	237.256	241.417	164.678	169.656	150.329	143.664	143.614	167.378	141.547	178.28	151.375	286.546	185.645	134.05	166.948	262.17	201.077	147.959	131.199	137.188	162.081	150.405	142.443	170.271	335.363	172.098	75.6345	170.815	149.339	68.0238	96.0654	144.128	98.7743	233.572	205.579	129.153	195.01	161.373	168.872	168.421	175.894	78.0884	122.707	127.796	80.9988	135.811	119.209	157.999	153.43	152.954	131.108	187.564	178.154	133.613	145.869
THEM6	1724.39	1215.07	367.252	732.315	872.454	1296.38	1396.02	805.174	2990.85	670.174	717.971	1619.39	265.65	496.599	914.894	1628.82	2173.23	1421.27	3674.24	1328.32	1729.7	1088.64	1352.52	847.539	661.877	1247.59	399.476	774.815	1948.31	1250.7	587.668	1296.19	1666.11	1125.76	5487.05	905.536000000001	1324.54	971.516	1805.2	979.667	960.995	792.446	2762.37	1310.83	462.542	403.215	1274.83	808.725	2162.71	1971.48	1109.13	831.063	456.472	779.864	741.157	397.218	1032.86	434.361	382.069	1784.93	1092.63	447.502	1030.81	900.824	3126.11	1193.21	2182.16	484.001	1026.5	1118	1445.97	1178.4	884.46	1972.16	1820.7	2028.6	1046.07	1535.34	202.3	594.274	895.191	414.009	1763.6	439.695	674.065	1274.55	493.138	670.757	486.988	604.09	715.826	1111.7	686.122	572.09	1054.27	966.379	667.721	901.532	623.441	1111.26	2297.1	811.475	1283.72	733.512	626.909	801.88	1505.99	658.098	1866.56	480.665	574.619	1193.94	730.429	613.087	1000.8	724.008	1273.29	1291.41	569.07	1238.98	554.975	684.893	564.093	291.652	698.509	1476.66	795.816	2373.76	1370.95	757.188	902.577	1553.44	1489.6	1485.54	2206.95	741.219	679.033	1565.64	420.195	984.056	596.033	516.904	609.45	687.26	250.932	559.182	2549.61	2462.25	792.386	723.453	612.866	3318.27	1163.09	572.258	963.951	949.821	874.678	729.368	1886.9	1643.48	1460.03	1133.05	681.529	2728.56	835.808	1588.77	679.05	455.405	786.049	889.054	735.135	691.456	546.484	901.85	851.635	1785.03	457.55
PLA1A	211.707	166.246	86.5497	166.393	218.649	151.558	144.905	317.533	179.007	76.9231	226.569	181.891	39.979	244.28	270.338	27.2926	160.63	114.619	79.24	119.034	200	252.269	105.638	230.492	58.7489	154.108	230.978	43.9506	115.768	210.134	574.264	386.836	38.7948	54.7386	194.003	77.768	694.261	258.908	48.3271	180.09	367.625	89.0052	452.886	222.154	267.465	300.067	125.276	225.951	365.875	183.345	269.475	186.649	51.4762	162.233	203.912	189.716	15.3017	216.283	192.414	88.2329	556.338	249.095	110.719	143.393	42.8106	198.994	222.535	49.4299	255.651	151.401	17.1306	112.305	243.79	60.4925	113.986	43.9224	67.8952	190.62	394.145	486.708	158.045	318.42	220.129	244.202	53.8653	229.997	213.986	349.693	222.46	322.496	42.6908	328.663	131.515	371.99	237.7	1532.5	215.404	273.523	245.497	193.646	350.852	198.65	137.838	136.887	421.269	216.76	104.79	163.236	72.0859	551.767	310.66	514.898	244.384	469.726	184.469	147.688	390.65	91.7929	339.571	351.463	84.5529	405.275	99.3253	276.473	429.535	319.368	273.925	77.1625	273.993	188.253	436.872	68.4209	141.176	45.0024	119.199	305.376	161.327	128.38	231.437	114.158	211.001	199.902	244.019	124.414	313.043	213.921	50.8384	110.866	228.426	245.718	161.976	280.04	84.9334	196.78	118.962	262.246	129.185	255.627	274.012	81.1905	150.344	187.79	155.316	80.6074	140.175	57.508	223.508	364.865	201.978	255.077	340.125	152.426	238.379	157.246	10.514	66.5858	255.84
