TCGA-P7-A5NX-01	TCGA-P7-A5NY-01	TCGA-P8-A5KC-01	TCGA-P8-A5KD-01	TCGA-P8-A6RX-01	TCGA-P8-A6RY-01	TCGA-PR-A5PF-01	TCGA-PR-A5PG-01	TCGA-PR-A5PH-01	TCGA-QR-A6GO-01	TCGA-QR-A6GR-01	TCGA-QR-A6GS-01	TCGA-QR-A6GT-01	TCGA-QR-A6GU-01	TCGA-QR-A6GW-01	TCGA-QR-A6GX-01	TCGA-QR-A6GY-01	TCGA-QR-A6GZ-01	TCGA-QR-A6H0-01	TCGA-QR-A6H1-01	TCGA-QR-A6H2-01	TCGA-QR-A6H3-01	TCGA-QR-A6H4-01	TCGA-QR-A6H5-01	TCGA-QR-A6H6-01	TCGA-QR-A6ZZ-01	TCGA-QR-A700-01	TCGA-QR-A702-01	TCGA-QR-A703-01	TCGA-QR-A705-01	TCGA-QR-A706-01	TCGA-QR-A707-01	TCGA-QR-A708-01	TCGA-QR-A70A-01	TCGA-QR-A70C-01	TCGA-QR-A70D-01	TCGA-QR-A70E-01	TCGA-QR-A70G-01	TCGA-QR-A70H-01	TCGA-QR-A70I-01	TCGA-QR-A70J-01	TCGA-QR-A70K-01	TCGA-QR-A70M-01	TCGA-QR-A70N-01	TCGA-QR-A70O-01	TCGA-QR-A70P-01	TCGA-QR-A70Q-01	TCGA-QR-A70R-01	TCGA-QR-A70T-01	TCGA-QR-A70U-01	TCGA-QR-A70V-01	TCGA-QR-A70W-01	TCGA-QR-A70X-01	TCGA-QR-A7IN-01	TCGA-QR-A7IP-01	TCGA-QT-A5XJ-01	TCGA-QT-A5XK-01	TCGA-QT-A5XL-01	TCGA-QT-A5XM-01	TCGA-QT-A5XN-01	TCGA-QT-A5XO-01	TCGA-QT-A5XP-01	TCGA-QT-A69Q-01	TCGA-QT-A7U0-01	TCGA-RM-A68T-01	TCGA-RM-A68W-01	TCGA-RT-A6Y9-01	TCGA-RT-A6YA-01	TCGA-RT-A6YC-01	TCGA-RW-A67V-01	TCGA-RW-A67W-01	TCGA-RW-A67X-01	TCGA-RW-A67Y-01	TCGA-RW-A680-01	TCGA-RW-A681-01	TCGA-RW-A684-01	TCGA-RW-A685-01	TCGA-RW-A686-01	TCGA-RW-A688-01	TCGA-RW-A689-01	TCGA-RW-A68A-01	TCGA-RW-A68B-01	TCGA-RW-A68C-01	TCGA-RW-A68D-01	TCGA-RW-A68F-01	TCGA-RW-A68G-01	TCGA-RW-A7CZ-01	TCGA-RW-A7D0-01	TCGA-RW-A8AZ-01	TCGA-RX-A8JQ-01	TCGA-S7-A7WL-01	TCGA-S7-A7WM-01	TCGA-S7-A7WN-01	TCGA-S7-A7WO-01	TCGA-S7-A7WP-01	TCGA-S7-A7WQ-01	TCGA-S7-A7WR-01	TCGA-S7-A7WT-01	TCGA-S7-A7WU-01	TCGA-S7-A7WV-01	TCGA-S7-A7WW-01	TCGA-S7-A7WX-01	TCGA-S7-A7X0-01	TCGA-S7-A7X1-01	TCGA-S7-A7X2-01	TCGA-SA-A6C2-01	TCGA-SP-A6QC-01	TCGA-SP-A6QD-01	TCGA-SP-A6QF-01	TCGA-SP-A6QG-01	TCGA-SP-A6QH-01	TCGA-SP-A6QI-01	TCGA-SP-A6QJ-01	TCGA-SP-A6QK-01	TCGA-SQ-A6I4-01	TCGA-SQ-A6I6-01	TCGA-SR-A6MP-01	TCGA-SR-A6MQ-01	TCGA-SR-A6MR-01	TCGA-SR-A6MS-01	TCGA-SR-A6MT-01	TCGA-SR-A6MU-01	TCGA-SR-A6MV-01	TCGA-SR-A6MX-01	TCGA-SR-A6MY-01	TCGA-SR-A6MZ-01	TCGA-SR-A6N0-01	TCGA-TT-A6YJ-01	TCGA-TT-A6YK-01	TCGA-TT-A6YN-01	TCGA-TT-A6YO-01	TCGA-TT-A6YP-01	TCGA-W2-A7H5-01	TCGA-W2-A7H7-01	TCGA-W2-A7HA-01	TCGA-W2-A7HB-01	TCGA-W2-A7HC-01	TCGA-W2-A7HD-01	TCGA-W2-A7HE-01	TCGA-W2-A7HF-01	TCGA-W2-A7HH-01	TCGA-W2-A7UY-01	TCGA-WB-A80K-01	TCGA-WB-A80L-01	TCGA-WB-A80M-01	TCGA-WB-A80N-01	TCGA-WB-A80O-01	TCGA-WB-A80P-01	TCGA-WB-A80Q-01	TCGA-WB-A80V-01	TCGA-WB-A80Y-01	TCGA-WB-A814-01	TCGA-WB-A815-01	TCGA-WB-A816-01	TCGA-WB-A817-01	TCGA-WB-A818-01	TCGA-WB-A819-01	TCGA-WB-A81A-01	TCGA-WB-A81D-01	TCGA-WB-A81E-01	TCGA-WB-A81F-01	TCGA-WB-A81G-01	TCGA-WB-A81H-01	TCGA-WB-A81I-01	TCGA-WB-A81J-01	TCGA-WB-A81K-01	TCGA-WB-A81M-01	TCGA-WB-A81N-01	TCGA-WB-A81P-01	TCGA-WB-A81Q-01	TCGA-WB-A81R-01	TCGA-WB-A81S-01	TCGA-WB-A81T-01	TCGA-WB-A81V-01	TCGA-WB-A81W-01	TCGA-WB-A821-01	TCGA-WB-A822-01	TCGA-XG-A823-01
CHD5	772.215	534.112	15.1814	475.146	131.448	95.3947	736.223	255.122	5.3247	363.195	1838.51	7403.99	162.123	626.362	500.553	400.467	2259.33	277.023	1460.52	734.444	2798.88	853.205	3516.59	363.777	575.912	103.642	1469.34	2589.11	996.014	4469.97	678.003	3728.54	8123.3	514.407	119.413	547.784	696.164	55.3242	163.638	927.526	10.6545	972.165	227.005	115.526	765.914	476.759	2318.97	1582.11	7331.12	1177.72	796.932	1944.97	1269.15	718.334	766.654	1864.45	824.994	654.481	612.423	1229.81	1093.06	1087.99	1684.52	408.437	1040.16	4313.23	5256.94	8584.71	2606.81	316.79	416.216	288.245	720.94	827.965	2689.56	470.233	2357.52	132.379	515.016	423.203	359.645	571.06	157.031	3067.44	1227.86	3277.19	544.473	614.346	398.454	141.801	482.134	1121.13	117.603	101.832	968.964	103.132	92.5461	5295.89	3367.57	371.172	1805.45	1317.19	273.233	81.2877	409.342	674.889	1273.72	1189.1	3320.09	804.791	425.173	1211.3	836.158	286.457	1122.2	1197.29	1382.66	490.757	108.956	162.37	1571.5	75.4567	423.967	462.194	556.049	204.732	658.414	256.793	693.377	1006.67	2.3442	333.23	580.969	876.138	436.466	646.177	322.464	1277.99	873.59	311.796	1241.26	19.9336	23.8994	1450.46	566.396	2718.52	2341.12	489.865	30.1556	2353.8	3401.63	514.1	4.4737	66.1088	261.769	1856.78	797.362	894.591	3174.31	1635.95	1509.16	417.223	640.166	193.698	8713.62	39.8162	1761.31	5480.96	2070.51	868.608	1302.09	269.941	371.625	60.2725	594.323	48.8764	238.289	235.577
PPP1R16B	434.676	1502.58	2089.57	989.03	1150.3	921.053	2689.78	5624.42	2761.62	428.067	1728.16	4246.56	824.856	1986.93	1654.14	1354.67	1245.15	906.083999999999	1162.58	1054.44	320.298	1203.24	736.372	1747.29	1713.22	1589.49	940.938	1311.18	993.888	677.674	1926.49	1342.92	1116.23	605.686	769.847	1880.54	1679.34	786.437	1162.26	1761.54	1454.08	647.423	875.396	1235.47	2057.49	1515.37	397.783	822.304	551.177	1379.39	1248.58	751.977	1235.11	1595.74	1414.13	826.308	1366.87	1447.51	1307.67	1532.65	1425.55	862.098	2874.04	1531.35	1992.97	540.831	160.982	803.505	983.83	715.945	881.081	1375.74	2167.27	979.502000000001	1462.49	1791.53	967.146	1356.3	1747.65	1786.7	2057.83	2376.47	1266.41	830.477	831.399	818.462	2501.3	1876.79	304.423	2340.47	1240.29	1139.66	1384.09	247.386	1985.09	637.59	1670.85	1770.04	885.135	899.472	649.584	1106.97	1456.87	2518.31	790.328	8373.19	661.281	758.372	501.065	1195.73	681.504	814.423	686.755	488.296	413.302	3419.56	1925.41	4167.69	1293.78	825.481	1459.98	605.242	762.276	1301.92	1227.16	1386.42	1285.23	2380.02	1072.83	1302.72	120.336	1901.73	2359.11	1825.14	3724.89	2414.71	649.586	1260.14	778.471	2452.28	2973.89	990.033	4620.13	1353.21	961.909	2250.26	1817.24	1310.81	459.144	1986.4	1066.94	1406.02	587.051	466.946	2064.23	2171.19	1667.87	1127.6	2258.69	2179.16	1076.12	982.402	914.67	1416.84	1101.4	827.463	701.939	1819.43	3585.81	2036.95	2006.82	2656.15	1350.38	2864.26	2228.38	2452.25	915.479	1122.6
CHTOP	1261.7	1684.7	1284.35	1311.99	1371.53	1875	1517.65	1245.81	1800.51	1535.3	1592.53	1467.79	1888.08	1380.72	1527.81	1850.47	1290.07	1407.56	1833.39	1295.56	1679.08	1504.27	1648.88	1245.74	1845.43	1548.9	1105.5	2171.48	1366.99	1685.57	1855.18	1520.51	1291.75	1603.56	1764.51	1823.2	1136.27	1528.26	1845.61	1593.97	1852.36	2567.01	2073.4	1735.84	1759.75	1895.38	1738.92	2573.53	1979.53	1441.23	1861.05	1412.76	3085.11	1537.5	2155.46	1261.29	1215.45	1485.76	1261.11	1304.75	1471.19	2690.36	1308.42	1255.99	1181.22	1998.18	1285.13	1841.74	1565.11	1579.73	1391.22	1621.04	1133.25	1502.2	1854.7	1995.59	1810.82	2026.71	1417.75	1405.33	1213.59	1271.42	1399.22	1379.85	1550.4	1575.12	1345.85	1518.02	2565.48	1861.61	1416.36	1790.43	1336.22	1599.99	1209.19	1105.06	1230.74	1305.66	1761.71	1304.7	1656.39	1619.48	1475.24	1356.94	1577.05	1781.69	2029.68	2335.52	1465.58	1563.26	2390.64	1251.64	1314.5	1234.61	1644.23	1141.41	1158.28	1593.75	2017.68	2046.81	1087.72	1518.67	2005.62	1260.38	1381.73	1797.37	1370.56	1164.56	2122.54	1138.38	1552.65	1161.71	1348.36	1276.87	1183.54	1365.26	1318.32	1527.85	1594.49	1158.59	1314.53	1710.96	1336.27	1829.36	1459.34	1365.24	1489	1610.64	1287.94	1083.91	1562.28	1508.75	2008.7	1569.04	1164.54	1443.64	1348.92	1244.11	1346.7	865.185	975.017000000001	1888.84	1346.63	1786.16	1993.21	1390.51	1473.34	1771.07	1580.93	2370.66	1792.99	1628.21	1274.09	2060.27	1470.74	1138.2	1335.03	1741.19
EPC2	606.702	714.324	583.574	736.041	429.563	727.796	673.684	662.414	593.325	520.3	326.437	584.637	471.287	763.617	598.158	513.551	578.559	408.151	415.55	423.333	397.889	315.029	370.902	794.118	506.081	466.627	732.642	562.62	417.752	515.913	635.765	547.569	478.695	365.113	380.921	849.261000000001	836.137	500.297	538.423	577.588	413.496	173.711	402.356	389.993	488.706	731.458	400.246	389.093	517.4	398.329	481.447	438.03	456.383	449.037	521.189	1203.4	784.548	628.824	650.923	495.382	560.428	565.99	611.536	653.5	815.763	500.062	662.119	311.205	474.043	306.23	358.108	371.444	1006.48	357.979	934.101	406.088	429.578	528.74	623.936	435.851	698.185	551.665	555.469	956.232	651.802	404.22	583.765	441.23	488.192	835.261	444.847	402.78	569.921	521.891	614.672	529.157	810.302	670.33	616.216	341.984	503.663	584.886	487.479	473.239	536.681	686.635	172.083	408.404	227.821	459.153	537.989	402.421	384.181	344.026	534.706	805.25	546.998	774.208	438.677	451.556	480.639	267.673	315.812	445.154	619.753	464.127	682.293	590.126	440.039	860.971	358.664	758.855	643.245	391.621	804.76	583.879	644.928	719.849	533.165	673.03	868.211000000001	276.855	633.543	617.89	693.163	640.479	750.649	672.297	208.171	400.938	642.608	588.322	469.74	439.33	513.858	734.746000000001	686.251	590.846	651.474000000001	794.863999999999	611.345	620.862	589.408	481.405	509.122	489.025	1079.97	707.317	727.273	740.575	665.15	646.237	688.311	422.432	702.62	438.764	432.281	221.154
ZNF337	410.674	500.873	395.828	666.971	587.128	553.289	465.789	362.323	462.908	388.95	504.609	516.134	508.646	512.658	809.709	453	430.503	536.751	992.473	528.789	438.728	646.231	482.382	463.305	1135.38	623.613	540.902	637.558	776.715	742.809	691.256	633.057	2381.03	851.758	507.798	958.892	946.254999999999	353.064	535.52	338.649	633.815	1153.63	513.992	1268.41	1442.05	1029.63	741.663	1475.53	1576.74	973.192	1327.84	1561.96	627.319	406.119	995.569	838.591	608.022	493.403	295.611	620.4	471.387	303.164	593.167	362.918	914.784	925.765	605.316	650.197	552.145	1609.02	525.115	347.526	555.269	750.088	730.111	569.043	1002.09	902.883999999999	701.201	411.12	761.178	665.843	436.144	540.111	452.633	715.478	541.688	462.153	330.077	604.269	398.923	732.917	341.15	414.536	380.863	543.181	526.75	423.911	723.243	364.401	592.372	586.019	447.017	550.093	515.817	420.431	503.303	771.543	633.946	775.954	655.303	601.024	614.4	775.44	382.539	629.259	479.654	582.113	416.748	335.633	628.581	302.51	502.332	1246.35	401.906	591.051	344.539	738.439	793.242	1017.44	281.133	440.92	961.217000000001	742.064	602.34	1013.44	599.902	672.082	535.002	1143.01	557.069	802.514	302.75	762.569	584.589	858.59	552.528	849.067	781.654	602.398	590.809	377.377	556.501	523.925	367.07	499.047	517.81	909.676	833.623	635.753	402.504	897.176	485.677	275.873	667.446	396.728	665.994	661.669	724.204	796.626	639.773	680.901	636.035	582.196	860.157	433.747	586.711	498.942
FBXL4	287.614	182.387	319.417	115.031	171.131	264.803	280.495	103.855	185.985	112.533	132.184	200.171	197.312	164.488	115.654	220.561	181.055	132.31	94.9581	106.111	139.044	69.1315	89.2338	206.269	173.009	123.224	177.637	148.844	194.526	141.661	141.525	132.77	118.223	128.408	170.78	176.803	122.476	351.576	196.75	226.804	163.876	313.918	91.9801	187.638	90.3491	143.96	141.626	154.412	140.225	118.106	74.5036	61.2943	165.957	155.315	151.293	319.851	202.23	240.707	235.926	121.444	185.62	296.108	248.97	207.478	157.631	130.047	246.93	122.145	268.936	109.82	108.784	155.126	280.68	85.6515	164.351	143.444	125.459	240.759	198.566	176.091	242.718	130.159	171.094	182.468	101.405	160.352	158.463	122.001	133.534	196.398	316.934	110.097	97.2484	268.417	197.098	168.193	114.74	197.802	145.946	212.585	182.009	128.792	196.439	140.04	113.42	286.266	150.291	143.138	111.427	218.378	115.119	130.61	122.41	165.077	209.026	228.196	198.908	177.817	84.9971	168.889	193.198	132.645	76.141	214.59	144.691	162.991	300.588	89.1695	126.669	223.79	253.956	194.421	394.551	202.186	220.25	268.743	96.7909	154.137	225.782	162.506	224.842	62.0155	215.514	276.606	147.05	146.202	149.13	119.088	110.895	117.385	227.59	160.604	183.422	184.937	236.252	165.678	115.108	154.415	313.177	174.222	156.755	152.332	260.521	158.574	196.436	232.261	271.809	171.588	206.652	216.499	100.546	198.738	209.608	106.394	231.441	205.618	97.2505	104.968
HBP1	1405.33	1420.85	1406.44	1070.65	1486.07	1432.03	1221.49	1541.88	2014.43	952.171	1135.65	1468.83	1336.75	2117.95	1366.96	1463.46	1062.92	1673.77	1240.86	1559.99	972.427	899.707	1258.89	2085.74	1777.35	1321.95	1126.01	1309.72	1597.14	1392.18	1453.01	1456.03	1004.86	1390.18	1074.6	1677.12	1796.44	1874.99	720.806	1520.97	1432.28	1065.6	1432.17	1133.75	1173.1	1693.33	1510.26	1244.78	1264.89	1016.92	1823.51	1405.82	1478.36	1390.13	1265.92	1386.51	966.051000000001	1782.12	768.712	653.709	1961.77	1362.65	2458.52	2267.69	2190.22	1490.27	1057.96	794.445	1473.69	714.71	1370.73	1265.98	1511.62	670.102	1225.6	1292.2	1289.44	1323.77	1122.2	1374.36	1285.6	1131.97	1413.43	1897.16	1731.72	1588.16	1582.28	1485.92	775.419	2412.34	1997.23	966.436999999999	943.053	1819.47	1724.72	1478.97	1490.9	1244.21	1972.76	1418.95	1798.74	1354.5	1588.26	1609.37	1439.16	1149.06	1181.48	1600.67	591.916	1780.11	1829.58	1783.7	1246.07	2425.98	1125.73	1652.96	1341.86	954.142	1205.46	1085.11	1803.38	1512.48	832.403	1550.29	988.464	1192.1	2403.36	1071.86	1110.51	1496.33	3217.91	1467.34	1227.42	1274.72	1800.59	1608.83	1348.02	1530.76	1549.5	1157.84	1740.77	831.838	1657.64	1879.32	1328.28	1590.45	1504.3	1396.67	912.14	1364.46	1393.77	1493.36	1923.22	1790.44	1838.87	1742.75	1340.24	1906.65	1483.54	1468.28	863.654	1546.21	1901.47	1255.84	1204.3	1523.72	1450.13	980.154	1702.76	1282.59	1291.74	1642.32	1547.87	1240.38	1206.36	2133.84	1169.91	1121.85
AKAP8L	980.057	893.449	814.331	869.651	1664.68	1087.17	860.681000000001	850.256	740.896	1704.32	1390.23	1491.02	850.829	970.588	1090.61	921.028	2034.26	1344.36	1219.21	1422.78	2011.79	2216.58	1179.44	836.3	1169.87	1017.79	1179.89	1915.7	1347.86	1927.73	1147.01	1353.07	3620.67	2685.75	1516.34	976.541999999999	1722.75	1403.33	1360.45	1288.47	1411.97	2429.9	1663.8	1504.05	6112.94	1230.95	1862.07	2011.64	2047.59	1732.59	2026.5	2457.75	1744.68	2184.44	1943.03	1540.07	887.737	1178.81	808.058	1411.97	1343.19	1049.07	1442.61	971.812	1611.95	1481.09	1520.69	2597.98	1311.49	3678.99	1785.14	1187.33	1213.85	1497.07	1683.21	1321.3	1615.88	1693.83	1121.02	1878.63	1341.07	929.642	1189.84	715.078	983.506	2269.98	1103.63	1065.22	1152	1136.3	2061.11	1491.21	959.291	1425.1	1580.01	1196.14	1557.79	1547.82	1446.4	860.069	1861.93	1435.87	1475.79	1409.26	1296.08	1310.51	2237.84	1465.53	2525.9	1877.85	1594.01	1401.41	1768.99	1897.69	771.18	1038.1	1422.07	1207.75	1513.41	1534.22	1933.16	1482.13	2063.6	2293.4	1286.91	1349.64	1191.82	1337.54	1684.7	1303.5	2025.4	905.108	1452.01	1886.46	881.807	1280.76	1423.91	1543	1242.05	1188.45	945.263000000001	3667.77	825.996	1520.64	1364.52	1467.22	977.419	1032.94	2125.49	2628.97	1965.08	1180	1824.78	1270.29	970.963	1018.64	863.709	2204.35	996.658	1059.95	1276.77	1252.07	1444.52	745.351	1569.37	1251.15	1258.08	1447.15	1147.67	1836.88	1403.09	1440.74	1088.98	1820.23	1412.66	1461.24	1268.84	1901.44
TAF5L	261.566	611.036	443.297	412.294	363.095	260.691	385.759	582.942	464.391	439.982	274.138	467.71	807.681	399.238	349.54	670.561	375.723	294.743	304.04	338.333	301.676	143.513	396.508	539.861	591.605	378.746	238.954	300.578	297.103	305.336	409.216	435.941	237.171	351.189	316.878	629.453	209.623	328.971	400.218	572.087	566.21	746.392	327.594	356.88	279.261	667.347	314.039	535.539	254.35	354.875	374.573	298.997	204.255	285.58	524.585	488.023	410.163	466.021	346.502	416.214	366.905	555.838	305.474	424.545	304.217	267.319	300.136	438.131	483.404	296.726	266.216	424.047	449.98	459.736	183.803	417.705	308.486	359.977	358.135	386.72	336.007	356.858	396.094	320.552	334.759	235.517	430.052	371.308	894.375	676.398	502.33	515.602	468.903	264.543	426.844	365.301	378.141	480.26	255.856	648.943	278.767	378.925	489.149	341.65	352.116	363.789	406.538	562.705	284.599	467.298	537.222	249.622	333.961	380.094	346.793	389.924	399.636	385.563	334.284	568.296	192.805	295.473	514.817	488.818	243.951	430.336	316.039	203.215	496.764	377.258	241.453	411.174	316.706	315.118	501.009	412.228	371.636	322.877	345.431	416.055	374.737	266.888	400	309.174	334.158	416.233	511.579	505.912	210.117	397.889	359.139	386.204	486.144	307.95	408.711	397.881	425.26	245.03	418.515	221.235	225.727	516.258	370.84	336.26	382.69	208.269	506.866	436.029	395.565	761.478	323.931	591.708	338.032	340.147	539.301	425.281	642.057	234.776
R3HCC1L	275.132	220.712	278.731	233.62	244.048	286.184	402.477	256.025	256.727	173.875	163.218	235.017	208.623	283.769	183.794	136.449	215.995	261.666	253.947	351.667	279.95	230.147	193.986	334.752	292.272	248.836	132.101	189.788	249.801	198.133	247.394	184.355	205.258	266.873	140.761	208.08	308.546	365.259	273.531	184.913	231.355	197.423	181.242	278.146	143.737	236.631	124.384	327.819	161.72	153.203	279.003	227.985	175.532	212.306	233.732	332.787	208.452	314.412	286.961	179.475	185.365	255.499	341.377	227.421	415.663	227.582	230.105	151.354	310.638	185.85	143.243	274.826	198.461	136.164	446.209	166.678	210.422	223.727	307.037	269.488	263.402	281.435	316.797	343.238	241.295	178.725	194.732	247.86	145.127	251.374	199.379	221.284	173.389	233.55	286.578	305.06	240.787	273.097	246.396	211.612	283.997	301.756	252.087	311.469	305.202	174.176	332.895	184.504	167.495	273.354	302.379	175.492	166.981	125.542	259.171	220.576	138.266	170.334	219.624	321.185	360.872	111.199	135.843	288.072	274.568	259.394	227.197	201.684	180.642	270.413	125.024	345.929	314.657	228.901	260.992	308.839	319.876	243.916	272.84	262.359	270.316	341.085	259.12	237.615	260.126	239.854	272.893	203.97	146.887	201.994	326.543	228.116	312.166	261.088	207.655	296.186	341.327	199.723	276.714	273.778	249.241	221.14	258.967	266.529	277.047	294.028	441.438	302.952	286.031	403.509	287.989	254.619	244.951	211.216	296.07	244.382	153.768	244.391
PRPF19	3135.53	4606.69	2585.09	4687.02	1816.47	2893.09	4276.16	2639.27	3345.82	4449.25	3466.09	4577.21	2566.31	2083.88	4058.2	2918.69	3644.24	2417.01	4656.43	4320	5259.47	5134.98	3198.45	2008.9	3084.74	2905.31	3799.82	4921.48	2403.93	2324	2983.54	4723.89	3771.53	4206.54	2766.51	3088.62	3233.51	3812.61	5273.38	4586.86	2586	2828.35	5732.22	1560.71	3207.39	2187.96	2046.8	3781.86	5196.01	5308.64	3997.5	4028.23	3275.53	2382.34	3359.63	5590.76	3916	2486.38	3700.06	4828.15	4229.22	3734.35	2050.03	3054.27	2900.6	4491.78	4222.37	3544.88	2019.57	3387.54	5706.76	2647.88	5670.72	2895.31	2918.62	4672.53	5235.53	3595.12	4763.78	3045.12	5084	3822.44	2467.97	3698.19	2734.88	3953.67	2812.61	4268.6	4771.15	3162.09	3824.44	3856.11	3895.59	3445.15	1449.82	1798.07	4491.62	3599.1	3868.92	2231.41	2072.71	4344.86	2599.89	2027.77	4727.02	4039.94	6964.49	3165.46	5372.6	3817.29	2731.39	4290.47	3730.07	3646.96	3479.02	4123.2	2810.19	4245.6	3343.98	3415.11	3966.45	3309.77	4988.97	2841.32	3457.28	3727.92	2569.4	3747.03	2598.38	4238.81	3873.41	1783.51	4002.87	3082.57	4115.37	4039.43	4013.46	4050.3	4208.75	3776.8	3195.37	2645.63	3178.2	2594.95	4486.04	3547.35	4056.12	3307.85	2920.23	3283.73	3793.95	3802.91	2742.89	2981.17	3100.75	4564.41	3836.13	2940.82	5997.37	3004.44	4250.81	3448.75	3027.32	4102.27	3954.18	3553.34	4018.58	4724.43	4478.49	2865.99	4055.51	2426.77	4638.31	2718.55	3699.13	3684.83	2424.13	3374.2
PCLO	6288.43	3509.11	2386.52	3135.09	3331.85	1106.91	2414.24	2957.61	1566.99	2410.86	2517.82	2090.37	980.695	2187.91	4682.14	1834.11	3042.54	1216.18	818.469	1800	3280.57	697.44	3377.69	1460.14	1689.68	1891.82	1962.13	4043.83	2484.19	1485.52	1362.04	2872.3	1409.97	1943.14	2138.09	2145.53	2672.61	1760.26	2075.95	3011.08	1226.79	2895.88	1664.7	2859.46	3197.13	1542.18	1359.61	3693.01	2785.06	2758.22	5851.36	5226.46	3939.36	4191.01	1570.98	1917.81	1817.47	1379.87	2099.61	6597.16	4028.3	3318.95	4346.67	4842.19	997.992	1159.07	5165.53	3320.76	7286.81	2217.53	2871.62	1017.18	3017.82	1060.03	3723.3	1994.58	3281.39	2395.2	5471.09	3460.54	2542	2131.24	1620.7	3719.39	2146	2021.94	1785.84	3922.36	2492.49	4400.76	5070.95	4638.23	2725.59	900.442	3235.79	2040.48	4774.29	3385.43	5262.61	1148.54	3766.23	2897.29	1919.87	1611.27	2427.18	2389.13	1571.29	1665.13	2649.4	2188.36	393.707	2756.43	2353.42	1216.58	3815.25	3850.97	3176.47	1949.38	2110.1	2142.22	5151.95	2214.46	1350.64	1302.45	4767.41	1468.91	2356.25	4378.11	2211.76	4856.56	175.816	1845.68	3541.94	593.2	2572.41	5768.2	4006.21	3128.72	2099.62	1226.14	4256.42	1939.09	1311.53	4414.22	2899.93	3811.13	5130.39	1918.5	1937.74	6375.38	2435.97	1627	2198.58	1249.79	2494.06	5146.61	3739.81	5073.97	4112.23	1799.11	2951.31	1423.49	3030.95	2892.56	3573.19	2911.69	3822.29	1281.13	7667.85	2176.93	4422.66	5361.87	2960.75	1291.93	3666.81	2566.29	1308.04	595.353
DEXI	1403.34	1126.12	885.988	938.037	1018.35	1488.49	642.105	977.139	976.703999999999	1364.08	1688.51	1315.63	901.519	1027.78	1012.15	1724.77	1184.8	1290.61	1655.67	1617.78	2480.45	2528.11	1350.92	857.198	1031.78	1002.99	1073.49	1462.43	1213.93	2397.7	831.596	1536.58	1668.18	1978.73	1218.81	911.381	1358.34	1230.82	1378.69	646.56	1210.05	715.464	1762.57	646.063	907.597	483.171	1647.78	1708.33	1296.32	1386.07	920.248000000001	1773.8	1228.72	1089.71	1283.21	663.957	1040.19	854.604	1079.35	711.752	1221.83	1467.85	838.14	751.294	1238.45	2367.17	1224.19	1657.99	582.979	1682.15	1969.59	1249.6	999.999999999999	1610.54	1151.65	1518.79	1557.12	1592.41	970.417	1707.89	999.577999999999	907.661999999999	1412.11	973	1487.48	1915.87	1153.28	1533.94	874.624	920.19	1245.99	1116.23	741.048	2201.02	854.494	901.205	1122.28	1179.08	1313.06	790.991	1351.99	1426.29	970.506000000001	1221.33	1505.9	1000.76	3112.53	1267.24	1909.87	1158.57	1793.55	1327.28	1308.85	1254.73	868.303	1174.85	1245.6	889.525	1197.95	1396.74	594.909	1494.04	1728.75	837.593	896.79	1553.38	1305.59	679.678	787.553	712.555	2723.97	802.205	1161.94	1318.15	814.845	903.985	1212.22	881.558	1412.76	1317.67	501.053	2646.73	800.839	577.064	1522.73	973.985	841.741	980.574	1499.03	1043.51	1576.83	1169.1	2029.08	1558.58	795.865	977.119	1177.46	2548.31	1019.75	790.124	483.982	983.993	972.679	1335.74	1399.24	1237.37	1226.58	902.439	1187.14	496.827	1260.69	699.865	978.752	1704.93	1029.69	1417.42	814.155	2479.97
ZCCHC4	191.561	162.272	156.065	164.443	98.2143	189.967	136.842	198.227	188.267	169.462	118.966	70.4662	175.947	189.542	129.65	164.486	196.03	136.444	118.044	174.444	98.6965	63.0059	166.052	158.282	224.402	135.642	89.7205	196.532	127.558	142.618	118.486	173.784	141.433	189.518	212.809	245.004	138.291	224.271	155.481	148.523	118.722	118.557	156.774	111.111	156.058	211.569	157.636	220.588	141.249	200	248.174	234.712	162.766	171.599	255.037	172.053	162.821	106.826	175.937	105.687	216.216	114.213	123.013	166.443	163.655	91.3426	148.249	98.7785	59.5745	184.794	159.459	119.163	122.722	174.231	186.979	158.596	231.861	214.438	182.429	151.769	260.447	190.497	138.672	269.757	203.421	184.572	172.712	168.294	75.5689	184.644	140.86	88.2954	131.172	131.718	115.679	157.108	212.73	194.139	182.432	106.049	122.908	188.398	170.284	125.553	128.886	173.169	114.973	217.991	169.624	254.011	190.33	276.349	172.002	196.983	90.2613	158.34	180.716	180.018	177.41	103.704	114.662	171.565	253.515	203.94	190.617	128.703	162.936	188.672	179.54	262.643	97.6753	111.661	181.092	112.933	190.803	208.765	138.716	194.159	178.723	202.643	176	70.8749	203.774	179.816	170.375	164.412	186.029	198.902	276.265	325.476	200.815	139.218	142.662	141.423	142.543	188.559	198.641	175.22	155.981	140.642	157.931	217.56	178.687	139.463	85.7022	140.378	200.727	159.606	182.705	220.231	172.429	148.265	196.31	165.094	223.144	144.382	127.291	76.1218
